scenario,seed,time,new_disputes,new_complaints,visible_complainants,new_complainants,unresolved,pending,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,unsubmitted,eligible_unsubmitted,threshold_blocked,utility_abstained,domestic_submissions,external_submissions,multi_submissions,total_submitted,unresolved_fraction,submitted_unresolved_fraction,mean_processing_time,domestic_case_share,external_case_share,multi_case_share
no_response,0,49,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,98,1.0,1.0,,1.0,0.0,0.0
no_response,1,49,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,77,1.0,1.0,,1.0,0.0,0.0
no_response,2,49,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,89,1.0,1.0,,1.0,0.0,0.0
no_response,3,49,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,6,1.0,1.0,,1.0,0.0,0.0
no_response,4,49,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,99,1.0,1.0,,1.0,0.0,0.0
no_response,5,49,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,95,1.0,1.0,,1.0,0.0,0.0
no_response,6,49,0,0,87,0,94,87,0,0,87,94,7,7,7,0,0,0,0,87,1.0,1.0,,1.0,0.0,0.0
no_response,7,49,0,0,85,0,93,85,0,0,85,93,8,8,8,0,0,0,0,85,1.0,1.0,,1.0,0.0,0.0
no_response,8,49,0,0,96,0,99,96,0,0,96,99,3,3,3,0,0,0,0,96,1.0,1.0,,1.0,0.0,0.0
no_response,9,49,0,0,98,0,102,98,0,0,98,102,4,4,4,0,0,0,0,98,1.0,1.0,,1.0,0.0,0.0
no_response,10,49,0,0,91,0,97,91,0,0,91,97,6,6,6,0,0,0,0,91,1.0,1.0,,1.0,0.0,0.0
no_response,11,49,0,0,83,0,85,83,0,0,83,85,2,2,2,0,0,0,0,83,1.0,1.0,,1.0,0.0,0.0
no_response,12,49,0,0,97,0,102,97,0,0,97,102,5,5,5,0,0,0,0,97,1.0,1.0,,1.0,0.0,0.0
no_response,13,49,0,0,94,0,96,94,0,0,94,96,2,2,2,0,0,0,0,94,1.0,1.0,,1.0,0.0,0.0
no_response,14,49,0,0,89,0,93,89,0,0,89,93,4,4,4,0,0,0,0,89,1.0,1.0,,1.0,0.0,0.0
no_response,15,49,0,0,16,0,97,16,0,0,16,97,81,81,81,0,0,0,0,16,1.0,1.0,,1.0,0.0,0.0
no_response,16,49,0,0,72,0,85,72,0,0,72,85,13,13,13,0,0,0,0,72,1.0,1.0,,1.0,0.0,0.0
no_response,17,49,0,0,88,0,96,88,0,0,88,96,8,8,8,0,0,0,0,88,1.0,1.0,,1.0,0.0,0.0
no_response,18,49,0,0,81,0,87,81,0,0,81,87,6,6,6,0,0,0,0,81,1.0,1.0,,1.0,0.0,0.0
no_response,19,49,0,0,102,0,102,102,0,0,102,102,0,0,0,0,0,0,0,102,1.0,1.0,,1.0,0.0,0.0
immediate,0,49,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0,70,0.3069306930693069,0.0,1.0142857142857142,1.0,0.0,0.0
immediate,1,49,0,0,0,0,42,0,0,42,42,84,42,42,42,0,0,0,0,42,0.5,0.0,1.1666666666666667,1.0,0.0,0.0
immediate,2,49,0,0,0,0,6,0,0,86,86,92,6,6,6,0,0,0,0,86,0.06521739130434782,0.0,0.9534883720930233,1.0,0.0,0.0
immediate,3,49,0,0,0,0,83,0,0,6,6,89,83,83,83,0,0,0,0,6,0.9325842696629213,0.0,2.1666666666666665,1.0,0.0,0.0
immediate,4,49,0,0,0,0,3,0,0,99,99,102,3,3,3,0,0,0,0,99,0.029411764705882353,0.0,1.0808080808080809,1.0,0.0,0.0
immediate,5,49,0,0,0,0,2,0,0,94,94,96,2,2,2,0,0,0,0,94,0.020833333333333332,0.0,0.9574468085106383,1.0,0.0,0.0
immediate,6,49,0,0,0,0,9,0,0,85,85,94,9,9,9,0,0,0,0,85,0.09574468085106383,0.0,1.6,1.0,0.0,0.0
immediate,7,49,0,0,0,0,11,0,0,82,82,93,11,11,11,0,0,0,0,82,0.11827956989247312,0.0,2.0121951219512195,1.0,0.0,0.0
immediate,8,49,0,0,0,0,6,0,0,93,93,99,6,6,6,0,0,0,0,93,0.06060606060606061,0.0,1.4408602150537635,1.0,0.0,0.0
immediate,9,49,0,0,0,0,5,0,0,97,97,102,5,5,5,0,0,0,0,97,0.049019607843137254,0.0,1.2474226804123711,1.0,0.0,0.0
immediate,10,49,0,0,0,0,13,0,0,84,84,97,13,13,13,0,0,0,0,84,0.13402061855670103,0.0,0.8690476190476191,1.0,0.0,0.0
immediate,11,49,0,0,0,0,11,0,0,74,74,85,11,11,11,0,0,0,0,74,0.12941176470588237,0.0,1.2567567567567568,1.0,0.0,0.0
immediate,12,49,0,0,0,0,5,0,0,97,97,102,5,5,5,0,0,0,0,97,0.049019607843137254,0.0,1.865979381443299,1.0,0.0,0.0
