comparison,metric,mean_difference,sd_difference,n
delayed minus immediate,unresolved,-5.55,7.830271891495009,20
delayed minus immediate,pending,0.0,0.0,20
delayed minus immediate,cumulative_complainants,5.55,7.830271891495009,20
delayed minus immediate,cumulative_resolved,5.55,7.830271891495009,20
delayed minus immediate,total_submitted,5.55,7.830271891495009,20
delayed minus immediate,unresolved_fraction,-0.06067867992328553,0.0856373553332475,20
delayed minus immediate,submitted_unresolved_fraction,0.0,0.0,20
delayed minus immediate,mean_processing_time,3.9157992566652475,0.5154026983420746,20
delayed minus immediate,domestic_case_share,0.0,0.0,20
delayed minus immediate,external_case_share,0.0,0.0,20
delayed minus immediate,multi_case_share,0.0,0.0,20
immediate minus no_response,unresolved,-74.6,26.815941841414134,20
immediate minus no_response,pending,-82.15,25.590448464838968,20
immediate minus no_response,cumulative_complainants,-7.55,10.379509165963281,20
immediate minus no_response,cumulative_resolved,74.6,26.815941841414134,20
immediate minus no_response,total_submitted,-7.55,10.379509165963281,20
immediate minus no_response,unresolved_fraction,-0.7820229505703371,0.2639004753081301,20
immediate minus no_response,submitted_unresolved_fraction,-1.0,0.0,20
immediate minus no_response,mean_processing_time,,,0
immediate minus no_response,domestic_case_share,0.0,0.0,20
immediate minus no_response,external_case_share,0.0,0.0,20
immediate minus no_response,multi_case_share,0.0,0.0,20
new_on_prevention minus new_on,unresolved,-12.0,26.269854646683804,20
new_on_prevention minus new_on,pending,-1.6,4.134578193976414,20
new_on_prevention minus new_on,cumulative_complainants,-20.95,24.9134818712152,20
new_on_prevention minus new_on,cumulative_resolved,-43.1,30.28791664569952,20
new_on_prevention minus new_on,total_submitted,-44.7,31.81707585227583,20
new_on_prevention minus new_on,unresolved_fraction,0.04739824017249663,0.16475101738319187,20
new_on_prevention minus new_on,submitted_unresolved_fraction,-0.007076421523754632,0.020808095525715085,20
new_on_prevention minus new_on,mean_processing_time,-0.09653549633353323,0.3579576817407869,20
new_on_prevention minus new_on,domestic_case_share,0.0,0.0,20
new_on_prevention minus new_on,external_case_share,0.0,0.0,20
new_on_prevention minus new_on,multi_case_share,0.0,0.0,20
new_on minus immediate,unresolved,54.8,36.71454609193531,20
new_on minus immediate,pending,2.0,4.400956833761446,20
new_on minus immediate,cumulative_complainants,38.5,28.79784348651274,20
new_on minus immediate,cumulative_resolved,72.15,34.01899624126435,20
new_on minus immediate,total_submitted,74.15,35.53393485551227,20
new_on minus immediate,unresolved_fraction,0.12077375493493174,0.29783878730879143,20
new_on minus immediate,submitted_unresolved_fraction,0.011139097657254512,0.02164213648914142,20
new_on minus immediate,mean_processing_time,0.21362588770898835,0.45800173597989075,20
new_on minus immediate,domestic_case_share,0.0,0.0,20
new_on minus immediate,external_case_share,0.0,0.0,20
new_on minus immediate,multi_case_share,0.0,0.0,20
immediate minus legacy_immediate,unresolved,-61.2,23.80092877444735,20
immediate minus legacy_immediate,pending,0.0,0.0,20
immediate minus legacy_immediate,cumulative_complainants,61.2,23.80092877444735,20
immediate minus legacy_immediate,cumulative_resolved,61.2,23.80092877444735,20
immediate minus legacy_immediate,total_submitted,61.2,23.80092877444735,20
immediate minus legacy_immediate,unresolved_fraction,-0.6403647658939747,0.23252234846964512,20
immediate minus legacy_immediate,submitted_unresolved_fraction,0.0,0.0,20
immediate minus legacy_immediate,mean_processing_time,0.6279182589537415,0.36035285024422914,20
immediate minus legacy_immediate,domestic_case_share,0.0,0.0,20
immediate minus legacy_immediate,external_case_share,0.0,0.0,20
immediate minus legacy_immediate,multi_case_share,0.0,0.0,20
delayed minus legacy_delayed,unresolved,0.0,0.0,20
delayed minus legacy_delayed,pending,0.0,0.0,20
delayed minus legacy_delayed,cumulative_complainants,0.0,0.0,20
delayed minus legacy_delayed,cumulative_resolved,0.0,0.0,20
delayed minus legacy_delayed,total_submitted,0.0,0.0,20
delayed minus legacy_delayed,unresolved_fraction,0.0,0.0,20
delayed minus legacy_delayed,submitted_unresolved_fraction,0.0,0.0,20
delayed minus legacy_delayed,mean_processing_time,0.0,0.0,20
delayed minus legacy_delayed,domestic_case_share,0.0,0.0,20
delayed minus legacy_delayed,external_case_share,0.0,0.0,20
