,unresolved,unresolved,unresolved,pending,pending,pending,cumulative_complainants,cumulative_complainants,cumulative_complainants,cumulative_resolved,cumulative_resolved,cumulative_resolved,total_submitted,total_submitted,total_submitted,unresolved_fraction,unresolved_fraction,unresolved_fraction,submitted_unresolved_fraction,submitted_unresolved_fraction,submitted_unresolved_fraction,mean_processing_time,mean_processing_time,mean_processing_time,domestic_case_share,domestic_case_share,domestic_case_share,external_case_share,external_case_share,external_case_share,multi_case_share,multi_case_share,multi_case_share
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba_delayed,9.25,19.547176401290233,20,0.0,0.0,20,85.35,22.37779679668408,20,85.35,22.37779679668408,20,85.35,22.37779679668408,20,0.10267416883813556,0.2241878508625966,20,0.0,0.0,20,5.499298362354812,0.40962987382159716,20,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20
ba_immediate,16.7,25.389803174959,20,0.0,0.0,20,77.9,26.592242636172163,20,77.9,26.592242636172163,20,77.9,26.592242636172163,20,0.17874715870246932,0.27542242195804145,20,0.0,0.0,20,1.3463429197458416,0.510188162299927,20,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20
ba_none,94.6,6.047182902197648,20,85.75,22.06897083427794,20,85.75,22.06897083427794,20,0.0,0.0,20,85.75,22.06897083427794,20,1.0,0.0,20,1.0,0.0,20,,,0,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20
channels_delayed,14.45,23.694269793615323,20,0.0,0.0,20,80.15,25.92758133116567,20,80.15,25.92758133116567,20,80.15,25.92758133116567,20,0.1572983695063774,0.25686741666414226,20,0.0,0.0,20,5.210062705229982,0.38207311481327755,20,0.8240775550494941,0.053917869736298765,20,0.17592244495050577,0.05391786973629878,20,0.0,0.0,20
channels_immediate,20.1,24.012935110718534,20,0.0,0.0,20,74.5,26.790611081221403,20,74.5,26.790611081221403,20,74.5,26.790611081221403,20,0.21905231824686724,0.26351640815830074,20,0.0,0.0,20,1.2450946619521905,0.36739193683745736,20,0.8315628695107865,0.05426880825804801,20,0.16843713048921352,0.054268808258048015,20,0.0,0.0,20
delay_2,19.1,23.94709080232371,20,0.0,0.0,20,75.5,26.61716897437679,20,75.5,26.61716897437679,20,75.5,26.61716897437679,20,0.20810691177383886,0.26302499083244996,20,0.0,0.0,20,3.2844799377084315,0.3650823388752977,20,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20
delay_8,12.5,23.961592074335172,20,0.0,0.0,20,82.1,25.602014723352085,20,82.1,25.602014723352085,20,82.1,25.602014723352085,20,0.13492555592262656,0.258993548021331,20,0.0,0.0,20,9.30468100292213,0.4965516248900194,20,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20
delayed,14.45,23.694269793615323,20,0.0,0.0,20,80.15,25.92758133116567,20,80.15,25.92758133116567,20,80.15,25.92758133116567,20,0.1572983695063774,0.25686741666414226,20,0.0,0.0,20,5.25046229199844,0.40968584566904015,20,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20
