time,new_disputes,new_complaints,visible_complainants,new_complainants,unresolved,pending,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,unsubmitted,eligible_unsubmitted,threshold_blocked,utility_abstained,domestic_submissions,external_submissions,multi_submissions,scenario,seed
0,101,7,0,7,101,7,0,0,7,101,94,101,94,0,7,0,0,no_response,0
1,0,7,7,7,101,14,0,0,14,101,87,94,87,0,7,0,0,no_response,0
2,0,7,14,7,101,21,0,0,21,101,80,87,80,0,7,0,0,no_response,0
3,0,7,21,7,101,28,0,0,28,101,73,80,73,0,7,0,0,no_response,0
4,0,8,28,8,101,36,0,0,36,101,65,73,65,0,8,0,0,no_response,0
5,0,13,36,13,101,49,0,0,49,101,52,65,52,0,13,0,0,no_response,0
6,0,20,49,20,101,69,0,0,69,101,32,52,32,0,20,0,0,no_response,0
7,0,19,69,19,101,88,0,0,88,101,13,32,13,0,19,0,0,no_response,0
8,0,8,88,8,101,96,0,0,96,101,5,13,5,0,8,0,0,no_response,0
9,0,2,96,2,101,98,0,0,98,101,3,5,3,0,2,0,0,no_response,0
10,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
11,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
12,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
13,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
14,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
15,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
16,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
17,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
18,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
19,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
20,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
21,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
22,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
23,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
24,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
25,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
26,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
27,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
28,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
29,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
30,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
31,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
32,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
33,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
34,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
35,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
36,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
37,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
38,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
39,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
40,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
41,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
42,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
43,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
44,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
45,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
46,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
47,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
48,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
49,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
0,84,8,0,8,84,8,0,0,8,84,76,84,76,0,8,0,0,no_response,1
1,0,6,8,6,84,14,0,0,14,84,70,76,70,0,6,0,0,no_response,1
2,0,4,14,4,84,18,0,0,18,84,66,70,66,0,4,0,0,no_response,1
3,0,4,18,4,84,22,0,0,22,84,62,66,62,0,4,0,0,no_response,1
4,0,4,22,4,84,26,0,0,26,84,58,62,58,0,4,0,0,no_response,1
5,0,10,26,10,84,36,0,0,36,84,48,58,48,0,10,0,0,no_response,1
6,0,15,36,15,84,51,0,0,51,84,33,48,33,0,15,0,0,no_response,1
7,0,11,51,11,84,62,0,0,62,84,22,33,22,0,11,0,0,no_response,1
8,0,8,62,8,84,70,0,0,70,84,14,22,14,0,8,0,0,no_response,1
9,0,4,70,4,84,74,0,0,74,84,10,14,10,0,4,0,0,no_response,1
10,0,2,74,2,84,76,0,0,76,84,8,10,8,0,2,0,0,no_response,1
11,0,1,76,1,84,77,0,0,77,84,7,8,7,0,1,0,0,no_response,1
12,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
13,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
14,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
15,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
