scenario,seed,time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,unique_submitted_cases,unique_domestic_cases,unique_customer_cases,multi_cases,customer_share_all_cases,customer_share_submitted,domestic_share_submitted,first_domestic_share,first_customer_share,first_both_share,no_submission_share,domestic_then_customer_share,mean_escalation_time,external_path_trigger_rate,external_user_case_resolution_rate,customer_intervention_rate,material_at_customer_review_share,external_user_mean_merit,external_user_mean_dependence,unresolved_fraction,submitted_unresolved_fraction,external_user_unresolved_fraction,mean_processing_time,median_processing_time,unresolved_case_rounds,pending_case_rounds
domestic_0.15_help_off,0,44,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,69,47,54,32,0.782608695652174,0.782608695652174,0.6811594202898551,0.43478260869565216,0.5072463768115942,0.057971014492753624,0.0,0.5,4.666666666666667,0.2037037037037037,0.2777777777777778,0.5,0.1111111111111111,0.5921700366960387,0.5122767618052206,0.7536231884057971,0.7536231884057971,0.7222222222222222,4.647058823529412,4.0,2419,351
domestic_0.15_help_off,1,44,0,0,0,0,0,0,61,0,6,55,0,0,0,20,75,81,0,0,75,51,56,32,0.691358024691358,0.7466666666666667,0.68,0.41333333333333333,0.52,0.06666666666666667,0.07407407407407407,0.3870967741935484,4.416666666666667,0.25,0.2857142857142857,0.44642857142857145,0.125,0.523576129354689,0.47869405420258004,0.7530864197530864,0.7333333333333333,0.7142857142857143,5.0,5.0,2847,376
domestic_0.15_help_off,2,44,0,0,0,0,0,0,58,0,10,48,0,0,0,17,65,75,0,0,65,46,50,31,0.6666666666666666,0.7692307692307693,0.7076923076923077,0.4153846153846154,0.5538461538461539,0.03076923076923077,0.13333333333333333,0.4444444444444444,4.083333333333333,0.2,0.32,0.5102040816326531,0.1836734693877551,0.5959189343947359,0.5941314922509221,0.7733333333333333,0.7384615384615385,0.68,5.529411764705882,5.0,2705,325
domestic_0.15_help_off,3,44,0,0,0,0,0,0,70,0,7,63,0,0,0,14,77,84,0,0,77,49,61,33,0.7261904761904762,0.7922077922077922,0.6363636363636364,0.4155844155844156,0.4935064935064935,0.09090909090909091,0.08333333333333333,0.5,4.625,0.18032786885245902,0.21311475409836064,0.4166666666666667,0.23333333333333334,0.5965394733886689,0.5528000010572691,0.8333333333333334,0.8181818181818182,0.7868852459016393,4.571428571428571,4.0,3214,381
domestic_0.15_help_off,4,44,0,0,0,0,0,0,69,0,12,57,0,0,0,13,70,82,0,0,70,52,41,23,0.5,0.5857142857142857,0.7428571428571429,0.5571428571428572,0.44285714285714284,0.0,0.14634146341463414,0.2564102564102564,5.6,0.21951219512195122,0.2682926829268293,0.36585365853658536,0.12195121951219512,0.6259805924193467,0.6712363191875685,0.8414634146341463,0.8142857142857143,0.7317073170731707,4.769230769230769,4.0,3167,334
domestic_0.15_help_off,5,44,0,0,0,0,0,0,66,0,8,58,0,0,0,19,77,85,0,0,77,53,53,29,0.6235294117647059,0.6883116883116883,0.6883116883116883,0.5974025974025974,0.37662337662337664,0.025974025974025976,0.09411764705882353,0.4782608695652174,5.090909090909091,0.2830188679245283,0.3018867924528302,0.5384615384615384,0.17307692307692307,0.5735058655037594,0.4753868369841015,0.7764705882352941,0.7532467532467533,0.6981132075471698,5.2105263157894735,5.0,3069,400
domestic_0.15_help_off,6,44,0,0,0,0,0,0,64,0,11,53,0,0,0,22,75,86,0,0,75,45,53,23,0.6162790697674418,0.7066666666666667,0.6,0.4266666666666667,0.49333333333333335,0.08,0.12790697674418605,0.3125,4.9,0.3584905660377358,0.37735849056603776,0.4528301886792453,0.1509433962264151,0.5783032702437886,0.5800195484875246,0.7441860465116279,0.7066666666666667,0.6226415094339622,5.0,4.5,2990,358
domestic_0.15_help_off,7,44,0,0,0,0,0,0,65,0,13,52,0,0,0,19,71,84,0,0,71,53,45,27,0.5357142857142857,0.6338028169014085,0.7464788732394366,0.4647887323943662,0.4788732394366197,0.056338028169014086,0.15476190476190477,0.21212121212121213,5.285714285714286,0.26666666666666666,0.3111111111111111,0.4666666666666667,0.1111111111111111,0.6132400140298321,0.5773245547775164,0.7738095238095238,0.7323943661971831,0.6888888888888889,5.526315789473684,6.0,3030,353
domestic_0.15_help_off,8,44,0,0,0,0,0,0,57,0,11,46,0,0,0,14,60,71,0,0,60,48,37,25,0.5211267605633803,0.6166666666666667,0.8,0.5,0.4,0.1,0.15492957746478872,0.23333333333333334,4.0,0.1891891891891892,0.2702702702702703,0.3888888888888889,0.16666666666666666,0.5802092730579863,0.5748192745385073,0.8028169014084507,0.7666666666666667,0.7297297297297297,4.857142857142857,4.0,2633,276
domestic_0.15_help_off,9,44,0,0,0,0,0,0,52,0,3,49,0,0,0,12,61,64,0,0,61,47,36,22,0.5625,0.5901639344262295,0.7704918032786885,0.6229508196721312,0.36065573770491804,0.01639344262295082,0.046875,0.34210526315789475,4.384615384615385,0.2222222222222222,0.2777777777777778,0.5,0.2777777777777778,0.5744377854720016,0.2916699602799182,0.8125,0.8032786885245902,0.7222222222222222,5.833333333333333,6.0,2410,291
