seed,success_off,success_on,paired_difference
0,0.23214285714285715,0.30357142857142855,0.0714285714285714
1,0.2153846153846154,0.24615384615384617,0.03076923076923077
2,0.32727272727272727,0.45454545454545453,0.12727272727272726
3,0.3181818181818182,0.4090909090909091,0.09090909090909094
4,0.1836734693877551,0.32653061224489793,0.14285714285714282
5,0.23809523809523808,0.2698412698412698,0.031746031746031744
6,0.25,0.4117647058823529,0.16176470588235292
7,0.2641509433962264,0.39622641509433965,0.13207547169811323
8,0.4222222222222222,0.5111111111111111,0.08888888888888885
9,0.2916666666666667,0.3333333333333333,0.04166666666666663
10,0.20930232558139536,0.23255813953488372,0.023255813953488358
11,0.3404255319148936,0.40425531914893614,0.06382978723404253
12,0.38333333333333336,0.4166666666666667,0.033333333333333326
13,0.2361111111111111,0.375,0.1388888888888889
14,0.32,0.4,0.08000000000000002
15,0.3333333333333333,0.3968253968253968,0.06349206349206349
16,0.28,0.32,0.03999999999999998
17,0.19642857142857142,0.26785714285714285,0.07142857142857142
18,0.26153846153846155,0.3076923076923077,0.046153846153846156
19,0.17142857142857143,0.2571428571428571,0.08571428571428569
