treatment,control,metric,mean_difference,sd_difference,n
domestic_0.15_help_on,domestic_0.15_help_off,time,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,new_disputes,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,new_complaints,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,new_complainants,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,new_domestic,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,new_customer,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,new_additional_channel,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,unresolved,-0.95,0.8255779474818964,20
domestic_0.15_help_on,domestic_0.15_help_off,pending,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,unsubmitted,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,closed_unresolved,-0.95,0.8255779474818964,20
domestic_0.15_help_on,domestic_0.15_help_off,pending_domestic,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,pending_customer,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,new_resolved,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,cumulative_resolved,0.95,0.8255779474818964,20
domestic_0.15_help_on,domestic_0.15_help_off,cumulative_complainants,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,total_cases,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,visible_domestic,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,visible_customer,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,unique_submitted_cases,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,unique_domestic_cases,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,unique_customer_cases,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,multi_cases,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,customer_share_all_cases,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,customer_share_submitted,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,domestic_share_submitted,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,first_domestic_share,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,first_customer_share,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,first_both_share,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,no_submission_share,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,domestic_then_customer_share,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,mean_escalation_time,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,external_path_trigger_rate,0.019271276763119172,0.016406975530579467,20
domestic_0.15_help_on,domestic_0.15_help_off,external_user_case_resolution_rate,0.019271276763119172,0.016406975530579467,20
domestic_0.15_help_on,domestic_0.15_help_off,customer_intervention_rate,0.050466685221402775,0.02457718172564408,20
domestic_0.15_help_on,domestic_0.15_help_off,material_at_customer_review_share,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,external_user_mean_merit,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,external_user_mean_dependence,0.0,0.0,20
domestic_0.15_help_on,domestic_0.15_help_off,unresolved_fraction,-0.012020058234181813,0.01045025848758033,20
domestic_0.15_help_on,domestic_0.15_help_off,submitted_unresolved_fraction,-0.013337714616116648,0.011519989684128032,20
domestic_0.15_help_on,domestic_0.15_help_off,external_user_unresolved_fraction,-0.019271276763119176,0.01640697553057947,20
domestic_0.15_help_on,domestic_0.15_help_off,mean_processing_time,0.1732183908152242,0.24724605274750483,20
domestic_0.15_help_on,domestic_0.15_help_off,median_processing_time,0.125,0.22213082915965965,20
domestic_0.15_help_on,domestic_0.15_help_off,unresolved_case_rounds,-35.55,30.846777533650517,20
domestic_0.15_help_on,domestic_0.15_help_off,pending_case_rounds,2.95,1.9594574974238472,20
domestic_0.35_help_on,domestic_0.35_help_off,time,0.0,0.0,20
domestic_0.35_help_on,domestic_0.35_help_off,new_disputes,0.0,0.0,20
domestic_0.35_help_on,domestic_0.35_help_off,new_complaints,0.0,0.0,20
domestic_0.35_help_on,domestic_0.35_help_off,new_complainants,0.0,0.0,20
domestic_0.35_help_on,domestic_0.35_help_off,new_domestic,0.0,0.0,20
domestic_0.35_help_on,domestic_0.35_help_off,new_customer,0.0,0.0,20
domestic_0.35_help_on,domestic_0.35_help_off,new_additional_channel,0.0,0.0,20
domestic_0.35_help_on,domestic_0.35_help_off,unresolved,-1.8,1.2396943596157717,20
