time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,scenario,seed
0,69,69,69,34,39,0,69,69,0,0,34,39,0,0,69,69,0,0,domestic_0.15_help_off,0
1,0,0,0,0,0,0,69,69,0,0,34,39,0,0,69,69,34,39,domestic_0.15_help_off,0
2,0,0,0,0,0,0,69,66,0,3,34,35,0,0,69,69,34,39,domestic_0.15_help_off,0
3,0,0,0,1,3,4,62,49,0,13,26,26,7,7,69,69,34,39,domestic_0.15_help_off,0
4,0,0,0,5,5,10,60,34,0,26,22,15,2,9,69,69,1,3,domestic_0.15_help_off,0
5,0,0,0,5,3,8,58,26,0,32,15,12,2,11,69,69,6,8,domestic_0.15_help_off,0
6,0,0,0,2,2,4,55,19,0,36,12,7,3,14,69,69,11,11,domestic_0.15_help_off,0
7,0,0,0,0,2,2,53,12,0,41,7,5,2,16,69,69,12,10,domestic_0.15_help_off,0
8,0,0,0,0,0,0,52,6,0,46,2,4,1,17,69,69,7,7,domestic_0.15_help_off,0
9,0,0,0,0,0,0,52,1,0,51,0,1,0,17,69,69,2,4,domestic_0.15_help_off,0
10,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,2,domestic_0.15_help_off,0
11,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
12,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
13,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
14,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
15,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
16,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
17,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
18,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
19,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
20,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
21,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
22,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
23,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
24,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
25,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
26,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
27,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
28,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
29,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
30,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
31,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
32,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
33,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
34,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
35,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
36,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
37,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
38,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
39,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
40,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
41,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
42,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
43,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
44,0,0,0,0,0,0,52,0,0,52,0,0,0,17,69,69,0,0,domestic_0.15_help_off,0
0,81,71,71,35,41,0,81,71,10,0,35,41,0,0,71,81,0,0,domestic_0.15_help_off,1
1,0,4,4,1,3,0,81,75,6,0,36,44,0,0,75,81,35,41,domestic_0.15_help_off,1
2,0,0,0,0,0,0,81,70,6,5,36,38,0,0,75,81,36,44,domestic_0.15_help_off,1
3,0,0,0,4,1,5,77,53,6,18,30,28,4,4,75,81,36,44,domestic_0.15_help_off,1
4,0,0,0,4,7,11,73,44,6,23,25,24,4,8,75,81,5,4,domestic_0.15_help_off,1
5,0,0,0,3,2,5,70,30,6,34,18,15,3,11,75,81,8,8,domestic_0.15_help_off,1
6,0,0,0,3,2,5,65,19,6,40,11,8,5,16,75,81,11,10,domestic_0.15_help_off,1
7,0,0,0,0,0,0,62,8,6,48,6,2,3,19,75,81,10,11,domestic_0.15_help_off,1
8,0,0,0,1,0,1,61,4,6,51,4,0,1,20,75,81,6,4,domestic_0.15_help_off,1
9,0,0,0,0,0,0,61,1,6,54,1,0,0,20,75,81,4,2,domestic_0.15_help_off,1
10,0,0,0,0,0,0,61,1,6,54,1,0,0,20,75,81,1,0,domestic_0.15_help_off,1
11,0,0,0,0,0,0,61,0,6,55,0,0,0,20,75,81,1,0,domestic_0.15_help_off,1
12,0,0,0,0,0,0,61,0,6,55,0,0,0,20,75,81,0,0,domestic_0.15_help_off,1
13,0,0,0,0,0,0,61,0,6,55,0,0,0,20,75,81,0,0,domestic_0.15_help_off,1
14,0,0,0,0,0,0,61,0,6,55,0,0,0,20,75,81,0,0,domestic_0.15_help_off,1
15,0,0,0,0,0,0,61,0,6,55,0,0,0,20,75,81,0,0,domestic_0.15_help_off,1
16,0,0,0,0,0,0,61,0,6,55,0,0,0,20,75,81,0,0,domestic_0.15_help_off,1
17,0,0,0,0,0,0,61,0,6,55,0,0,0,20,75,81,0,0,domestic_0.15_help_off,1
18,0,0,0,0,0,0,61,0,6,55,0,0,0,20,75,81,0,0,domestic_0.15_help_off,1
19,0,0,0,0,0,0,61,0,6,55,0,0,0,20,75,81,0,0,domestic_0.15_help_off,1
