case_id,employee,firm,created,first_submitted,d_submitted,e_submitted,d_responded,e_responded,material_at,customer_intervened_at,d_due,e_due,d_status,e_status,resolved,resolved_by,compensation,initial_choice,status,merit,reachable,dependence,processing_time,observed_wait,dispute_age_observed
0:0,0,0,0,0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.992760059691461,True,0.4068637130282758,3.0,3.0,3.0
1:0,1,5,0,0,0.0,0.0,2.0,2.0,,2.0,3.0,3.0,closed_unresolved,successful,3.0,e,1.0,d+e,resolved,0.42403633705529986,True,0.538940423438798,3.0,3.0,3.0
3:0,3,4,0,0,0.0,4.0,2.0,6.0,,,3.0,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.21223919630908938,True,0.20694384778006247,,44.0,44.0
5:0,5,0,0,0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.4851427568135255,False,0.4068637130282758,3.0,3.0,3.0
6:0,6,1,0,0,,0.0,,2.0,,2.0,,3.0,unused,successful,3.0,e,1.0,e,resolved,0.9052472326700784,True,0.8835149181532819,3.0,3.0,3.0
7:0,7,0,0,0,0.0,0.0,2.0,2.0,,2.0,3.0,3.0,closed_unresolved,successful,3.0,e,1.0,d+e,resolved,0.43136060466874526,True,0.4068637130282758,3.0,3.0,3.0
8:0,8,0,0,0,0.0,,2.0,,,,3.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.3960478194003253,True,0.4068637130282758,,44.0,44.0
10:0,10,1,0,0,,0.0,,2.0,,2.0,,3.0,unused,successful,3.0,e,1.0,e,resolved,0.6438525166688605,True,0.8835149181532819,3.0,3.0,3.0
11:0,11,0,0,0,0.0,,2.0,,2.0,,3.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.3068491472644639,False,0.4068637130282758,,44.0,44.0
12:0,12,5,0,0,0.0,,2.0,,2.0,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.5273082560727348,True,0.538940423438798,3.0,3.0,3.0
15:0,15,3,0,0,0.0,,2.0,,,,3.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9636525868444654,True,0.17485006268219494,,44.0,44.0
16:0,16,3,0,0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.4722846063408406,False,0.17485006268219494,3.0,3.0,3.0
17:0,17,5,0,0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.47358953296039524,True,0.538940423438798,3.0,3.0,3.0
19:0,19,4,0,0,0.0,4.0,2.0,6.0,,6.0,3.0,7.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.7665179959059183,True,0.20694384778006247,,44.0,44.0
20:0,20,4,0,0,0.0,5.0,3.0,7.0,,,4.0,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.3300545909333682,True,0.20694384778006247,,44.0,44.0
21:0,21,4,0,0,0.0,0.0,3.0,2.0,3.0,2.0,4.0,3.0,cancelled_by_resolution,successful,3.0,e,1.0,d+e,resolved,0.8922244628158189,True,0.20694384778006247,3.0,3.0,3.0
22:0,22,3,0,0,0.0,,3.0,,,,4.0,,successful,unused,4.0,d,1.0,d,resolved,0.8932192284287896,True,0.17485006268219494,4.0,4.0,4.0
24:0,24,3,0,0,0.0,,3.0,,,,4.0,,successful,unused,4.0,d,1.0,d,resolved,0.40228009063611153,True,0.17485006268219494,4.0,4.0,4.0
27:0,27,2,0,0,0.0,5.0,3.0,7.0,,7.0,4.0,8.0,closed_unresolved,successful,8.0,e,1.0,d,resolved,0.23505082056970572,True,0.8853926971592309,8.0,8.0,8.0
30:0,30,0,0,0,0.0,5.0,3.0,7.0,,,4.0,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.812423584071269,True,0.4068637130282758,,44.0,44.0
31:0,31,3,0,0,0.0,4.0,3.0,,3.0,,4.0,,successful,cancelled_by_resolution,4.0,d,1.0,d,resolved,0.9469976583411543,True,0.17485006268219494,4.0,4.0,4.0
35:0,35,5,0,0,0.0,4.0,3.0,,3.0,,4.0,,successful,cancelled_by_resolution,4.0,d,1.0,d,resolved,0.24004808460833615,True,0.538940423438798,4.0,4.0,4.0
