employee,firm,initial_dispute,reachable,merit,belief_d,belief_e,cost_d,cost_e
0,0,True,True,0.992760059691461,0.6849269699863758,0.5718186550998077,0.1483707952442035,0.27587969446165017
1,5,True,True,0.42403633705529986,0.369650571145668,0.4442033780125183,0.11649237148500251,0.17870348057465263
2,1,False,True,0.40738915590179553,0.5235229892299272,0.473264372209158,0.263165494873969,0.25744881888159726
3,4,True,True,0.21223919630908938,0.6216450067394355,0.45000433595911826,0.11447867665375151,0.3775813505449553
4,0,False,True,0.7951612190621808,0.6690599141965838,0.5678393323767725,0.18537115459172024,0.39639711143985157
5,0,True,False,0.4851427568135255,0.46352023428589695,0.2533268475780157,0.1609773507552331,0.3021323944895209
6,1,True,True,0.9052472326700784,0.5656081333859838,0.6296630268680814,0.22951785411666392,0.2675680860468209
7,0,True,True,0.43136060466874526,0.6195015022100783,0.5782926605303993,0.2039393136927115,0.21007926007053504
8,0,True,True,0.3960478194003253,0.42224487806266675,0.30087684618893723,0.09743626015620943,0.3270836536953683
9,5,False,True,0.3453204894600047,0.532955302540593,0.3866683600120977,0.15225089348526347,0.17224444981582024
10,1,True,True,0.6438525166688605,0.5288431740927177,0.6592945002124544,0.2200923526510588,0.2973293003305126
11,0,True,False,0.3068491472644639,0.657146533296191,0.3622355586349244,0.11254230858288973,0.15467226241520335
12,5,True,True,0.5273082560727348,0.7437817987812785,0.49346504317624446,0.2378376446886984,0.3113206276857364
13,5,False,False,0.37597924068513555,0.7435157570750575,0.5131566495024931,0.18991104582314097,0.21990191051890814
14,4,False,True,0.7328563019881995,0.48577094417519273,0.2776942196658079,0.09274096022700075,0.3757179293179736
15,3,True,True,0.9636525868444654,0.5815402376273212,0.3069852861702659,0.12013139547880683,0.36885322864169034
16,3,True,False,0.4722846063408406,0.6713353420972463,0.29731010526990487,0.2005787070626945,0.1929285768508154
17,5,True,True,0.47358953296039524,0.5319935126913222,0.581685672269076,0.253902026142052,0.30760713930070754
18,2,False,True,0.47978043491772304,0.41532729345925584,0.508534382426314,0.2668785658219401,0.2039475187177006
19,4,True,True,0.7665179959059183,0.7251883343647291,0.39294170293720576,0.134934236822975,0.22963360758369958
20,4,True,True,0.3300545909333682,0.6195092762977208,0.4194825053122554,0.1422286741409436,0.34279558387592546
21,4,True,True,0.8922244628158189,0.5103334540765462,0.37973614041483306,0.2492249358685547,0.16274712510260736
22,3,True,True,0.8932192284287896,0.5249099051021684,0.42564057089046453,0.1072317536866028,0.38624423250672224
23,4,False,True,0.2253373885113172,0.44456311745256527,0.4976160958288096,0.23213042523100139,0.27036932339355074
24,3,True,True,0.40228009063611153,0.6684423983588719,0.47538500790303767,0.26239716001572394,0.36884069536487507
25,2,False,True,0.4413277873763837,0.48455800528695236,0.6439437331644694,0.20401832482380802,0.2517907752397976
26,4,False,True,0.955868705425684,0.5107695329771381,0.5636318936169753,0.19476619026038808,0.1960547174193517
27,2,True,True,0.23505082056970572,0.6925893067107659,0.710568780748708,0.15779028109324086,0.3684614046068823
28,3,False,True,0.22835297104433946,0.6815047507093064,0.554524459920757,0.1140024642818504,0.1881403628040198
29,1,False,True,0.6065513421468937,0.5898161470086547,0.40591280030112764,0.1688951875850724,0.15225797122482468
30,0,True,True,0.812423584071269,0.6113152525564188,0.4735765040408436,0.10568988529152609,0.2968595249016314
31,3,True,True,0.9469976583411543,0.639231730984955,0.5380352926026235,0.15877040446700252,0.19435374724412033
32,3,False,True,0.6725171117662279,0.5395442222814674,0.4509405820866103,0.2462962142456128,0.15523450311047166
33,3,False,True,0.8658197385816353,0.5748180534584407,0.49369825015221575,0.26833595394296533,0.17665079821433555
34,3,False,True,0.9079413162717889,0.456610375048799,0.21512161009360167,0.12076011942033438,0.2772280511909312
35,5,True,True,0.24004808460833615,0.5686148129675394,0.38905035612887995,0.11359345932382238,0.17179398486241937
