time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer
0,69,69,69,61,14,0,69,69,0,0,61,14,0,0,69,69,0,0
1,0,0,0,0,0,0,69,69,0,0,61,14,0,0,69,69,61,14
2,0,0,0,0,0,0,69,65,0,4,61,9,0,0,69,69,61,14
3,0,0,0,4,0,4,59,55,0,4,54,2,10,10,69,69,61,14
4,0,0,0,1,4,5,54,46,0,8,44,3,5,15,69,69,4,0
5,0,0,0,1,14,15,51,42,0,9,34,13,3,18,69,69,5,4
6,0,0,0,0,5,5,44,34,0,10,22,13,7,25,69,69,6,18
7,0,0,0,0,5,5,39,20,0,19,8,13,5,30,69,69,2,23
8,0,0,0,0,2,2,33,14,0,19,1,13,6,36,69,69,1,24
9,0,0,0,0,0,0,30,5,0,25,0,5,3,39,69,69,0,12
10,0,0,0,0,0,0,29,1,0,28,0,1,1,40,69,69,0,7
11,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,2
12,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
13,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
14,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
15,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
16,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
17,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
18,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
19,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
20,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
21,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
22,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
23,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
24,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
25,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
26,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
27,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
28,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
29,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
30,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
31,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
32,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
33,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
34,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
35,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
36,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
37,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
38,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
39,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
40,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
41,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
42,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
43,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
44,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0
