time,case_id,employee,selected,material_known,social_d,social_e,p_d,p_e,cost_d,cost_e,utilities
0,2:0,2,e,False,0.0,0.0,0.41197079496082845,0.4491318046881344,0.2631195786566093,0.18530955760014894,wait:0.000000;d:0.107788;e:0.219055;d+e:0.156861
0,3:0,3,d,False,0.0,0.0,0.7012846419844834,0.5936893443536262,0.2658141629574809,0.3421680513814242,wait:0.000000;d:0.365570;e:0.192345;d+e:0.200432
0,4:0,4,d,False,0.0,0.0,0.6134939162452191,0.6108947963426673,0.0931582133250654,0.3081183566110844,wait:0.000000;d:0.459185;e:0.241885;d+e:0.377280
0,5:0,5,d,False,0.0,0.0,0.5711328982886554,0.38880287965275406,0.2639240822345544,0.40927658994266675,wait:0.000000;d:0.250281
0,7:0,7,d,False,0.0,0.0,0.5768540343874118,0.3210981998844705,0.26378219323620805,0.14589476006045327,wait:0.000000;d:0.255574;e:0.143198;d+e:0.228630
0,8:0,8,d,False,0.0,0.0,0.4915794095525231,0.3898558018677878,0.26897823763039225,0.2610303882394388,wait:0.000000;d:0.173603;e:0.089966;d+e:0.088225
0,10:0,10,d,False,0.0,0.0,0.5147509926299424,0.2831939087358267,0.22542131329577003,0.3757287643844844,wait:0.000000;d:0.238022;e:-0.120762;d+e:-0.020903
0,12:0,12,d,False,0.0,0.0,0.6343845548087125,0.5643847970554425,0.2683710134305787,0.21841271796935496,wait:0.000000;d:0.302781;e:0.289717;d+e:0.282279
0,15:0,15,d,False,0.0,0.0,0.7409231943614536,0.43753847187696704,0.24868062735076762,0.22097621163406084,wait:0.000000;d:0.418391;e:0.172950;d+e:0.308564
0,16:0,16,d,False,0.0,0.0,0.5782109202493442,0.36786422026767823,0.1341107593650732,0.19086217131100167,wait:0.000000;d:0.386467
0,17:0,17,d,False,0.0,0.0,0.6337842401883934,0.4522830184462083,0.18986681625049356,0.1773972015425624,wait:0.000000;d:0.380745;e:0.229804;d+e:0.358195
0,18:0,18,d+e,False,0.0,0.0,0.36554959741853243,0.3833302670341721,0.1636443576163653,0.20159273423979746,wait:0.000000;d:0.165469;e:0.143529;d+e:0.175414
0,20:0,20,d,False,0.0,0.0,0.6664950221095083,0.5801162047130579,0.15126403642668912,0.23575633653613837,wait:0.000000;d:0.448798;e:0.286537;d+e:0.401926
0,22:0,22,d,False,0.0,0.0,0.5453871614852659,0.4395520722878945,0.11926228296000783,0.3822785619855366,wait:0.000000;d:0.371763;e:0.013461;d+e:0.170906
3,2:0,2,no_addition,False,0.6,0.0,0.41197079496082845,0.4491318046881344,0.23154522921781617,0.18530955760014894,wait:0.433684;d:0.392190
3,3:0,3,no_addition,False,0.5,0.25,0.7012846419844834,0.5936893443536262,0.2392327466617328,0.325059648812353,wait:0.677164;e:0.504665
3,4:0,4,no_addition,False,0.14285714285714285,0.14285714285714285,0.6134939162452191,0.6108947963426673,0.09049655008720638,0.2993149749936248,wait:0.592393;e:0.497263
3,5:0,5,no_addition,True,0.6,0.2,0.5711328982886554,0.568802879652754,0.23225319236640785,0.39290552634496007,wait:0.551489
3,7:0,7,e,True,0.5,0.16666666666666666,0.5768540343874118,0.5010981998844706,0.23740397391258725,0.14103160139177148,wait:0.557013;e:0.595836
3,8:0,8,e,True,0.5,0.5,0.4915794095525231,0.5698558018677877,0.24208041386735302,0.23492734941549492,wait:0.474672;e:0.489267
3,10:0,10,no_addition,False,0.6666666666666666,0.3333333333333333,0.5147509926299424,0.2831939087358267,0.19536513818966736,0.35068018009218543,wait:0.497046;e:0.254602
3,12:0,12,e,True,0.6666666666666666,0.3333333333333333,0.6343845548087125,0.7443847970554425,0.23258821163983487,0.2038518701047313,wait:0.612565;e:0.648367
3,15:0,15,no_addition,False,0.3333333333333333,0.3333333333333333,0.7409231943614536,0.43753847187696704,0.23210191886071646,0.20624446419179013,wait:0.715439;e:0.601291
3,16:0,16,no_addition,True,0.6,0.0,0.5782109202493442,0.5478642202676782,0.11801746824126441,0.19086217131100167,wait:0.558324
3,17:0,17,e,True,0.3333333333333333,0.0,0.6337842401883934,0.6322830184462083,0.17720902850046066,0.1773972015425624,wait:0.611985;e:0.635469
3,18:0,18,no_addition,True,0.5,0.0,0.36554959741853243,0.5633302670341721,0.1472799218547288,0.20159273423979746,wait:0.352977
3,20:0,20,no_addition,False,0.8333333333333334,0.0,0.6664950221095083,0.5801162047130579,0.1260533636889076,0.23575633653613837,wait:0.643571;e:0.573975
3,22:0,22,no_addition,False,0.0,0.0,0.5453871614852659,0.4395520722878945,0.11926228296000783,0.3822785619855366,wait:0.526629;e:0.311682
4,3:0,3,e,False,0.0,0.0,0.7012846419844834,0.5936893443536262,0.2658141629574809,0.3421680513814242,wait:0.000000;e:0.172345
4,5:0,5,no_addition,True,0.0,0.2,0.5711328982886554,0.568802879652754,0.2639240822345544,0.39290552634496007,wait:0.000000
4,7:0,7,no_addition,True,0.0,0.16666666666666666,0.5768540343874118,0.5010981998844706,0.26378219323620805,0.14103160139177148,wait:0.467221
4,8:0,8,no_addition,True,0.0,0.0,0.4915794095525231,0.5698558018677877,0.26897823763039225,0.2610303882394388,wait:0.531330
4,16:0,16,no_addition,True,0.0,0.0,0.5782109202493442,0.5478642202676782,0.1341107593650732,0.19086217131100167,wait:0.495189
4,17:0,17,no_addition,True,0.0,0.0,0.6337842401883934,0.6322830184462083,0.18986681625049356,0.1773972015425624,wait:0.812329
4,18:0,18,no_addition,True,0.0,0.25,0.36554959741853243,0.5633302670341721,0.1636443576163653,0.19151309752780757,wait:0.313062
4,20:0,20,no_addition,False,0.0,0.3333333333333333,0.6664950221095083,0.5801162047130579,0.15126403642668912,0.22003924743372916,wait:0.570796;e:0.554927
4,22:0,22,no_addition,False,0.0,0.0,0.5453871614852659,0.4395520722878945,0.11926228296000783,0.3822785619855366,wait:0.467078;e:0.275698
5,3:0,3,no_addition,False,0.0,0.0,0.7012846419844834,0.5936893443536262,0.2658141629574809,0.3421680513814242,wait:0.553552
5,5:0,5,no_addition,True,0.0,0.2,0.5711328982886554,0.568802879652754,0.2639240822345544,0.39290552634496007,wait:0.000000
5,7:0,7,no_addition,True,0.0,0.16666666666666666,0.5768540343874118,0.5010981998844706,0.26378219323620805,0.14103160139177148,wait:0.483863
5,8:0,8,no_addition,True,0.0,0.0,0.4915794095525231,0.5698558018677877,0.26897823763039225,0.2610303882394388,wait:0.550256
5,16:0,16,no_addition,True,0.0,0.0,0.5782109202493442,0.5478642202676782,0.1341107593650732,0.19086217131100167,wait:0.000000
5,17:0,17,no_addition,True,0.0,0.0,0.6337842401883934,0.6322830184462083,0.18986681625049356,0.1773972015425624,wait:0.610536
5,20:0,20,e,False,0.0,0.5,0.6664950221095083,0.5801162047130579,0.15126403642668912,0.21218070288252452,wait:0.000000;e:0.290112
5,22:0,22,no_addition,False,0.0,0.0,0.5453871614852659,0.4395520722878945,0.11926228296000783,0.3822785619855366,wait:0.000000;e:-0.006539
6,3:0,3,no_addition,False,0.0,0.25,0.7012846419844834,0.5936893443536262,0.2658141629574809,0.325059648812353,wait:0.573270
6,5:0,5,no_addition,True,0.0,0.4,0.5711328982886554,0.568802879652754,0.2639240822345544,0.3765344627472534,wait:0.000000
6,7:0,7,no_addition,True,0.0,0.3333333333333333,0.5768540343874118,0.5010981998844706,0.26378219323620805,0.13616844272308973,wait:0.000000
6,8:0,8,no_addition,True,0.0,0.5,0.4915794095525231,0.5698558018677877,0.26897823763039225,0.23492734941549492,wait:0.550256
6,16:0,16,no_addition,True,0.0,0.2,0.5782109202493442,0.5478642202676782,0.1341107593650732,0.18322768445856158,wait:0.000000
6,17:0,17,no_addition,True,0.0,0.0,0.6337842401883934,0.6322830184462083,0.18986681625049356,0.1773972015425624,wait:0.000000
6,20:0,20,no_addition,False,0.0,0.5,0.6664950221095083,0.5801162047130579,0.15126403642668912,0.21218070288252452,wait:0.540897
6,22:0,22,no_addition,False,0.0,0.0,0.5453871614852659,0.4395520722878945,0.11926228296000783,0.3822785619855366,wait:0.000000;e:-0.006539
7,3:0,3,no_addition,False,0.0,0.25,0.7012846419844834,0.5936893443536262,0.2658141629574809,0.325059648812353,wait:0.573270
7,5:0,5,no_addition,True,0.0,0.2,0.5711328982886554,0.568802879652754,0.2639240822345544,0.39290552634496007,wait:0.000000
7,7:0,7,no_addition,True,0.0,0.16666666666666666,0.5768540343874118,0.5010981998844706,0.26378219323620805,0.14103160139177148,wait:0.000000
7,16:0,16,no_addition,True,0.0,0.2,0.5782109202493442,0.5478642202676782,0.1341107593650732,0.18322768445856158,wait:0.000000
7,17:0,17,no_addition,True,0.0,0.0,0.6337842401883934,0.6322830184462083,0.18986681625049356,0.1773972015425624,wait:0.000000
7,20:0,20,no_addition,False,0.0,0.16666666666666666,0.6664950221095083,0.5801162047130579,0.15126403642668912,0.22789779198493376,wait:0.560163
7,22:0,22,no_addition,False,0.0,0.0,0.5453871614852659,0.4395520722878945,0.11926228296000783,0.3822785619855366,wait:0.000000;e:-0.006539
8,3:0,3,no_addition,False,0.0,0.25,0.7012846419844834,0.5936893443536262,0.2658141629574809,0.325059648812353,wait:0.000000
8,5:0,5,no_addition,True,0.0,0.2,0.5711328982886554,0.568802879652754,0.2639240822345544,0.39290552634496007,wait:0.000000
8,7:0,7,no_addition,True,0.0,0.16666666666666666,0.5768540343874118,0.5010981998844706,0.26378219323620805,0.14103160139177148,wait:0.000000
8,16:0,16,no_addition,True,0.0,0.2,0.5782109202493442,0.5478642202676782,0.1341107593650732,0.18322768445856158,wait:0.000000
8,17:0,17,no_addition,True,0.0,0.0,0.6337842401883934,0.6322830184462083,0.18986681625049356,0.1773972015425624,wait:0.000000
8,20:0,20,no_addition,False,0.0,0.0,0.6664950221095083,0.5801162047130579,0.15126403642668912,0.23575633653613837,wait:0.560163
8,22:0,22,no_addition,False,0.0,0.0,0.5453871614852659,0.4395520722878945,0.11926228296000783,0.3822785619855366,wait:0.000000;e:-0.006539
9,3:0,3,no_addition,False,0.0,0.0,0.7012846419844834,0.5936893443536262,0.2658141629574809,0.3421680513814242,wait:0.000000
9,5:0,5,no_addition,True,0.0,0.0,0.5711328982886554,0.568802879652754,0.2639240822345544,0.40927658994266675,wait:0.000000
9,7:0,7,no_addition,True,0.0,0.0,0.5768540343874118,0.5010981998844706,0.26378219323620805,0.14589476006045327,wait:0.000000
9,16:0,16,no_addition,True,0.0,0.0,0.5782109202493442,0.5478642202676782,0.1341107593650732,0.19086217131100167,wait:0.000000
9,17:0,17,no_addition,True,0.0,0.0,0.6337842401883934,0.6322830184462083,0.18986681625049356,0.1773972015425624,wait:0.000000
9,22:0,22,no_addition,False,0.0,0.0,0.5453871614852659,0.4395520722878945,0.11926228296000783,0.3822785619855366,wait:0.000000;e:-0.006539
10,3:0,3,no_addition,False,0.0,0.0,0.7012846419844834,0.5936893443536262,0.2658141629574809,0.3421680513814242,wait:0.000000
10,5:0,5,no_addition,True,0.0,0.0,0.5711328982886554,0.568802879652754,0.2639240822345544,0.40927658994266675,wait:0.000000
10,7:0,7,no_addition,True,0.0,0.0,0.5768540343874118,0.5010981998844706,0.26378219323620805,0.14589476006045327,wait:0.000000
10,16:0,16,no_addition,True,0.0,0.0,0.5782109202493442,0.5478642202676782,0.1341107593650732,0.19086217131100167,wait:0.000000
10,17:0,17,no_addition,True,0.0,0.0,0.6337842401883934,0.6322830184462083,0.18986681625049356,0.1773972015425624,wait:0.000000
10,22:0,22,no_addition,False,0.0,0.0,0.5453871614852659,0.4395520722878945,0.11926228296000783,0.3822785619855366,wait:0.000000;e:-0.006539
11,3:0,3,no_addition,False,0.0,0.0,0.7012846419844834,0.5936893443536262,0.2658141629574809,0.3421680513814242,wait:0.000000
11,5:0,5,no_addition,True,0.0,0.0,0.5711328982886554,0.568802879652754,0.2639240822345544,0.40927658994266675,wait:0.000000
