time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer
0,14,14,14,13,2,0,14,14,0,0,13,2,0,0,14,14,0,0
1,0,0,0,0,0,0,14,14,0,0,13,2,0,0,14,14,13,2
2,0,0,0,0,0,0,14,14,0,0,13,1,0,0,14,14,13,2
3,0,0,0,0,4,4,9,7,0,2,5,3,5,5,14,14,13,2
4,0,0,0,0,1,1,8,4,0,4,0,4,1,6,14,14,0,4
5,0,0,0,0,1,1,8,3,0,5,0,3,0,6,14,14,0,5
6,0,0,0,0,0,0,7,2,0,5,0,2,1,7,14,14,0,6
7,0,0,0,0,0,0,7,1,0,6,0,1,0,7,14,14,0,2
8,0,0,0,0,0,0,6,0,0,6,0,0,1,8,14,14,0,1
9,0,0,0,0,0,0,6,0,0,6,0,0,0,8,14,14,0,0
10,0,0,0,0,0,0,6,0,0,6,0,0,0,8,14,14,0,0
11,0,0,0,0,0,0,6,0,0,6,0,0,0,8,14,14,0,0
12,0,0,0,0,0,0,6,0,0,6,0,0,0,8,14,14,0,0
13,0,0,0,0,0,0,6,0,0,6,0,0,0,8,14,14,0,0
14,0,0,0,0,0,0,6,0,0,6,0,0,0,8,14,14,0,0
