seed,success_off,success_on,paired_difference
0,0.25,0.30357142857142855,0.05357142857142855
1,0.27692307692307694,0.3230769230769231,0.046153846153846156
2,0.3090909090909091,0.4,0.09090909090909094
3,0.2727272727272727,0.36363636363636365,0.09090909090909094
4,0.14285714285714285,0.24489795918367346,0.10204081632653061
5,0.23809523809523808,0.25396825396825395,0.015873015873015872
6,0.25,0.39705882352941174,0.14705882352941174
7,0.2641509433962264,0.3584905660377358,0.09433962264150941
8,0.4,0.4888888888888889,0.08888888888888885
9,0.3125,0.3958333333333333,0.08333333333333331
10,0.23255813953488372,0.2558139534883721,0.023255813953488386
11,0.3191489361702128,0.3617021276595745,0.04255319148936171
12,0.36666666666666664,0.4166666666666667,0.050000000000000044
13,0.2361111111111111,0.3194444444444444,0.08333333333333331
14,0.32,0.42,0.09999999999999998
15,0.31746031746031744,0.38095238095238093,0.06349206349206349
16,0.32,0.38,0.06
17,0.23214285714285715,0.2857142857142857,0.05357142857142855
18,0.26153846153846155,0.3076923076923077,0.046153846153846156
19,0.22857142857142856,0.34285714285714286,0.1142857142857143
