treatment,control,metric,mean_difference,sd_difference,n,se_difference
domestic_0.15_help_on,domestic_0.15_help_off,time,0.0,0.0,20,0.0
domestic_0.15_help_on,domestic_0.15_help_off,new_disputes,0.0,0.0,20,0.0
domestic_0.15_help_on,domestic_0.15_help_off,new_complaints,0.0,0.0,20,0.0
domestic_0.15_help_on,domestic_0.15_help_off,new_complainants,0.0,0.0,20,0.0
domestic_0.15_help_on,domestic_0.15_help_off,new_domestic,0.0,0.0,20,0.0
domestic_0.15_help_on,domestic_0.15_help_off,new_customer,0.0,0.0,20,0.0
domestic_0.15_help_on,domestic_0.15_help_off,new_additional_channel,0.0,0.0,20,0.0
domestic_0.15_help_on,domestic_0.15_help_off,unresolved,-3.35,2.207046132634963,20,0.49351051820497943
domestic_0.15_help_on,domestic_0.15_help_off,pending,0.0,0.0,20,0.0
domestic_0.15_help_on,domestic_0.15_help_off,unsubmitted,0.0,0.0,20,0.0
domestic_0.15_help_on,domestic_0.15_help_off,closed_unresolved,-3.35,2.207046132634963,20,0.49351051820497943
domestic_0.15_help_on,domestic_0.15_help_off,pending_domestic,0.0,0.0,20,0.0
domestic_0.15_help_on,domestic_0.15_help_off,pending_customer,0.0,0.0,20,0.0
domestic_0.15_help_on,domestic_0.15_help_off,new_resolved,0.0,0.0,20,0.0
domestic_0.15_help_on,domestic_0.15_help_off,cumulative_resolved,3.35,2.207046132634963,20,0.49351051820497943
domestic_0.15_help_on,domestic_0.15_help_off,cumulative_complainants,0.0,0.0,20,0.0
domestic_0.15_help_on,domestic_0.15_help_off,total_cases,0.0,0.0,20,0.0
domestic_0.15_help_on,domestic_0.15_help_off,visible_domestic,0.0,0.0,20,0.0
domestic_0.15_help_on,domestic_0.15_help_off,visible_customer,0.0,0.0,20,0.0
domestic_0.15_help_on,domestic_0.15_help_off,unique_submitted_cases,0.0,0.0,20,0.0
domestic_0.15_help_on,domestic_0.15_help_off,unique_domestic_cases,0.0,0.0,20,0.0
domestic_0.15_help_on,domestic_0.15_help_off,unique_customer_cases,0.3,0.5712405705774795,20,0.12773327473170104
domestic_0.15_help_on,domestic_0.15_help_off,multi_cases,0.3,0.5712405705774795,20,0.12773327473170104
domestic_0.15_help_on,domestic_0.15_help_off,customer_share_all_cases,0.0037425422991998526,0.007037394507024193,20,0.0015736092502189717
domestic_0.15_help_on,domestic_0.15_help_off,customer_share_submitted,0.0037425422991998526,0.007037394507024193,20,0.0015736092502189717
domestic_0.15_help_on,domestic_0.15_help_off,domestic_share_submitted,0.0,0.0,20,0.0
domestic_0.15_help_on,domestic_0.15_help_off,first_domestic_share,0.0,0.0,20,0.0
domestic_0.15_help_on,domestic_0.15_help_off,first_customer_share,0.0,0.0,20,0.0
domestic_0.15_help_on,domestic_0.15_help_off,first_both_share,0.0,0.0,20,0.0
domestic_0.15_help_on,domestic_0.15_help_off,no_submission_share,0.0,0.0,20,0.0
domestic_0.15_help_on,domestic_0.15_help_off,domestic_then_customer_share,0.00445394143850579,0.008337764479755783,20,0.0018643808157117099
domestic_0.15_help_on,domestic_0.15_help_off,mean_escalation_time,0.018674469152432316,0.08238759712367548,20,0.01842242676714045
domestic_0.15_help_on,domestic_0.15_help_off,external_path_trigger_rate,0.0603001338837139,0.035245074547973154,20,0.007881038256131564
domestic_0.15_help_on,domestic_0.15_help_off,external_user_case_resolution_rate,0.06669853778298038,0.03931976061643765,20,0.008792165759737363
domestic_0.15_help_on,domestic_0.15_help_off,customer_intervention_rate,0.12993511018126638,0.05777008192877109,20,0.012917783025846431
domestic_0.15_help_on,domestic_0.15_help_off,material_at_customer_review_share,-0.001545039681858504,0.006784213808960567,20,0.0015169963250728597
domestic_0.15_help_on,domestic_0.15_help_off,external_user_mean_merit,0.00016912798936536967,0.002448541078975955,20,0.0005475104298290917
domestic_0.15_help_on,domestic_0.15_help_off,external_user_mean_dependence,-0.00035352909386575094,0.0007817526708224984,20,0.00017480521135511228
domestic_0.15_help_on,domestic_0.15_help_off,unresolved_fraction,-0.042626356230560325,0.026688931054897974,20,0.005967826408555704
domestic_0.15_help_on,domestic_0.15_help_off,submitted_unresolved_fraction,-0.042626356230560325,0.026688931054897974,20,0.005967826408555704
domestic_0.15_help_on,domestic_0.15_help_off,external_user_unresolved_fraction,-0.06669853778298036,0.039319760616437646,20,0.008792165759737361
domestic_0.15_help_on,domestic_0.15_help_off,mean_processing_time,0.3650562002993631,0.4310358895977371,20,0.09638255498826345
domestic_0.15_help_on,domestic_0.15_help_off,median_processing_time,0.35,0.7272876792721383,20,0.1626264690050566
domestic_0.15_help_on,domestic_0.15_help_off,unresolved_case_rounds,-119.35,74.83967073544267,20,16.73465911781515
domestic_0.15_help_on,domestic_0.15_help_off,pending_case_rounds,10.55,6.1769946703793375,20,1.3812179979622106
domestic_0.35_help_on,domestic_0.35_help_off,time,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,new_disputes,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,new_complaints,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,new_complainants,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,new_domestic,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,new_customer,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,new_additional_channel,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,unresolved,-3.0,2.176428750330035,20,0.4866642633922876
domestic_0.35_help_on,domestic_0.35_help_off,pending,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,unsubmitted,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,closed_unresolved,-3.0,2.176428750330035,20,0.4866642633922876
domestic_0.35_help_on,domestic_0.35_help_off,pending_domestic,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,pending_customer,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,new_resolved,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,cumulative_resolved,3.0,2.176428750330035,20,0.4866642633922876
domestic_0.35_help_on,domestic_0.35_help_off,cumulative_complainants,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,total_cases,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,visible_domestic,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,visible_customer,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,unique_submitted_cases,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,unique_domestic_cases,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,unique_customer_cases,0.55,0.6048053188292994,20,0.1352385806055747
domestic_0.35_help_on,domestic_0.35_help_off,multi_cases,0.55,0.6048053188292994,20,0.1352385806055747
domestic_0.35_help_on,domestic_0.35_help_off,customer_share_all_cases,0.006885305857292587,0.007450655245432586,20,0.0016660171605702642
