time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,scenario,seed
0,69,69,69,63,13,0,69,69,0,0,63,13,0,0,69,69,0,0,domestic_0.15_help_off,0
1,0,0,0,0,0,0,69,69,0,0,63,13,0,0,69,69,63,13,domestic_0.15_help_off,0
2,0,0,0,0,0,0,69,65,0,4,63,8,0,0,69,69,63,13,domestic_0.15_help_off,0
3,0,0,0,4,2,6,62,56,0,6,56,2,7,7,69,69,63,13,domestic_0.15_help_off,0
4,0,0,0,2,8,10,58,50,0,8,46,8,4,11,69,69,56,4,domestic_0.15_help_off,0
5,0,0,0,0,13,13,57,47,0,10,33,21,1,12,69,69,46,10,domestic_0.15_help_off,0
6,0,0,0,0,7,7,55,42,0,13,22,20,2,14,69,69,33,23,domestic_0.15_help_off,0
7,0,0,0,0,3,3,50,23,0,27,9,15,5,19,69,69,22,28,domestic_0.15_help_off,0
8,0,0,0,0,4,4,47,11,0,36,1,10,3,22,69,69,9,23,domestic_0.15_help_off,0
9,0,0,0,0,1,1,45,5,0,40,0,5,2,24,69,69,1,14,domestic_0.15_help_off,0
10,0,0,0,0,0,0,45,3,0,42,0,3,0,24,69,69,0,8,domestic_0.15_help_off,0
11,0,0,0,0,0,0,45,0,0,45,0,0,0,24,69,69,0,5,domestic_0.15_help_off,0
12,0,0,0,0,1,1,45,1,0,44,0,1,0,24,69,69,0,1,domestic_0.15_help_off,0
13,0,0,0,0,0,0,45,1,0,44,0,1,0,24,69,69,0,1,domestic_0.15_help_off,0
14,0,0,0,0,0,0,45,1,0,44,0,1,0,24,69,69,0,1,domestic_0.15_help_off,0
15,0,0,0,0,0,0,45,0,0,45,0,0,0,24,69,69,0,1,domestic_0.15_help_off,0
16,0,0,0,0,0,0,45,0,0,45,0,0,0,24,69,69,0,0,domestic_0.15_help_off,0
17,0,0,0,0,0,0,45,0,0,45,0,0,0,24,69,69,0,0,domestic_0.15_help_off,0
18,0,0,0,0,0,0,45,0,0,45,0,0,0,24,69,69,0,0,domestic_0.15_help_off,0
19,0,0,0,0,0,0,45,0,0,45,0,0,0,24,69,69,0,0,domestic_0.15_help_off,0
20,0,0,0,0,0,0,45,0,0,45,0,0,0,24,69,69,0,0,domestic_0.15_help_off,0
21,0,0,0,0,0,0,45,0,0,45,0,0,0,24,69,69,0,0,domestic_0.15_help_off,0
22,0,0,0,0,0,0,45,0,0,45,0,0,0,24,69,69,0,0,domestic_0.15_help_off,0
23,0,0,0,0,0,0,45,0,0,45,0,0,0,24,69,69,0,0,domestic_0.15_help_off,0
24,0,0,0,0,0,0,45,0,0,45,0,0,0,24,69,69,0,0,domestic_0.15_help_off,0
25,0,0,0,0,0,0,45,0,0,45,0,0,0,24,69,69,0,0,domestic_0.15_help_off,0
26,0,0,0,0,0,0,45,0,0,45,0,0,0,24,69,69,0,0,domestic_0.15_help_off,0
27,0,0,0,0,0,0,45,0,0,45,0,0,0,24,69,69,0,0,domestic_0.15_help_off,0
28,0,0,0,0,0,0,45,0,0,45,0,0,0,24,69,69,0,0,domestic_0.15_help_off,0
29,0,0,0,0,0,0,45,0,0,45,0,0,0,24,69,69,0,0,domestic_0.15_help_off,0
30,0,0,0,0,0,0,45,0,0,45,0,0,0,24,69,69,0,0,domestic_0.15_help_off,0
31,0,0,0,0,0,0,45,0,0,45,0,0,0,24,69,69,0,0,domestic_0.15_help_off,0
32,0,0,0,0,0,0,45,0,0,45,0,0,0,24,69,69,0,0,domestic_0.15_help_off,0
33,0,0,0,0,0,0,45,0,0,45,0,0,0,24,69,69,0,0,domestic_0.15_help_off,0
34,0,0,0,0,0,0,45,0,0,45,0,0,0,24,69,69,0,0,domestic_0.15_help_off,0
35,0,0,0,0,0,0,45,0,0,45,0,0,0,24,69,69,0,0,domestic_0.15_help_off,0
36,0,0,0,0,0,0,45,0,0,45,0,0,0,24,69,69,0,0,domestic_0.15_help_off,0
