time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer
0,69,69,69,63,13,0,69,69,0,0,63,13,0,0,69,69,0,0
1,0,0,0,0,0,0,69,69,0,0,63,13,0,0,69,69,63,13
2,0,0,0,0,0,0,69,65,0,4,63,8,0,0,69,69,63,13
3,0,0,0,4,2,6,60,56,0,4,56,2,9,9,69,69,63,13
4,0,0,0,2,7,9,54,48,0,6,46,6,6,15,69,69,56,4
5,0,0,0,0,11,11,49,41,0,8,33,14,5,20,69,69,46,9
6,0,0,0,0,7,7,43,33,0,10,22,11,6,26,69,69,33,20
7,0,0,0,0,3,3,38,18,0,20,8,10,5,31,69,69,22,25
8,0,0,0,0,3,3,33,9,0,24,1,8,5,36,69,69,8,21
9,0,0,0,0,1,1,32,5,0,27,0,5,1,37,69,69,1,13
10,0,0,0,0,0,0,32,2,0,30,0,2,0,37,69,69,0,7
11,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,4
12,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,1
13,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
14,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
15,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
16,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
17,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
18,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
19,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
20,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
21,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
22,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
23,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
24,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
25,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
26,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
27,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
28,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
29,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
30,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
31,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
32,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
33,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
34,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
35,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
36,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
37,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
38,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
39,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
40,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
41,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
42,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
43,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
44,0,0,0,0,0,0,32,0,0,32,0,0,0,37,69,69,0,0
