time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer
0,14,14,14,12,3,0,14,14,0,0,12,3,0,0,14,14,0,0
1,0,0,0,0,0,0,14,14,0,0,12,3,0,0,14,14,12,3
2,0,0,0,0,0,0,14,13,0,1,12,1,0,0,14,14,12,3
3,0,0,0,1,3,4,9,7,0,2,5,3,5,5,14,14,12,3
4,0,0,0,0,2,2,9,6,0,3,1,5,0,5,14,14,5,3
5,0,0,0,0,1,1,9,5,0,4,1,4,0,5,14,14,1,5
6,0,0,0,0,0,0,7,2,0,5,0,2,2,7,14,14,1,6
7,0,0,0,0,0,0,7,0,0,7,0,0,0,7,14,14,0,3
8,0,0,0,0,0,0,7,0,0,7,0,0,0,7,14,14,0,1
9,0,0,0,0,0,0,7,0,0,7,0,0,0,7,14,14,0,0
10,0,0,0,0,0,0,7,0,0,7,0,0,0,7,14,14,0,0
11,0,0,0,0,0,0,7,0,0,7,0,0,0,7,14,14,0,0
12,0,0,0,0,0,0,7,0,0,7,0,0,0,7,14,14,0,0
13,0,0,0,0,0,0,7,0,0,7,0,0,0,7,14,14,0,0
14,0,0,0,0,0,0,7,0,0,7,0,0,0,7,14,14,0,0
