case_id,employee,firm,created,submitted,responded,resolved,status,attempts,channels,compensation,processing_time,dispute_duration,observed_pending_time
0:0,0,0,0,4.0,4.0,5.0,resolved,2,domestic,1.0,1.0,5.0,1.0
1:0,1,7,0,3.0,3.0,8.0,resolved,3,domestic,1.0,5.0,8.0,5.0
2:0,2,7,0,3.0,3.0,9.0,resolved,3,domestic,1.0,6.0,9.0,6.0
5:0,5,5,0,1.0,1.0,5.0,resolved,3,domestic,1.0,4.0,5.0,4.0
7:0,7,7,0,,,,unsubmitted,0,,0.0,,,
8:0,8,2,0,5.0,5.0,5.0,resolved,1,domestic,1.0,0.0,5.0,0.0
11:0,11,3,0,2.0,2.0,2.0,resolved,1,domestic,1.0,0.0,2.0,0.0
12:0,12,0,0,2.0,2.0,3.0,resolved,2,domestic,1.0,1.0,3.0,1.0
13:0,13,3,0,,,,unsubmitted,0,,0.0,,,
14:0,14,4,0,0.0,0.0,0.0,resolved,1,domestic,1.0,0.0,0.0,0.0
15:0,15,3,0,0.0,0.0,0.0,resolved,1,domestic,1.0,0.0,0.0,0.0
16:0,16,1,0,0.0,0.0,1.0,resolved,2,domestic,1.0,1.0,1.0,1.0
17:0,17,6,0,3.0,3.0,3.0,resolved,1,domestic,1.0,0.0,3.0,0.0
26:0,26,2,0,3.0,3.0,6.0,resolved,2,external_customer,1.0,3.0,6.0,3.0
27:0,27,6,0,1.0,1.0,1.0,resolved,1,external_customer,1.0,0.0,1.0,0.0
31:0,31,3,0,1.0,1.0,1.0,resolved,1,domestic,1.0,0.0,1.0,0.0
33:0,33,4,0,2.0,2.0,2.0,resolved,1,domestic,1.0,0.0,2.0,0.0
34:0,34,3,0,0.0,0.0,1.0,resolved,2,domestic,1.0,1.0,1.0,1.0
35:0,35,7,0,2.0,2.0,5.0,resolved,2,domestic,1.0,3.0,5.0,3.0
36:0,36,4,0,1.0,1.0,3.0,resolved,2,domestic,1.0,2.0,3.0,2.0
