employee,firm,threshold,initiator
0,0,0.2011270776911317,False
1,7,0.17788452367430246,False
2,7,0.10548223657484626,False
3,4,0.20850101009984984,False
4,0,0.2028569257145853,False
5,5,0.11099851060146446,False
6,7,0.10329470920084446,False
7,7,0.1329526758680859,False
8,2,0.18520446900314463,False
9,6,0.18378427537348063,True
10,3,0.1118303711841007,True
11,3,0.24679285056056038,False
12,0,0.21616234122763892,False
13,3,0.11174866130786057,False
14,4,0.1200175618501035,True
15,3,0.10902398469136593,True
16,1,0.12224079963703072,True
17,6,0.24645973267252724,False
18,6,0.12579797854155217,False
19,0,0.15525884795326342,False
20,2,0.2560007702739546,False
21,3,0.19793040098494274,True
22,7,0.2009707223199838,False
23,1,0.10487368506867599,False
24,3,0.1978056887133376,False
25,5,0.1287796082288791,False
26,2,0.14752602438908888,False
27,6,0.2282088657424829,False
28,5,0.17702571846853857,False
29,1,0.1925301732628593,False
30,0,0.12262601765577397,False
31,3,0.2446408064095678,False
32,7,0.11111876009731524,False
33,4,0.10618196220830338,False
34,3,0.2528249896395299,True
35,7,0.18373113068746644,False
36,4,0.13752675698348416,False
37,5,0.11382366876979508,False
38,7,0.15323591890986468,False
39,6,0.12877778285066904,False
40,7,0.1629170843480325,False
41,6,0.18073528988327736,False
42,7,0.22789064823585387,False
43,6,0.24390442020475617,True
44,7,0.21622660958504686,False
45,6,0.1688915991136637,False
46,7,0.20892353333471997,False
47,2,0.17013659798413405,True
48,5,0.10510326033016272,False
49,2,0.13774145794955084,False
50,4,0.11280153581873349,True
51,6,0.24754274370414392,False
52,5,0.21515452445813898,False
53,2,0.2571830846036383,True
54,2,0.1765749038849542,False
55,5,0.20650571487055167,False
56,0,0.10050001400649845,False
57,1,0.24510589817715278,False
58,3,0.1224826963325996,False
59,3,0.2557470419846666,False
60,2,0.19706610535138938,False
61,4,0.16730401379638044,True
62,2,0.1205685235958267,False
63,1,0.1808776863168487,False
64,3,0.14435738842599394,False
65,0,0.10050660734166315,False
66,5,0.18502327104766064,False
67,1,0.2192173357600289,True
68,3,0.22067431517605596,True
69,4,0.16686389630806836,True
70,4,0.10923342939211257,False
71,4,0.22312025137162658,False
72,6,0.20938949931396772,False
73,4,0.11899793866183256,False
74,7,0.2200886967972835,False
75,0,0.13865024196975909,False
76,4,0.12671492637994017,False
77,7,0.22039556183392983,False
78,1,0.2208024899752598,False
79,2,0.15985565016335035,False
80,2,0.16533137086060767,False
81,4,0.1686235499302703,False
82,6,0.10262526499776758,False
83,7,0.18344154218029782,False
84,1,0.11865232957738067,False
85,1,0.25287403995317337,False
86,6,0.1733393197701054,False
87,5,0.1918120219707484,False
88,1,0.22438085761522214,False
89,7,0.20818053588972993,False
90,5,0.15892996182879898,True
91,0,0.17378261897862485,False
92,5,0.16397363108380258,False
93,7,0.25855312026657734,False
94,5,0.20529785397233447,False
95,7,0.19550190118845412,False
96,3,0.12043204107775142,False
97,0,0.23131711413167183,False
98,6,0.19525413325768357,False
99,0,0.20259126218022677,False
100,2,0.2030083253937523,False
101,5,0.19866861524670631,True
102,6,0.24060137766827494,False
103,4,0.13508355810748326,False
104,2,0.13719335271572558,False
105,1,0.1264198057687808,False
106,5,0.23947482380872287,True
107,0,0.21454814626911045,False
108,4,0.1513648742714606,False
109,3,0.12596358592138143,False
110,0,0.13464792318003763,False
111,0,0.1892978345378059,True
112,5,0.2528763928808788,False
113,1,0.23139109977214095,False
114,0,0.1142972741376734,False
115,2,0.1871842832095234,False
116,5,0.17586266641570303,False
117,4,0.15895567252269516,False
118,6,0.21076553602313192,False
119,3,0.2195649053918708,False
120,0,0.2511885552314275,False
121,4,0.1577956536765766,False
122,5,0.14114959390100368,False
123,6,0.13836560122491756,True
124,3,0.13733028153217083,True
125,1,0.19590283097060351,False
126,4,0.22993072420173327,False
127,0,0.165208249945202,False
128,4,0.20431972016158823,False
129,3,0.11796844692259634,False
130,1,0.19428090830967837,False
131,3,0.1809227500129723,False
132,1,0.1698167838137764,False
133,1,0.12100744978106741,False
134,2,0.24083972076515087,False
135,7,0.22968924942202434,False
136,4,0.14771355948187181,False
137,1,0.24057940295724045,True
138,3,0.1629335731583938,False
139,6,0.25981545631806086,False
140,7,0.10028229804466324,False
141,6,0.17016920694268406,False
142,1,0.2440494081034809,False
143,2,0.2308326920108868,False
144,3,0.12207624553426098,False
145,0,0.12079933054306832,False
146,2,0.21491661360816683,False
147,1,0.17884775989594143,False
148,2,0.1745950570501671,False
149,6,0.1966993043283281,False
150,6,0.22711089911913668,False
151,5,0.10733949299355505,False
152,4,0.12487372123508841,False
153,0,0.13471740316273367,False
154,5,0.21648338413005458,False
155,1,0.24785021434025822,False
156,2,0.1999805680962267,False
157,0,0.13647988614613774,False
158,5,0.15956594420126285,False
159,2,0.12170670998860128,False
