time,case_id,employee,event
0,0:0,0,created
0,1:0,1,created
0,2:0,2,created
0,5:0,5,created
0,7:0,7,created
0,8:0,8,created
0,11:0,11,created
0,12:0,12,created
0,13:0,13,created
0,14:0,14,created
0,15:0,15,created
0,16:0,16,created
0,17:0,17,created
0,26:0,26,created
0,27:0,27,created
0,31:0,31,created
0,33:0,33,created
0,34:0,34,created
0,35:0,35,created
0,36:0,36,created
0,37:0,37,created
0,38:0,38,created
0,39:0,39,created
0,40:0,40,created
0,41:0,41,created
0,42:0,42,created
0,43:0,43,created
0,46:0,46,created
0,49:0,49,created
0,51:0,51,created
0,52:0,52,created
0,53:0,53,created
0,54:0,54,created
0,58:0,58,created
0,59:0,59,created
0,62:0,62,created
0,63:0,63,created
0,64:0,64,created
0,65:0,65,created
0,67:0,67,created
0,70:0,70,created
0,72:0,72,created
0,73:0,73,created
0,77:0,77,created
0,79:0,79,created
0,81:0,81,created
0,82:0,82,created
0,83:0,83,created
0,84:0,84,created
0,85:0,85,created
0,86:0,86,created
0,87:0,87,created
0,88:0,88,created
0,90:0,90,created
0,91:0,91,created
0,93:0,93,created
0,94:0,94,created
0,95:0,95,created
0,97:0,97,created
0,100:0,100,created
0,103:0,103,created
0,104:0,104,created
0,105:0,105,created
0,108:0,108,created
0,109:0,109,created
0,112:0,112,created
0,113:0,113,created
0,116:0,116,created
0,117:0,117,created
0,119:0,119,created
0,122:0,122,created
0,124:0,124,created
0,125:0,125,created
0,126:0,126,created
0,128:0,128,created
0,130:0,130,created
0,131:0,131,created
0,134:0,134,created
0,135:0,135,created
0,138:0,138,created
0,139:0,139,created
0,140:0,140,created
0,141:0,141,created
0,142:0,142,created
0,143:0,143,created
0,144:0,144,created
0,146:0,146,created
0,148:0,148,created
0,149:0,149,created
0,150:0,150,created
0,157:0,157,created
0,158:0,158,created
0,159:0,159,created
0,14:0,14,received
0,15:0,15,received
0,16:0,16,received
0,34:0,34,received
0,43:0,43,received
0,53:0,53,received
0,67:0,67,received
0,90:0,90,received
0,124:0,124,received
0,16:0,16,responded
0,67:0,67,responded
0,16:0,16,attempted
0,67:0,67,attempted
0,53:0,53,responded
0,53:0,53,attempted
0,53:0,53,resolved
0,15:0,15,responded
0,34:0,34,responded
0,124:0,124,responded
0,15:0,15,attempted
0,15:0,15,resolved
0,34:0,34,attempted
0,124:0,124,attempted
0,14:0,14,responded
0,14:0,14,attempted
0,14:0,14,resolved
0,90:0,90,responded
0,90:0,90,attempted
0,90:0,90,resolved
0,43:0,43,responded
0,43:0,43,attempted
0,43:0,43,resolved
1,5:0,5,received
1,27:0,27,received
1,31:0,31,received
1,36:0,36,received
1,40:0,40,received
1,49:0,49,received
1,52:0,52,received
1,63:0,63,received
1,65:0,65,received
1,70:0,70,received
1,73:0,73,received
1,83:0,83,received
1,103:0,103,received
1,117:0,117,received
1,138:0,138,received
1,148:0,148,received
1,157:0,157,received
1,65:0,65,responded
1,157:0,157,responded
1,65:0,65,attempted
1,157:0,157,attempted
1,157:0,157,resolved
1,63:0,63,responded
1,63:0,63,attempted
1,63:0,63,resolved
1,16:0,16,attempted
1,16:0,16,resolved
1,67:0,67,attempted
1,67:0,67,resolved
1,49:0,49,responded
1,148:0,148,responded
1,49:0,49,attempted
1,49:0,49,resolved
1,148:0,148,attempted
1,31:0,31,responded
1,138:0,138,responded
1,31:0,31,attempted
1,31:0,31,resolved
1,138:0,138,attempted
1,34:0,34,attempted
1,34:0,34,resolved
1,36:0,36,responded
1,70:0,70,responded
1,73:0,73,responded
1,103:0,103,responded
1,117:0,117,responded
1,36:0,36,attempted
1,70:0,70,attempted
1,70:0,70,resolved
1,73:0,73,attempted
1,5:0,5,responded
1,52:0,52,responded
1,5:0,5,attempted
1,52:0,52,attempted
1,27:0,27,responded
1,27:0,27,attempted
1,27:0,27,resolved
1,40:0,40,responded
1,83:0,83,responded
1,40:0,40,attempted
1,83:0,83,attempted
1,83:0,83,resolved
2,11:0,11,received
2,12:0,12,received
2,33:0,33,received
2,35:0,35,received
2,37:0,37,received
2,38:0,38,received
2,39:0,39,received
2,41:0,41,received
2,51:0,51,received
2,54:0,54,received
2,81:0,81,received
2,86:0,86,received
2,104:0,104,received
2,109:0,109,received
2,116:0,116,received
2,119:0,119,received
2,130:0,130,received
2,140:0,140,received
2,143:0,143,received
2,149:0,149,received
2,12:0,12,responded
2,12:0,12,attempted
2,65:0,65,attempted
2,65:0,65,resolved
2,130:0,130,responded
2,130:0,130,attempted
2,130:0,130,resolved
2,54:0,54,responded
2,104:0,104,responded
2,143:0,143,responded
2,54:0,54,attempted
2,104:0,104,attempted
2,143:0,143,attempted
2,143:0,143,resolved
2,11:0,11,responded
2,109:0,109,responded
2,119:0,119,responded
2,11:0,11,attempted
2,11:0,11,resolved
2,109:0,109,attempted
2,109:0,109,resolved
2,119:0,119,attempted
2,33:0,33,responded
2,81:0,81,responded
2,103:0,103,attempted
2,117:0,117,attempted
2,33:0,33,attempted
2,33:0,33,resolved
2,37:0,37,responded
2,116:0,116,responded
2,37:0,37,attempted
2,37:0,37,resolved
2,116:0,116,attempted
2,5:0,5,attempted
2,39:0,39,responded
2,41:0,41,responded
2,51:0,51,responded
2,86:0,86,responded
2,149:0,149,responded
2,39:0,39,attempted
2,39:0,39,resolved
2,41:0,41,attempted
2,51:0,51,attempted
2,35:0,35,responded
2,38:0,38,responded
2,140:0,140,responded
2,35:0,35,attempted
2,38:0,38,attempted
2,140:0,140,attempted
3,1:0,1,received
3,2:0,2,received
3,17:0,17,received
3,26:0,26,received
3,58:0,58,received
3,59:0,59,received
3,79:0,79,received
3,82:0,82,received
3,85:0,85,received
3,94:0,94,received
3,105:0,105,received
3,113:0,113,received
3,122:0,122,received
3,125:0,125,received
3,135:0,135,received
3,144:0,144,received
3,158:0,158,received
3,159:0,159,received
3,12:0,12,attempted
3,12:0,12,resolved
3,85:0,85,responded
3,105:0,105,responded
3,113:0,113,responded
3,125:0,125,responded
3,85:0,85,attempted
3,105:0,105,attempted
3,113:0,113,attempted
3,26:0,26,responded
3,79:0,79,responded
3,159:0,159,responded
3,26:0,26,attempted
3,79:0,79,attempted
3,159:0,159,attempted
3,58:0,58,responded
3,59:0,59,responded
3,144:0,144,responded
3,58:0,58,attempted
3,58:0,58,resolved
3,59:0,59,attempted
3,59:0,59,resolved
3,144:0,144,attempted
3,81:0,81,attempted
3,81:0,81,resolved
3,36:0,36,attempted
3,36:0,36,resolved
3,73:0,73,attempted
3,94:0,94,responded
3,122:0,122,responded
3,158:0,158,responded
3,94:0,94,attempted
3,94:0,94,resolved
3,122:0,122,attempted
3,122:0,122,resolved
3,158:0,158,attempted
3,158:0,158,resolved
3,17:0,17,responded
3,82:0,82,responded
3,86:0,86,attempted
3,86:0,86,resolved
3,149:0,149,attempted
3,149:0,149,resolved
3,17:0,17,attempted
3,17:0,17,resolved
3,1:0,1,responded
3,2:0,2,responded
3,135:0,135,responded
3,1:0,1,attempted
3,2:0,2,attempted
3,135:0,135,attempted
4,0:0,0,received
4,46:0,46,received
4,62:0,62,received
4,64:0,64,received
4,77:0,77,received
4,84:0,84,received
4,88:0,88,received
4,91:0,91,received
4,93:0,93,received
4,100:0,100,received
4,112:0,112,received
4,131:0,131,received
4,142:0,142,received
4,0:0,0,responded
4,91:0,91,responded
4,0:0,0,attempted
4,91:0,91,attempted
4,91:0,91,resolved
4,84:0,84,responded
4,88:0,88,responded
4,142:0,142,responded
4,125:0,125,attempted
4,125:0,125,resolved
4,84:0,84,attempted
4,88:0,88,attempted
4,88:0,88,resolved
4,62:0,62,responded
4,100:0,100,responded
4,62:0,62,attempted
4,62:0,62,resolved
4,100:0,100,attempted
4,100:0,100,resolved
4,148:0,148,attempted
4,148:0,148,resolved
4,64:0,64,responded
4,131:0,131,responded
4,64:0,64,attempted
4,64:0,64,resolved
4,131:0,131,attempted
4,131:0,131,resolved
4,124:0,124,attempted
4,124:0,124,resolved
4,103:0,103,attempted
4,103:0,103,resolved
4,117:0,117,attempted
4,117:0,117,resolved
4,73:0,73,attempted
4,73:0,73,resolved
4,112:0,112,responded
4,112:0,112,attempted
4,52:0,52,attempted
4,116:0,116,attempted
4,116:0,116,resolved
4,82:0,82,attempted
4,82:0,82,resolved
4,41:0,41,attempted
4,41:0,41,resolved
4,51:0,51,attempted
4,46:0,46,responded
4,77:0,77,responded
