time,new_disputes,new_complaints,visible_complainants,new_complainants,unresolved,pending,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,unsubmitted,eligible_unsubmitted,threshold_blocked,utility_abstained,domestic_submissions,external_submissions,multi_submissions
0,93,9,0,9,88,4,5,5,9,93,84,93,84,0,8,1,0
1,0,17,9,17,78,11,10,15,26,93,67,84,67,0,11,6,0
2,0,20,26,20,70,23,8,23,46,93,47,67,47,0,17,3,0
3,0,18,46,18,59,30,11,34,64,93,29,47,29,0,14,4,0
4,0,13,56,13,42,26,17,51,77,93,16,29,16,0,11,2,0
5,0,3,55,3,31,18,11,62,80,93,13,16,13,0,2,1,0
6,0,0,40,0,25,12,6,68,80,93,13,13,13,0,0,0,0
7,0,0,26,0,19,6,6,74,80,93,13,13,13,0,0,0,0
8,0,0,9,0,17,4,2,76,80,93,13,13,13,0,0,0,0
9,0,0,4,0,15,2,2,78,80,93,13,13,13,0,0,0,0
10,0,0,2,0,14,1,1,79,80,93,13,13,13,0,0,0,0
11,0,0,1,0,14,1,0,79,80,93,13,13,13,0,0,0,0
12,0,0,1,0,14,1,0,79,80,93,13,13,13,0,0,0,0
13,0,0,1,0,14,1,0,79,80,93,13,13,13,0,0,0,0
14,0,0,1,0,13,0,1,80,80,93,13,13,13,0,0,0,0
15,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
16,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
17,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
18,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
19,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
20,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
21,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
22,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
23,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
24,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
25,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
26,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
27,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
28,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
29,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
30,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
31,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
32,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
33,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
34,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
35,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
36,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
37,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
38,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
39,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
40,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
41,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
42,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
43,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
44,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
45,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
46,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
47,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
48,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
49,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0
