cohort,onset,followup,population,cases,domestic_users,customer_users,first_d,first_e,first_both,no_submission,domestic_use,customer_use,both_use,d_to_e,e_to_d,resolved,unresolved,customer_minus_domestic,scenario,seed
0,0,24,all,24,20,13,0.6666666666666666,0.3333333333333333,0.0,0.0,0.8333333333333334,0.5416666666666666,0.375,0.20833333333333334,0.16666666666666666,0.4166666666666667,0.5833333333333334,-0.29166666666666674,base,0
0,0,24,both_reachable,19,15,13,0.5789473684210527,0.42105263157894735,0.0,0.0,0.7894736842105263,0.6842105263157895,0.47368421052631576,0.2631578947368421,0.21052631578947367,0.42105263157894735,0.5789473684210527,-0.10526315789473684,base,0
1,6,24,all,17,15,11,0.47058823529411764,0.5294117647058824,0.0,0.0,0.8823529411764706,0.6470588235294118,0.5294117647058824,0.11764705882352941,0.4117647058823529,0.4117647058823529,0.5882352941176471,-0.23529411764705876,base,0
1,6,24,both_reachable,15,13,11,0.4,0.6,0.0,0.0,0.8666666666666667,0.7333333333333333,0.6,0.13333333333333333,0.4666666666666667,0.4,0.6,-0.13333333333333341,base,0
2,12,24,all,19,18,7,0.7368421052631579,0.2631578947368421,0.0,0.0,0.9473684210526315,0.3684210526315789,0.3157894736842105,0.10526315789473684,0.21052631578947367,0.631578947368421,0.3684210526315789,-0.5789473684210527,base,0
2,12,24,both_reachable,18,17,7,0.7222222222222222,0.2777777777777778,0.0,0.0,0.9444444444444444,0.3888888888888889,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.6666666666666666,0.3333333333333333,-0.5555555555555556,base,0
3,18,24,all,18,15,4,0.7777777777777778,0.16666666666666666,0.0,0.05555555555555555,0.8333333333333334,0.2222222222222222,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.6111111111111112,0.3888888888888889,-0.6111111111111112,base,0
3,18,24,both_reachable,11,9,4,0.7272727272727273,0.2727272727272727,0.0,0.0,0.8181818181818182,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.6363636363636364,0.36363636363636365,-0.4545454545454546,base,0
4,24,24,all,19,15,10,0.5789473684210527,0.3684210526315789,0.05263157894736842,0.0,0.7894736842105263,0.5263157894736842,0.3157894736842105,0.10526315789473684,0.15789473684210525,0.3684210526315789,0.631578947368421,-0.26315789473684215,base,0
4,24,24,both_reachable,16,12,10,0.5,0.4375,0.0625,0.0,0.75,0.625,0.375,0.125,0.1875,0.375,0.625,-0.125,base,0
5,30,24,all,14,12,8,0.5714285714285714,0.35714285714285715,0.0,0.07142857142857142,0.8571428571428571,0.5714285714285714,0.5,0.21428571428571427,0.2857142857142857,0.42857142857142855,0.5714285714285714,-0.2857142857142857,base,0
5,30,24,both_reachable,12,10,8,0.5,0.4166666666666667,0.0,0.08333333333333333,0.8333333333333334,0.6666666666666666,0.5833333333333334,0.25,0.3333333333333333,0.4166666666666667,0.5833333333333334,-0.16666666666666674,base,0
6,36,24,all,20,14,14,0.4,0.5,0.05,0.05,0.7,0.7,0.45,0.15,0.25,0.45,0.55,0.0,base,0
6,36,24,both_reachable,19,14,14,0.42105263157894735,0.5263157894736842,0.05263157894736842,0.0,0.7368421052631579,0.7368421052631579,0.47368421052631576,0.15789473684210525,0.2631578947368421,0.47368421052631576,0.5263157894736842,0.0,base,0
7,42,24,all,23,18,11,0.6521739130434783,0.34782608695652173,0.0,0.0,0.782608695652174,0.4782608695652174,0.2608695652173913,0.13043478260869565,0.13043478260869565,0.5652173913043478,0.43478260869565216,-0.30434782608695654,base,0
7,42,24,both_reachable,17,12,11,0.5294117647058824,0.47058823529411764,0.0,0.0,0.7058823529411765,0.6470588235294118,0.35294117647058826,0.17647058823529413,0.17647058823529413,0.6470588235294118,0.35294117647058826,-0.05882352941176472,base,0
0,0,24,all,24,18,12,0.625,0.3333333333333333,0.0,0.041666666666666664,0.75,0.5,0.2916666666666667,0.16666666666666666,0.125,0.4166666666666667,0.5833333333333334,-0.25,no_social,0
