scenario,seed,population,period,cases,domestic_use,customer_use,first_d,first_e,first_both,no_submission,d_to_e,e_to_d,resolved,customer_minus_domestic
base,0,all,early,41,0.8536585365853658,0.5853658536585366,0.5853658536585366,0.4146341463414634,0.0,0.0,0.17073170731707316,0.26829268292682923,0.4146341463414634,-0.26829268292682923
base,0,all,late,43,0.7441860465116279,0.5813953488372093,0.5348837209302325,0.4186046511627907,0.023255813953488372,0.023255813953488372,0.1395348837209302,0.18604651162790695,0.5116279069767442,-0.1627906976744186
base,0,both_reachable,early,34,0.8235294117647058,0.7058823529411765,0.5,0.5,0.0,0.0,0.20588235294117646,0.32352941176470584,0.41176470588235287,-0.11764705882352941
base,0,both_reachable,late,36,0.7222222222222222,0.6944444444444444,0.4722222222222222,0.5,0.027777777777777766,0.0,0.16666666666666663,0.2222222222222222,0.5555555555555556,-0.027777777777777776
base,1,all,early,42,0.8809523809523809,0.5476190476190477,0.6428571428571429,0.35714285714285715,0.0,0.0,0.19047619047619047,0.23809523809523808,0.40476190476190477,-0.3333333333333333
base,1,all,late,35,0.8,0.6285714285714286,0.5714285714285714,0.4,0.0,0.02857142857142854,0.22857142857142856,0.22857142857142856,0.42857142857142855,-0.17142857142857137
base,1,both_reachable,early,32,0.84375,0.71875,0.53125,0.46875,0.0,0.0,0.24999999999999997,0.31249999999999994,0.40625,-0.125
base,1,both_reachable,late,27,0.7407407407407407,0.8148148148148148,0.4444444444444444,0.5185185185185185,0.0,0.03703703703703702,0.2962962962962963,0.2962962962962962,0.4074074074074074,0.07407407407407404
cost_high,0,all,early,41,0.7560975609756098,0.4634146341463415,0.6097560975609756,0.34146341463414637,0.0,0.048780487804878044,0.12195121951219512,0.14634146341463414,0.43902439024390244,-0.2926829268292683
cost_high,0,all,late,43,0.6511627906976745,0.5581395348837209,0.4883720930232558,0.4418604651162791,0.0,0.0697674418604651,0.11627906976744186,0.1627906976744186,0.4883720930232558,-0.09302325581395351
cost_high,0,both_reachable,early,34,0.7058823529411765,0.5588235294117647,0.5294117647058824,0.4117647058823529,0.0,0.05882352941176469,0.14705882352941171,0.17647058823529407,0.4411764705882352,-0.14705882352941177
cost_high,0,both_reachable,late,36,0.6388888888888888,0.6666666666666666,0.4444444444444444,0.5277777777777778,0.0,0.027777777777777776,0.13888888888888884,0.19444444444444445,0.5,0.027777777777777776
cost_high,1,all,early,42,0.7619047619047619,0.5476190476190477,0.5952380952380952,0.38095238095238093,0.0,0.023809523809523784,0.16666666666666666,0.16666666666666666,0.35714285714285715,-0.2142857142857142
cost_high,1,all,late,35,0.8285714285714286,0.5142857142857142,0.5428571428571428,0.42857142857142855,0.0,0.02857142857142854,0.08571428571428572,0.2857142857142857,0.45714285714285713,-0.3142857142857142
cost_high,1,both_reachable,early,32,0.71875,0.71875,0.5,0.5,0.0,0.0,0.21874999999999997,0.21874999999999997,0.34375,2.0816681711721685e-17
cost_high,1,both_reachable,late,27,0.7777777777777778,0.6666666666666666,0.4074074074074074,0.5555555555555556,0.0,0.03703703703703702,0.11111111111111106,0.37037037037037035,0.4444444444444444,-0.11111111111111113
cost_low,0,all,early,41,0.8780487804878049,0.6341463414634146,0.5365853658536586,0.4634146341463415,0.0,0.0,0.17073170731707313,0.34146341463414637,0.4634146341463415,-0.24390243902439024
cost_low,0,all,late,43,0.8372093023255814,0.627906976744186,0.5581395348837209,0.3953488372093023,0.046511627906976744,0.0,0.18604651162790695,0.2325581395348837,0.5348837209302325,-0.20930232558139536
cost_low,0,both_reachable,early,34,0.8529411764705882,0.7647058823529411,0.4411764705882353,0.5588235294117647,0.0,0.0,0.2058823529411764,0.4117647058823529,0.4705882352941176,-0.08823529411764702
cost_low,0,both_reachable,late,36,0.8055555555555556,0.75,0.4722222222222221,0.4722222222222222,0.05555555555555553,0.0,0.2222222222222222,0.2777777777777778,0.5555555555555556,-0.05555555555555553
cost_low,1,all,early,42,0.9523809523809523,0.5714285714285714,0.6428571428571429,0.3095238095238095,0.047619047619047596,0.0,0.21428571428571425,0.2619047619047619,0.40476190476190477,-0.38095238095238093
cost_low,1,all,late,35,0.8857142857142857,0.6571428571428571,0.5714285714285714,0.42857142857142855,0.0,0.0,0.22857142857142856,0.3142857142857143,0.5428571428571428,-0.2285714285714285
cost_low,1,both_reachable,early,32,0.9375,0.75,0.53125,0.40625,0.0625,0.0,0.28124999999999994,0.34374999999999994,0.40625,-0.18750000000000003
cost_low,1,both_reachable,late,27,0.8518518518518519,0.8518518518518519,0.4444444444444444,0.5555555555555556,0.0,0.0,0.2962962962962963,0.4074074074074074,0.5185185185185185,9.046261682130905e-17
customer_tight,0,all,early,41,0.8536585365853658,0.5853658536585366,0.5853658536585366,0.4146341463414634,0.0,0.0,0.17073170731707316,0.26829268292682923,0.4146341463414634,-0.26829268292682923
customer_tight,0,all,late,43,0.7441860465116279,0.5813953488372093,0.5348837209302325,0.4186046511627907,0.023255813953488372,0.023255813953488372,0.1395348837209302,0.18604651162790695,0.5116279069767442,-0.1627906976744186
customer_tight,0,both_reachable,early,34,0.8235294117647058,0.7058823529411765,0.5,0.5,0.0,0.0,0.20588235294117646,0.32352941176470584,0.41176470588235287,-0.11764705882352941
customer_tight,0,both_reachable,late,36,0.7222222222222222,0.6944444444444444,0.4722222222222222,0.5,0.027777777777777766,0.0,0.16666666666666663,0.2222222222222222,0.5555555555555556,-0.027777777777777776
customer_tight,1,all,early,42,0.8809523809523809,0.5476190476190477,0.6428571428571429,0.35714285714285715,0.0,0.0,0.19047619047619047,0.23809523809523808,0.40476190476190477,-0.3333333333333333
customer_tight,1,all,late,35,0.7714285714285715,0.6285714285714286,0.5714285714285714,0.4,0.0,0.02857142857142854,0.22857142857142856,0.2,0.37142857142857144,-0.1428571428571428
customer_tight,1,both_reachable,early,32,0.84375,0.71875,0.53125,0.46875,0.0,0.0,0.24999999999999997,0.31249999999999994,0.40625,-0.125
customer_tight,1,both_reachable,late,27,0.7037037037037037,0.8148148148148148,0.4444444444444444,0.5185185185185185,0.0,0.03703703703703702,0.2962962962962963,0.25925925925925924,0.3333333333333333,0.11111111111111106
domestic_tight,0,all,early,41,0.8292682926829268,0.6585365853658537,0.6097560975609756,0.3902439024390244,0.0,0.0,0.2682926829268293,0.21951219512195116,0.36585365853658536,-0.17073170731707313
domestic_tight,0,all,late,43,0.813953488372093,0.627906976744186,0.5813953488372093,0.3953488372093023,0.0,0.023255813953488372,0.2325581395348837,0.2325581395348837,0.09302325581395346,-0.1860465116279069
domestic_tight,0,both_reachable,early,34,0.7941176470588235,0.7941176470588235,0.5294117647058824,0.4705882352941176,0.0,0.0,0.3235294117647059,0.2647058823529412,0.32352941176470584,5.224578939412501e-17
domestic_tight,0,both_reachable,late,36,0.8055555555555556,0.75,0.5277777777777778,0.4722222222222222,0.0,0.0,0.2777777777777778,0.2777777777777778,0.1111111111111111,-0.05555555555555555
domestic_tight,1,all,early,42,0.8809523809523809,0.4523809523809524,0.7142857142857143,0.2857142857142857,0.0,0.0,0.16666666666666666,0.16666666666666666,0.38095238095238093,-0.4285714285714285
domestic_tight,1,all,late,35,0.8285714285714286,0.6,0.42857142857142855,0.5142857142857142,0.0,0.057142857142857134,0.0857142857142857,0.4,0.08571428571428572,-0.22857142857142856
domestic_tight,1,both_reachable,early,32,0.84375,0.59375,0.625,0.375,0.0,0.0,0.21874999999999994,0.21874999999999994,0.37499999999999994,-0.24999999999999997
domestic_tight,1,both_reachable,late,27,0.7777777777777778,0.7777777777777778,0.25925925925925924,0.6666666666666666,0.0,0.07407407407407406,0.11111111111111108,0.5185185185185185,0.11111111111111106,-4.11193712824132e-18
network_ba,0,all,early,41,0.8292682926829268,0.6097560975609756,0.5609756097560976,0.4146341463414634,0.0,0.024390243902438987,0.19512195121951215,0.26829268292682923,0.43902439024390244,-0.21951219512195116
network_ba,0,all,late,43,0.7906976744186046,0.5348837209302325,0.5813953488372093,0.4186046511627907,0.0,0.0,0.11627906976744184,0.2093023255813953,0.5348837209302325,-0.2558139534883721
network_ba,0,both_reachable,early,34,0.8235294117647058,0.7352941176470589,0.5,0.5,0.0,0.0,0.23529411764705882,0.3235294117647059,0.4411764705882352,-0.08823529411764702
network_ba,0,both_reachable,late,36,0.75,0.6388888888888888,0.5,0.5,0.0,0.0,0.13888888888888884,0.2499999999999999,0.5555555555555556,-0.11111111111111106
network_ba,1,all,early,42,0.8809523809523809,0.47619047619047616,0.6666666666666666,0.30952380952380953,0.0,0.023809523809523784,0.16666666666666657,0.21428571428571427,0.2857142857142857,-0.40476190476190466
network_ba,1,all,late,35,0.8285714285714286,0.6571428571428571,0.4,0.5714285714285714,0.0,0.028571428571428567,0.08571428571428567,0.42857142857142855,0.5142857142857142,-0.17142857142857137
network_ba,1,both_reachable,early,32,0.84375,0.625,0.5625,0.40625,0.0,0.031249999999999986,0.21874999999999994,0.28124999999999994,0.28125,-0.21874999999999997
network_ba,1,both_reachable,late,27,0.7777777777777778,0.8518518518518519,0.22222222222222215,0.7407407407407407,0.0,0.03703703703703703,0.11111111111111108,0.5555555555555556,0.48148148148148145,0.07407407407407406
network_ws,0,all,early,41,0.8780487804878049,0.5365853658536586,0.6097560975609756,0.36585365853658536,0.0,0.024390243902438987,0.17073170731707313,0.26829268292682923,0.43902439024390244,-0.34146341463414637
network_ws,0,all,late,43,0.7906976744186046,0.5813953488372093,0.5581395348837209,0.3953488372093023,0.0,0.04651162790697674,0.18604651162790695,0.23255813953488372,0.5581395348837209,-0.20930232558139528
network_ws,0,both_reachable,early,34,0.8823529411764706,0.6470588235294118,0.5588235294117647,0.4411764705882352,0.0,0.0,0.2058823529411764,0.3235294117647059,0.4411764705882352,-0.2352941176470588
network_ws,0,both_reachable,late,36,0.8055555555555556,0.6944444444444444,0.5277777777777778,0.4722222222222222,0.0,0.0,0.2222222222222222,0.27777777777777773,0.6111111111111112,-0.11111111111111109
network_ws,1,all,early,42,0.8333333333333334,0.5238095238095238,0.7142857142857143,0.2857142857142857,0.0,0.0,0.23809523809523805,0.119047619047619,0.30952380952380953,-0.30952380952380953
network_ws,1,all,late,35,0.8857142857142857,0.6285714285714286,0.5714285714285714,0.42857142857142855,0.0,0.0,0.19999999999999996,0.3142857142857143,0.4857142857142857,-0.2571428571428571
network_ws,1,both_reachable,early,32,0.78125,0.6875,0.625,0.375,0.0,0.0,0.3125,0.15624999999999994,0.31249999999999994,-0.09375000000000001
network_ws,1,both_reachable,late,27,0.8518518518518519,0.8148148148148148,0.4444444444444444,0.5555555555555556,0.0,0.0,0.2592592592592592,0.4074074074074074,0.48148148148148145,-0.03703703703703698
no_actions,0,all,early,41,0.8292682926829268,0.5853658536585366,0.5853658536585366,0.4146341463414634,0.0,0.0,0.17073170731707316,0.24390243902439016,0.3902439024390244,-0.2439024390243902
no_actions,0,all,late,43,0.813953488372093,0.4883720930232558,0.6046511627906976,0.34883720930232553,0.023255813953488372,0.023255813953488372,0.11627906976744184,0.18604651162790695,0.46511627906976744,-0.3255813953488372
no_actions,0,both_reachable,early,34,0.7941176470588235,0.7058823529411765,0.5,0.5,0.0,0.0,0.20588235294117646,0.2941176470588235,0.38235294117647056,-0.08823529411764705
no_actions,0,both_reachable,late,36,0.8055555555555556,0.5833333333333334,0.5555555555555556,0.4166666666666667,0.027777777777777766,0.0,0.13888888888888884,0.2222222222222222,0.5,-0.2222222222222222
no_actions,1,all,early,42,0.8809523809523809,0.5476190476190477,0.6428571428571429,0.35714285714285715,0.0,0.0,0.19047619047619047,0.23809523809523808,0.38095238095238093,-0.3333333333333333
no_actions,1,all,late,35,0.8,0.6285714285714286,0.5428571428571428,0.42857142857142855,0.0,0.02857142857142854,0.19999999999999996,0.2571428571428571,0.4,-0.17142857142857137
no_actions,1,both_reachable,early,32,0.84375,0.71875,0.53125,0.46875,0.0,0.0,0.24999999999999997,0.31249999999999994,0.375,-0.125
no_actions,1,both_reachable,late,27,0.7407407407407407,0.8148148148148148,0.4074074074074074,0.5555555555555556,0.0,0.03703703703703702,0.2592592592592592,0.33333333333333326,0.37037037037037035,0.07407407407407404
no_outcomes,0,all,early,41,0.7560975609756098,0.5609756097560976,0.5853658536585366,0.3902439024390244,0.0,0.024390243902439022,0.17073170731707313,0.17073170731707318,0.4146341463414634,-0.19512195121951215
no_outcomes,0,all,late,43,0.7209302325581395,0.5348837209302325,0.5581395348837209,0.3953488372093023,0.023255813953488372,0.023255813953488372,0.11627906976744186,0.1395348837209302,0.46511627906976744,-0.18604651162790695
no_outcomes,0,both_reachable,early,34,0.7058823529411765,0.6764705882352942,0.5,0.4705882352941176,0.0,0.02941176470588232,0.2058823529411764,0.2058823529411764,0.41176470588235287,-0.02941176470588236
no_outcomes,0,both_reachable,late,36,0.6944444444444444,0.6388888888888888,0.5,0.4722222222222222,0.027777777777777766,0.0,0.13888888888888884,0.16666666666666663,0.5,-0.05555555555555558
no_outcomes,1,all,early,42,0.8095238095238095,0.47619047619047616,0.7142857142857143,0.2857142857142857,0.0,0.0,0.19047619047619044,0.09523809523809518,0.2857142857142857,-0.33333333333333326
no_outcomes,1,all,late,35,0.8,0.6,0.45714285714285713,0.4857142857142857,0.0,0.057142857142857106,0.11428571428571425,0.34285714285714286,0.4857142857142857,-0.19999999999999996
no_outcomes,1,both_reachable,early,32,0.75,0.625,0.625,0.375,0.0,0.0,0.25,0.12499999999999992,0.24999999999999997,-0.12499999999999994
no_outcomes,1,both_reachable,late,27,0.7407407407407407,0.7777777777777778,0.2962962962962962,0.6296296296296297,0.0,0.07407407407407404,0.14814814814814808,0.4444444444444444,0.4444444444444444,0.03703703703703703
no_social,0,all,early,41,0.7073170731707317,0.5609756097560976,0.5365853658536586,0.3902439024390244,0.0,0.07317073170731703,0.17073170731707313,0.17073170731707318,0.3902439024390244,-0.14634146341463414
no_social,0,all,late,43,0.6976744186046512,0.5348837209302325,0.5581395348837209,0.3953488372093023,0.023255813953488372,0.023255813953488372,0.11627906976744186,0.11627906976744182,0.46511627906976744,-0.16279069767441853
no_social,0,both_reachable,early,34,0.6764705882352942,0.6764705882352942,0.47058823529411764,0.4705882352941176,0.0,0.05882352941176469,0.2058823529411764,0.2058823529411764,0.38235294117647056,1.3061447348531253e-17
no_social,0,both_reachable,late,36,0.6666666666666666,0.6388888888888888,0.5,0.4722222222222222,0.027777777777777766,0.0,0.13888888888888884,0.13888888888888884,0.5,-0.027777777777777755
no_social,1,all,early,42,0.8095238095238095,0.47619047619047616,0.7142857142857143,0.2857142857142857,0.0,0.0,0.19047619047619044,0.09523809523809518,0.2857142857142857,-0.33333333333333326
no_social,1,all,late,35,0.7714285714285715,0.6,0.45714285714285713,0.4857142857142857,0.0,0.057142857142857106,0.11428571428571425,0.3142857142857143,0.45714285714285713,-0.17142857142857143
