scenario,population,metric,comparison,n,mean,low,high
base,all,domestic_use,early_level,2,0.8673054587688733,0.8536585365853658,0.8809523809523809
base,all,domestic_use,late_level,2,0.772093023255814,0.7441860465116279,0.8
base,all,domestic_use,late_minus_early,2,-0.09521243551305941,-0.10947249007373794,-0.08095238095238089
base,all,customer_use,early_level,2,0.5664924506387921,0.5476190476190477,0.5853658536585366
base,all,customer_use,late_level,2,0.604983388704319,0.5813953488372093,0.6285714285714286
base,all,customer_use,late_minus_early,2,0.038490938065526836,-0.003970504821327214,0.08095238095238089
base,all,first_d,early_level,2,0.6141114982578397,0.5853658536585366,0.6428571428571429
base,all,first_d,late_level,2,0.5531561461794019,0.5348837209302325,0.5714285714285714
base,all,first_d,late_minus_early,2,-0.060955352078437774,-0.07142857142857151,-0.05048213272830404
base,all,first_e,early_level,2,0.3858885017421603,0.35714285714285715,0.4146341463414634
base,all,first_e,late_level,2,0.40930232558139534,0.4,0.4186046511627907
base,all,first_e,late_minus_early,2,0.0234138238392351,0.003970504821327325,0.04285714285714287
base,all,first_both,early_level,2,0.0,0.0,0.0
base,all,first_both,late_level,2,0.011627906976744186,0.0,0.023255813953488372
base,all,first_both,late_minus_early,2,0.011627906976744186,0.0,0.023255813953488372
base,all,no_submission,early_level,2,0.0,0.0,0.0
base,all,no_submission,late_level,2,0.025913621262458456,0.023255813953488372,0.02857142857142854
base,all,no_submission,late_minus_early,2,0.025913621262458456,0.023255813953488372,0.02857142857142854
base,all,d_to_e,early_level,2,0.1806039488966318,0.17073170731707316,0.19047619047619047
base,all,d_to_e,late_level,2,0.1840531561461794,0.1395348837209302,0.22857142857142856
base,all,d_to_e,late_minus_early,2,0.003449207249547573,-0.031196823596142953,0.0380952380952381
base,all,e_to_d,early_level,2,0.25319396051103366,0.23809523809523808,0.26829268292682923
base,all,e_to_d,late_level,2,0.20730897009966776,0.18604651162790695,0.22857142857142856
base,all,e_to_d,late_minus_early,2,-0.0458849904113659,-0.08224617129892228,-0.009523809523809518
base,all,resolved,early_level,2,0.4096980255516841,0.40476190476190477,0.4146341463414634
base,all,resolved,late_level,2,0.4700996677740864,0.42857142857142855,0.5116279069767442
base,all,resolved,late_minus_early,2,0.060401642222402296,0.02380952380952378,0.09699376063528081
base,all,customer_minus_domestic,early_level,2,-0.30081300813008127,-0.3333333333333333,-0.26829268292682923
base,all,customer_minus_domestic,late_level,2,-0.16710963455149497,-0.17142857142857137,-0.1627906976744186
base,all,customer_minus_domestic,late_minus_early,2,0.1337033735785863,0.10550198525241064,0.16190476190476194
base,both_reachable,domestic_use,early_level,2,0.8336397058823529,0.8235294117647058,0.84375
base,both_reachable,domestic_use,late_level,2,0.7314814814814814,0.7222222222222222,0.7407407407407407
base,both_reachable,domestic_use,late_minus_early,2,-0.10215822440087147,-0.1030092592592593,-0.10130718954248363
base,both_reachable,customer_use,early_level,2,0.7123161764705883,0.7058823529411765,0.71875
base,both_reachable,customer_use,late_level,2,0.7546296296296295,0.6944444444444444,0.8148148148148148
base,both_reachable,customer_use,late_minus_early,2,0.042313453159041337,-0.011437908496732097,0.09606481481481477
base,both_reachable,first_d,early_level,2,0.515625,0.5,0.53125
base,both_reachable,first_d,late_level,2,0.4583333333333333,0.4444444444444444,0.4722222222222222
base,both_reachable,first_d,late_minus_early,2,-0.057291666666666685,-0.08680555555555558,-0.02777777777777779
base,both_reachable,first_e,early_level,2,0.484375,0.46875,0.5
base,both_reachable,first_e,late_level,2,0.5092592592592593,0.5,0.5185185185185185
base,both_reachable,first_e,late_minus_early,2,0.024884259259259245,0.0,0.04976851851851849
base,both_reachable,first_both,early_level,2,0.0,0.0,0.0
base,both_reachable,first_both,late_level,2,0.013888888888888883,0.0,0.027777777777777766
base,both_reachable,first_both,late_minus_early,2,0.013888888888888883,0.0,0.027777777777777766
base,both_reachable,no_submission,early_level,2,0.0,0.0,0.0
base,both_reachable,no_submission,late_level,2,0.01851851851851851,0.0,0.03703703703703702
base,both_reachable,no_submission,late_minus_early,2,0.01851851851851851,0.0,0.03703703703703702
base,both_reachable,d_to_e,early_level,2,0.2279411764705882,0.20588235294117646,0.24999999999999997
base,both_reachable,d_to_e,late_level,2,0.23148148148148145,0.16666666666666663,0.2962962962962963
base,both_reachable,d_to_e,late_minus_early,2,0.0035403050108932382,-0.03921568627450983,0.04629629629629631
base,both_reachable,e_to_d,early_level,2,0.3180147058823529,0.31249999999999994,0.32352941176470584
base,both_reachable,e_to_d,late_level,2,0.2592592592592592,0.2222222222222222,0.2962962962962962
base,both_reachable,e_to_d,late_minus_early,2,-0.05875544662309368,-0.10130718954248363,-0.01620370370370372
base,both_reachable,resolved,early_level,2,0.4090073529411764,0.40625,0.41176470588235287
base,both_reachable,resolved,late_level,2,0.4814814814814815,0.4074074074074074,0.5555555555555556
base,both_reachable,resolved,late_minus_early,2,0.07247412854030505,0.0011574074074073848,0.14379084967320271
base,both_reachable,customer_minus_domestic,early_level,2,-0.1213235294117647,-0.125,-0.11764705882352941
base,both_reachable,customer_minus_domestic,late_level,2,0.023148148148148133,-0.027777777777777776,0.07407407407407404
base,both_reachable,customer_minus_domestic,late_minus_early,2,0.14447167755991283,0.08986928104575163,0.19907407407407404
cost_high,all,domestic_use,early_level,2,0.7590011614401858,0.7560975609756098,0.7619047619047619
cost_high,all,domestic_use,late_level,2,0.7398671096345515,0.6511627906976745,0.8285714285714286
cost_high,all,domestic_use,late_minus_early,2,-0.019134051805634267,-0.1049347702779353,0.06666666666666676
cost_high,all,customer_use,early_level,2,0.5055168408826946,0.4634146341463415,0.5476190476190477
cost_high,all,customer_use,late_level,2,0.5362126245847176,0.5142857142857142,0.5581395348837209
cost_high,all,customer_use,late_minus_early,2,0.030695783702023,-0.03333333333333344,0.09472490073737944
cost_high,all,first_d,early_level,2,0.6024970963995354,0.5952380952380952,0.6097560975609756
cost_high,all,first_d,late_level,2,0.5156146179401992,0.4883720930232558,0.5428571428571428
cost_high,all,first_d,late_minus_early,2,-0.08688247845933611,-0.1213840045377198,-0.05238095238095242
cost_high,all,first_e,early_level,2,0.3612078977932637,0.34146341463414637,0.38095238095238093
cost_high,all,first_e,late_level,2,0.4352159468438538,0.42857142857142855,0.4418604651162791
cost_high,all,first_e,late_minus_early,2,0.07400804905059016,0.047619047619047616,0.10039705048213271
cost_high,all,first_both,early_level,2,0.0,0.0,0.0
cost_high,all,first_both,late_level,2,0.0,0.0,0.0
cost_high,all,first_both,late_minus_early,2,0.0,0.0,0.0
cost_high,all,no_submission,early_level,2,0.036295005807200915,0.023809523809523784,0.048780487804878044
cost_high,all,no_submission,late_level,2,0.04916943521594682,0.02857142857142854,0.0697674418604651
cost_high,all,no_submission,late_minus_early,2,0.012874429408745907,0.004761904761904755,0.020986954055587058
cost_high,all,d_to_e,early_level,2,0.14430894308943087,0.12195121951219512,0.16666666666666666
cost_high,all,d_to_e,late_level,2,0.1009966777408638,0.08571428571428572,0.11627906976744186
cost_high,all,d_to_e,late_minus_early,2,-0.0433122653485671,-0.08095238095238094,-0.00567214974475326
cost_high,all,e_to_d,early_level,2,0.1565040650406504,0.14634146341463414,0.16666666666666666
cost_high,all,e_to_d,late_level,2,0.22425249169435213,0.1627906976744186,0.2857142857142857
cost_high,all,e_to_d,late_minus_early,2,0.06774842665370175,0.01644923425978445,0.11904761904761904
cost_high,all,resolved,early_level,2,0.3980836236933798,0.35714285714285715,0.43902439024390244
cost_high,all,resolved,late_level,2,0.47275747508305643,0.45714285714285713,0.4883720930232558
cost_high,all,resolved,late_minus_early,2,0.07467385138967667,0.04934770277935335,0.09999999999999998
