time,customer,eligible,reviewed,eligible_left,nominal_capacity,oldest_eligible_age
0,0,0,0,0,4,0
0,1,0,0,0,4,0
0,2,0,0,0,4,0
0,3,0,0,0,0,0
0,4,0,0,0,0,0
0,5,0,0,0,0,0
1,0,0,0,0,4,0
1,1,0,0,0,4,0
1,2,0,0,0,4,0
1,3,0,0,0,0,0
1,4,0,0,0,0,0
1,5,0,0,0,0,0
2,0,0,0,0,4,0
2,1,2,2,0,4,2
2,2,1,1,0,4,2
2,3,0,0,0,0,0
2,4,0,0,0,0,0
2,5,0,0,0,0,0
3,0,2,2,0,4,2
3,1,1,1,0,4,2
3,2,0,0,0,4,0
3,3,0,0,0,0,0
3,4,0,0,0,0,0
3,5,0,0,0,0,0
4,0,0,0,0,4,0
4,1,0,0,0,4,0
4,2,1,1,0,4,2
4,3,0,0,0,0,0
4,4,0,0,0,0,0
4,5,0,0,0,0,0
5,0,0,0,0,4,0
5,1,1,1,0,4,2
5,2,0,0,0,4,0
5,3,0,0,0,0,0
5,4,0,0,0,0,0
5,5,0,0,0,0,0
6,0,0,0,0,4,0
6,1,0,0,0,4,0
6,2,0,0,0,4,0
6,3,0,0,0,0,0
6,4,0,0,0,0,0
6,5,0,0,0,0,0
7,0,0,0,0,4,0
7,1,0,0,0,4,0
7,2,0,0,0,4,0
7,3,0,0,0,0,0
7,4,0,0,0,0,0
7,5,0,0,0,0,0
8,0,2,2,0,4,2
8,1,1,1,0,4,2
8,2,1,1,0,4,2
8,3,0,0,0,0,0
8,4,0,0,0,0,0
8,5,0,0,0,0,0
9,0,1,1,0,4,2
9,1,1,1,0,4,2
9,2,1,1,0,4,2
9,3,0,0,0,0,0
9,4,0,0,0,0,0
9,5,0,0,0,0,0
10,0,0,0,0,4,0
10,1,1,1,0,4,2
10,2,0,0,0,4,0
10,3,0,0,0,0,0
10,4,0,0,0,0,0
10,5,0,0,0,0,0
11,0,1,1,0,4,2
11,1,2,2,0,4,2
11,2,0,0,0,4,0
11,3,0,0,0,0,0
11,4,0,0,0,0,0
11,5,0,0,0,0,0
12,0,1,1,0,4,2
12,1,0,0,0,4,0
12,2,0,0,0,4,0
12,3,0,0,0,0,0
12,4,0,0,0,0,0
12,5,0,0,0,0,0
13,0,0,0,0,4,0
13,1,0,0,0,4,0
13,2,0,0,0,4,0
13,3,0,0,0,0,0
13,4,0,0,0,0,0
13,5,0,0,0,0,0
14,0,1,1,0,4,2
14,1,0,0,0,4,0
14,2,0,0,0,4,0
14,3,0,0,0,0,0
14,4,0,0,0,0,0
14,5,0,0,0,0,0
15,0,1,1,0,4,2
15,1,1,1,0,4,2
15,2,0,0,0,4,0
15,3,0,0,0,0,0
15,4,0,0,0,0,0
15,5,0,0,0,0,0
16,0,1,1,0,4,2
16,1,0,0,0,4,0
16,2,0,0,0,4,0
16,3,0,0,0,0,0
16,4,0,0,0,0,0
16,5,0,0,0,0,0
17,0,1,1,0,4,2
17,1,1,1,0,4,2
17,2,0,0,0,4,0
17,3,0,0,0,0,0
17,4,0,0,0,0,0
17,5,0,0,0,0,0
18,0,0,0,0,4,0
18,1,0,0,0,4,0
18,2,0,0,0,4,0
18,3,0,0,0,0,0
18,4,0,0,0,0,0
18,5,0,0,0,0,0
19,0,0,0,0,4,0
19,1,0,0,0,4,0
19,2,0,0,0,4,0
19,3,0,0,0,0,0
19,4,0,0,0,0,0
19,5,0,0,0,0,0
20,0,0,0,0,4,0
20,1,0,0,0,4,0
20,2,0,0,0,4,0
20,3,0,0,0,0,0
20,4,0,0,0,0,0
20,5,0,0,0,0,0
21,0,2,2,0,4,2
21,1,2,2,0,4,2
21,2,1,1,0,4,2
21,3,0,0,0,0,0
21,4,0,0,0,0,0
21,5,0,0,0,0,0
22,0,0,0,0,4,0
22,1,0,0,0,4,0
22,2,0,0,0,4,0
22,3,0,0,0,0,0
22,4,0,0,0,0,0
22,5,0,0,0,0,0
23,0,2,2,0,4,2
23,1,1,1,0,4,2
23,2,0,0,0,4,0
23,3,0,0,0,0,0
23,4,0,0,0,0,0
23,5,0,0,0,0,0
24,0,0,0,0,4,0
24,1,0,0,0,4,0
24,2,1,1,0,4,2
24,3,0,0,0,0,0
24,4,0,0,0,0,0
24,5,0,0,0,0,0
25,0,0,0,0,4,0
25,1,1,1,0,4,2
25,2,0,0,0,4,0
25,3,0,0,0,0,0
25,4,0,0,0,0,0
25,5,0,0,0,0,0
26,0,0,0,0,4,0
26,1,1,1,0,4,2
26,2,0,0,0,4,0
26,3,0,0,0,0,0
26,4,0,0,0,0,0
26,5,0,0,0,0,0
27,0,0,0,0,4,0
27,1,1,1,0,4,2
27,2,1,1,0,4,2
27,3,0,0,0,0,0
27,4,0,0,0,0,0
27,5,0,0,0,0,0
28,0,1,1,0,4,2
28,1,1,1,0,4,2
28,2,0,0,0,4,0
28,3,0,0,0,0,0
28,4,0,0,0,0,0
28,5,0,0,0,0,0
29,0,2,2,0,4,2
29,1,2,2,0,4,2
29,2,0,0,0,4,0
29,3,0,0,0,0,0
29,4,0,0,0,0,0
29,5,0,0,0,0,0
30,0,0,0,0,4,0
30,1,0,0,0,4,0
30,2,0,0,0,4,0
30,3,0,0,0,0,0
30,4,0,0,0,0,0
30,5,0,0,0,0,0
31,0,0,0,0,4,0
31,1,1,1,0,4,2
31,2,2,2,0,4,2
