employee,firm,incident_eligible,reachable,merit,belief_d,belief_e,cost_d,cost_e,incident_cohort,scheduled_incident,preparation_rounds
0,2,False,True,0.8698539399727516,0.3945693174806783,0.5161707738463932,0.23317548679590372,0.3852030190008024,5,-1,2
1,0,True,True,0.8902054536854775,0.28830790495000835,0.27554244235247455,0.2708586019998547,0.3956222126258251,4,24,0
2,0,False,True,0.239301142291336,0.7772183162465633,0.444282453010213,0.40965957247301993,0.37613456770067843,6,-1,0
3,3,False,True,0.5689365443056376,0.2815955888458384,0.6860033520317763,0.22133665482756798,0.35594182227515153,2,-1,1
4,3,True,True,0.5470459784598544,0.5179038486390675,0.7263228396636967,0.2809180221438336,0.3567425723815122,7,42,3
5,5,True,False,0.45477128534167505,0.43659116918411034,0.5489737858108533,0.18627775142604694,0.4363383782700089,1,6,2
6,3,True,True,0.7432900134788709,0.6650595137222131,0.45026064239291685,0.18316459063592008,0.3935696446921553,3,18,3
7,0,True,True,0.7465367480282052,0.5797977123090384,0.34277625555793684,0.21541792225853076,0.360297816103504,2,12,2
8,4,True,True,0.8381198283931675,0.22478753385403144,0.5799665614400606,0.44299803928048137,0.3255907855546195,7,42,0
9,0,False,True,0.8822468082394073,0.40750297828421156,0.26170166215497653,0.22692073858092957,0.23202868228941922,1,-1,1
10,4,False,True,0.4270404685717938,0.6336411755035294,0.5162072328010843,0.24689516042189374,0.40861017646609316,1,-1,1
11,5,False,False,0.2532218386418936,0.27514102860963247,0.2329877885087443,0.15247674037368816,0.21302958170890937,7,-1,0
12,5,False,True,0.6312162667719676,0.6927921489623279,0.5686628569456009,0.18267869418542662,0.3286360796492866,2,-1,0
13,0,False,False,0.7675685946595219,0.5330368194104699,0.363824792233022,0.22460908453169381,0.37910271419256636,3,-1,0
14,5,False,True,0.7390030044201565,0.20913653409000255,0.7066570747289662,0.3437911697117559,0.22584288298817395,4,-1,1
15,4,True,True,0.9031534645466606,0.30043798492935614,0.6694727934678937,0.20696674100377374,0.30487527217243027,0,0,0
16,5,True,False,0.3444897561253334,0.5685956902089817,0.3149656051564844,0.2728978281068709,0.3551717717820044,5,30,2
17,0,True,True,0.3483218358637366,0.7463400871401733,0.5517645681940206,0.3932089785910932,0.19506039435618563,5,30,0
18,4,True,True,0.565910605081186,0.789595219406467,0.31610341505934425,0.32218590380534096,0.32129346926806296,5,30,0
19,5,True,True,0.4538665083047964,0.34978078940991675,0.39361924244123625,0.16018761077334098,0.17043820780336796,2,12,2
20,4,True,True,0.5576863481854355,0.374095580469812,0.6136349832555403,0.4184763919932643,0.4272570148610409,7,42,2
21,4,False,True,0.8268315413482679,0.7307497862285157,0.2278168573127159,0.40292741652934283,0.3367649960405279,2,-1,0
22,1,True,True,0.814293066592382,0.2574391789553427,0.7525390979603048,0.18691678094765152,0.31450094045556126,2,12,0
23,0,True,True,0.47103926075571095,0.673768084103338,0.4719692483929704,0.3297613636665448,0.35952554001985937,4,24,2
24,0,True,True,0.987563597562557,0.7746572000524132,0.6829793311886654,0.2816234955775494,0.39189788092145056,2,12,0
25,1,False,True,0.66745987463309,0.5800610827460267,0.4644245466740378,0.3537099409724842,0.3627055958161961,4,-1,2
26,0,False,True,0.9870315141501149,0.5492206342012937,0.31272366416254394,0.3338694516854246,0.22499975394280905,3,-1,0
27,1,True,True,0.7068430872855871,0.4259676036441362,0.7144330381749335,0.2987843698533837,0.19427169431111702,6,36,0
28,5,True,True,0.4715418883503854,0.28000821427283473,0.30470514648477953,0.2206044920108324,0.3311898819821935,4,24,2
29,2,True,True,0.4019165154415846,0.462983958616908,0.25126708119605284,0.427069173722378,0.3381597478658024,2,12,0
30,3,False,True,0.6630804752546423,0.25229961763842035,0.5130280113675108,0.2716248610744573,0.38667082989255297,1,-1,2
31,5,False,True,0.47654554099943436,0.42923468155667505,0.3180195417135664,0.1692804612400685,0.24848991132295328,5,-1,0
32,3,False,True,0.8426706841944924,0.7209873808187093,0.20954582181502562,0.3066705482883604,0.21149051691116771,5,-1,3
33,4,True,True,0.45719517919871233,0.7944531798098844,0.25761044255213345,0.26799859798428954,0.27182287467558,1,6,1
34,4,True,True,0.5639870253826444,0.3025337314011146,0.4731331275019813,0.41646186055116163,0.2610662765689028,1,6,3
35,2,False,True,0.8439011328187529,0.2786448644127413,0.29312996756232723,0.43033481640255294,0.3969790238854591,7,-1,3
36,5,True,True,0.3306545869185116,0.6024611082725279,0.3836680873249898,0.40868282925775223,0.41900053739797377,0,0,3
37,2,True,False,0.5243724162730126,0.6966761270580661,0.34770380697920256,0.2055414393880601,0.3819427469962634,0,0,0
38,2,False,True,0.9503766687294581,0.32909757367630765,0.7145596161902722,0.35944646371891437,0.37238337890501294,2,-1,3
39,1,False,True,0.6324114819843804,0.27595475055165614,0.5982465304721192,0.40030804209319576,0.3920433068914557,5,-1,0
40,5,True,True,0.7390185525954414,0.4270559286089421,0.48198530675722817,0.40979428068998186,0.24866690722000864,1,6,1
41,3,False,True,0.6854930867344795,0.6940931751037731,0.23449582007713582,0.39434850422638174,0.31085701455260656,3,-1,0
42,4,True,True,0.5206669081530922,0.5815746493370327,0.23227243320834703,0.3370247532265757,0.2534510171764107,0,0,2
43,5,False,False,0.6060003569396348,0.3184415768214601,0.25984907753045133,0.30053515012619797,0.25350016675710824,4,-1,2
44,0,False,False,0.5498198102043366,0.5692019598085596,0.7557046765388452,0.22092734162561478,0.16883699338033875,5,-1,3
45,5,False,True,0.7138561104398315,0.7132346320869971,0.2575110246424587,0.16226268978497813,0.3462349227458485,0,-1,0
46,5,True,True,0.3891262349051305,0.5174554683496584,0.2351376774547832,0.3439476292750366,0.18760280558111614,1,6,2
47,3,True,True,0.8417602677675879,0.519946156673641,0.37419668178960197,0.26250270115202495,0.34677176322672726,6,36,0
48,1,True,True,0.8368847967177435,0.5263539511046209,0.7123213295657465,0.23270128367522036,0.17352168835775697,4,24,3
49,5,False,True,0.8133449844649778,0.5900732764015575,0.6624691719218518,0.4246860818643567,0.25490542393102317,2,-1,1
50,3,True,True,0.4691160105739046,0.5960075660089996,0.33208155967941855,0.2661547469837424,0.44946089757694324,4,24,3
51,1,False,False,0.7951911177493234,0.788381986933981,0.39755880445671665,0.2521542695039227,0.17287184848660933,3,-1,2
52,2,False,True,0.5215390659542762,0.725539697279864,0.42636630829311317,0.2848940162147574,0.3427602866835215,4,-1,1
53,2,True,True,0.9737918633439193,0.6510344250488437,0.6489109961840589,0.3688458950649383,0.30974991015849823,4,24,2
