time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,first_submissions,first_d_count,first_e_count,first_both_count,first_d_share,first_e_share,first_both_share,rolling_domestic_users,rolling_customer_users,scenario,seed
0,24,6,6,3,3,0,24,6,18,0,3,3,0,0,0,3,0,0,6,24,0,0,6,3,3,0,0.5,0.5,0.0,3.0,3.0,base,0
1,0,8,8,5,3,0,24,14,10,0,8,8,0,0,0,6,0,0,14,24,3,3,8,5,3,0,0.625,0.375,0.0,8.0,6.0,base,0
2,0,6,6,5,1,0,24,19,4,1,13,10,3,3,0,6,0,0,20,24,8,6,6,5,1,0,0.8333333333333334,0.16666666666666666,0.0,13.0,7.0,base,0
3,0,4,4,4,1,1,20,15,0,5,11,9,2,2,3,4,4,4,24,24,13,7,4,3,1,0,0.75,0.25,0.0,17.0,8.0,base,0
4,0,0,0,1,2,3,19,10,0,9,6,5,1,1,1,4,1,5,24,24,14,5,0,0,0,0,,,,18.0,10.0,base,0
5,0,0,0,1,2,3,17,8,0,9,4,2,2,2,1,4,2,7,24,24,10,4,0,0,0,0,,,,19.0,12.0,base,0
6,17,2,2,0,3,1,32,6,15,11,1,1,0,0,2,5,2,9,26,41,6,5,2,0,2,0,0.0,1.0,0.0,16.0,12.0,base,0
7,0,6,6,5,2,1,32,10,9,13,5,5,0,0,0,5,0,9,32,41,2,7,6,4,2,0,0.6666666666666666,0.3333333333333333,0.0,16.0,11.0,base,0
8,0,3,3,2,1,0,31,10,6,15,7,7,0,0,0,3,1,10,35,41,6,7,3,2,1,0,0.6666666666666666,0.3333333333333333,0.0,13.0,11.0,base,0
9,0,4,4,1,4,1,31,11,2,18,5,3,2,2,0,6,0,10,39,41,7,6,4,0,4,0,0.0,1.0,0.0,10.0,14.0,base,0
10,0,0,0,0,2,2,29,9,2,18,2,1,1,1,2,7,2,12,39,41,8,7,0,0,0,0,,,,9.0,14.0,base,0
11,0,0,0,0,0,0,28,2,2,24,0,0,0,0,1,2,1,13,39,41,3,7,0,0,0,0,,,,8.0,12.0,base,0
12,19,3,3,5,1,3,47,7,18,22,5,5,0,0,0,2,0,13,42,60,1,6,3,2,1,0,0.6666666666666666,0.3333333333333333,0.0,13.0,10.0,base,0
13,0,6,6,4,2,0,46,12,12,22,9,9,0,0,0,3,1,14,48,60,5,3,6,4,2,0,0.6666666666666666,0.3333333333333333,0.0,12.0,10.0,base,0
14,0,4,4,2,2,0,46,13,8,25,9,6,3,3,0,4,0,14,52,60,9,3,4,2,2,0,0.5,0.5,0.0,12.0,11.0,base,0
15,0,5,5,5,0,0,43,12,3,28,9,7,2,2,3,3,3,17,57,60,11,5,5,5,0,0,1.0,0.0,0.0,16.0,7.0,base,0
16,0,0,0,1,0,1,41,9,3,29,8,6,2,2,2,1,2,19,57,60,11,4,0,0,0,0,,,,17.0,5.0,base,0
17,0,1,1,3,0,2,38,8,2,28,8,4,4,4,2,0,3,22,58,60,8,2,1,1,0,0,1.0,0.0,0.0,20.0,5.0,base,0
