scenario,population,metric,comparison,n,mean,low,high
base,all,domestic_use,early_level,20,0.7918487719229313,0.7654481112335446,0.815630099703434
base,all,domestic_use,late_level,20,0.8050592591116462,0.7818282999718541,0.8297455505122519
base,all,domestic_use,late_minus_early,20,0.013210487188714875,-0.025499037838131445,0.05378872441447951
base,all,customer_use,early_level,20,0.508635529149507,0.4646208094360947,0.5519084059965577
base,all,customer_use,late_level,20,0.4908901987161701,0.45117319176528,0.5289613066187531
base,all,customer_use,late_minus_early,20,-0.017745330433337116,-0.04931608150923728,0.018477896476059803
base,all,first_d,early_level,20,0.6075574992611538,0.5681645419175356,0.6419705524620287
base,all,first_d,late_level,20,0.6331867076744511,0.599611032602436,0.6659584699383218
base,all,first_d,late_minus_early,20,0.0256292084132972,-0.01899847474718242,0.07182272310799002
base,all,first_e,early_level,20,0.3350263948883979,0.2959850237717698,0.37419334987558767
base,all,first_e,late_level,20,0.31455857191675884,0.2800429682295239,0.34769868476522964
base,all,first_e,late_minus_early,20,-0.020467822971639023,-0.06328718022692448,0.019407744670537783
base,all,first_both,early_level,20,0.009653501875676387,0.0031926836826684673,0.016950666353014315
base,all,first_both,late_level,20,0.013044232898884059,0.004804778554778552,0.021751427351718033
base,all,first_both,late_minus_early,20,0.0033907310232076694,-0.004341335905299711,0.01293599672011408
base,all,no_submission,early_level,20,0.047762603974771944,0.03237805838841936,0.06442744681287327
base,all,no_submission,late_level,20,0.0392104875099061,0.026567649767867785,0.05324829115490448
base,all,no_submission,late_minus_early,20,-0.008552116464865842,-0.026805576035070257,0.008347102528454015
base,all,d_to_e,early_level,20,0.16395563238543284,0.13991194043846625,0.18869893802517254
base,all,d_to_e,late_level,20,0.16328739390052716,0.13155918357784893,0.19475318992391835
base,all,d_to_e,late_minus_early,20,-0.0006682384849057331,-0.03387722030867545,0.031494586418328384
base,all,e_to_d,early_level,20,0.17463777078610118,0.15112593092994603,0.19895145829177324
base,all,e_to_d,late_level,20,0.1588283185383112,0.13241267183863162,0.18677904796561642
base,all,e_to_d,late_minus_early,20,-0.015809452247789978,-0.045674939530896096,0.014893913291511225
base,all,resolved,early_level,20,0.39297373863963847,0.3632797925153639,0.42354604998315737
base,all,resolved,late_level,20,0.38056557442401695,0.33906277199782403,0.4241523570860275
base,all,resolved,late_minus_early,20,-0.012408164215621539,-0.07300785475802787,0.05514501133808844
base,all,customer_minus_domestic,early_level,20,-0.2832132427734242,-0.34619779717970633,-0.22068820256536154
base,all,customer_minus_domestic,late_level,20,-0.3141690603954762,-0.36699063759683453,-0.26021901034818884
base,all,customer_minus_domestic,late_minus_early,20,-0.030955817622051983,-0.09427544026876433,0.033424632087068896
base,both_reachable,domestic_use,early_level,20,0.7541346928035789,0.7242429700602201,0.783351388981754
base,both_reachable,domestic_use,late_level,20,0.7678342813107407,0.7312442361809145,0.8035259673219161
base,both_reachable,domestic_use,late_minus_early,20,0.013699588507161709,-0.04101462531006467,0.07110263429116691
base,both_reachable,customer_use,early_level,20,0.7041259033512208,0.6714634590272377,0.7349869585230611
base,both_reachable,customer_use,late_level,20,0.6802083004288837,0.6435287409590799,0.7148969366802341
base,both_reachable,customer_use,late_minus_early,20,-0.02391760292233716,-0.06499453345585872,0.018178156178768105
base,both_reachable,first_d,early_level,20,0.498931051055114,0.4639958619413618,0.5340461177743246
base,both_reachable,first_d,late_level,20,0.5296694815813584,0.4898881623324134,0.5736211671295619
base,both_reachable,first_d,late_minus_early,20,0.03073843052624428,-0.022463864005393235,0.08545739476843518
base,both_reachable,first_e,early_level,20,0.46293668311115843,0.4213731720028056,0.502744960864608
base,both_reachable,first_e,late_level,20,0.438043661756785,0.39638729250916405,0.4817460043692936
base,both_reachable,first_e,late_minus_early,20,-0.02489302135437334,-0.07702109949854592,0.026291891673867095
base,both_reachable,first_both,early_level,20,0.013485704110704105,0.0042311507936507895,0.02402771418396416
base,both_reachable,first_both,late_level,20,0.01952065295815295,0.0066956845238095196,0.03515755772005769
base,both_reachable,first_both,late_minus_early,20,0.006034948847448847,-0.0075748556998556996,0.021326638061013026
base,both_reachable,no_submission,early_level,20,0.02464656172302348,0.013925685212463696,0.03486119861349431
base,both_reachable,no_submission,late_level,20,0.012766203703703701,0.0031249999999999967,0.024618055555555553
base,both_reachable,no_submission,late_minus_early,20,-0.011880358019319779,-0.027245053394170222,0.004649980613811196
base,both_reachable,d_to_e,early_level,20,0.2277035161293583,0.197356127776972,0.25924025341534457
base,both_reachable,d_to_e,late_level,20,0.22264398571394564,0.187024907797666,0.25959327107279195
base,both_reachable,d_to_e,late_minus_early,20,-0.005059530415412648,-0.05358746871490231,0.04061327502880878
base,both_reachable,e_to_d,early_level,20,0.2417179376377608,0.21450006968113586,0.2680056240535403
base,both_reachable,e_to_d,late_level,20,0.21864414677122937,0.18539526700499995,0.25475300734690726
base,both_reachable,e_to_d,late_minus_early,20,-0.023073790866531416,-0.06093928122505613,0.018610569762389107
base,both_reachable,resolved,early_level,20,0.4319043356868672,0.39013309828403336,0.4731413157370171
base,both_reachable,resolved,late_level,20,0.4123717314933642,0.3650605114925767,0.46180049997130024
base,both_reachable,resolved,late_minus_early,20,-0.01953260419350298,-0.09374393541867306,0.06156273093977321
base,both_reachable,customer_minus_domestic,early_level,20,-0.05000878945235811,-0.09816048472529836,0.0004471373802567311
base,both_reachable,customer_minus_domestic,late_level,20,-0.08762598088185697,-0.15159315330591489,-0.025330117600221917
base,both_reachable,customer_minus_domestic,late_minus_early,20,-0.03761719142949887,-0.11632674866716627,0.04591256785683862
cost_high,all,domestic_use,early_level,20,0.6973549717006551,0.6637318958828456,0.7302424831578032
cost_high,all,domestic_use,late_level,20,0.7175745397695964,0.6857878599365701,0.7457790140931566
cost_high,all,domestic_use,late_minus_early,20,0.020219568068941318,-0.029045664801631833,0.06551599320792147
cost_high,all,customer_use,early_level,20,0.4591339706189201,0.41995335958078017,0.4997621458858116
cost_high,all,customer_use,late_level,20,0.4442720784736488,0.40929868250289764,0.47803266680969797
cost_high,all,customer_use,late_minus_early,20,-0.01486189214527125,-0.043324728027526245,0.014538893447437267
cost_high,all,first_d,early_level,20,0.5694168129624788,0.5379229152558529,0.5989272191180525
cost_high,all,first_d,late_level,20,0.5910648676578087,0.5608974028846825,0.6235064960710119
cost_high,all,first_d,late_minus_early,20,0.021648054695329964,-0.028825564210032337,0.0741415417164351
cost_high,all,first_e,early_level,20,0.3333925323879298,0.2980762725396848,0.37172341032443174
cost_high,all,first_e,late_level,20,0.31782426710488365,0.28630351879543847,0.3483943294753927
cost_high,all,first_e,late_minus_early,20,-0.015568265283046154,-0.062370583761895415,0.027776819441817344
cost_high,all,first_both,early_level,20,0.0,0.0,0.0
cost_high,all,first_both,late_level,20,0.0015151515151515152,0.0,0.004545454545454545
cost_high,all,first_both,late_minus_early,20,0.0015151515151515152,0.0,0.004545454545454545
cost_high,all,no_submission,early_level,20,0.09719065464959133,0.07596163290133338,0.12111967800603116
cost_high,all,no_submission,late_level,20,0.08959571372215598,0.07105927403804542,0.10938228577943698
cost_high,all,no_submission,late_minus_early,20,-0.007594940927435338,-0.04120517801448127,0.02225107001168248
cost_high,all,d_to_e,early_level,20,0.1257414382309902,0.103888033699332,0.14800901078546547
cost_high,all,d_to_e,late_level,20,0.12493265985361354,0.09626391894944278,0.1526900097978963
cost_high,all,d_to_e,late_minus_early,20,-0.0008087783773766004,-0.027973236120029738,0.029444567460747365
cost_high,all,e_to_d,early_level,20,0.12793815873817627,0.10783914126208503,0.14886164321413908
cost_high,all,e_to_d,late_level,20,0.12499452059663604,0.099380981418909,0.15093658457918896
cost_high,all,e_to_d,late_minus_early,20,-0.002943638141540185,-0.0313886597552363,0.025927671146066415
cost_high,all,resolved,early_level,20,0.3605149514377441,0.3191488969277374,0.3969566183409979
cost_high,all,resolved,late_level,20,0.3511939472801266,0.307202363029021,0.39701764012182944
cost_high,all,resolved,late_minus_early,20,-0.009321004157617479,-0.08176879159385383,0.061784637393655854
cost_high,all,customer_minus_domestic,early_level,20,-0.23822100108173508,-0.29806921471359055,-0.172798263627527
cost_high,all,customer_minus_domestic,late_level,20,-0.27330246129594765,-0.32140813038917765,-0.22426171644212736
cost_high,all,customer_minus_domestic,late_minus_early,20,-0.03508146021421253,-0.10089252929187155,0.03486418733884138
cost_high,both_reachable,domestic_use,early_level,20,0.658327366975192,0.6173107138579859,0.6936980798790582
cost_high,both_reachable,domestic_use,late_level,20,0.6829668760076428,0.6494948039373546,0.7124546457404513
cost_high,both_reachable,domestic_use,late_minus_early,20,0.024639509032450956,-0.023711966249570723,0.07523462202672544
cost_high,both_reachable,customer_use,early_level,20,0.6383562965620576,0.602761937347584,0.6754711533143385
cost_high,both_reachable,customer_use,late_level,20,0.6173136869559435,0.5807167433329715,0.6544194839066938
cost_high,both_reachable,customer_use,late_minus_early,20,-0.021042609606114197,-0.06356931790318417,0.02043423198976623
cost_high,both_reachable,first_d,early_level,20,0.47944673152187595,0.44687924721580885,0.5118681074350633
cost_high,both_reachable,first_d,late_level,20,0.5084755191435711,0.47336936877502983,0.5441745524260753
cost_high,both_reachable,first_d,late_minus_early,20,0.02902878762169527,-0.014326268066273198,0.0818607883213942
cost_high,both_reachable,first_e,early_level,20,0.46301687115378803,0.42363615902544927,0.505316273054769
cost_high,both_reachable,first_e,late_level,20,0.44361765149749993,0.40552031212277406,0.482191321590998
