block,arm,seed,time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,unique_submitted_cases,unique_domestic_cases,unique_customer_cases,multi_cases,customer_share_all_cases,customer_share_submitted,domestic_share_submitted,first_domestic_share,first_customer_share,first_both_share,no_submission_share,domestic_then_customer_share,mean_escalation_time,external_path_trigger_rate,external_user_case_resolution_rate,customer_intervention_rate,material_at_customer_review_share,external_user_mean_merit,external_user_mean_dependence,unresolved_fraction,submitted_unresolved_fraction,external_user_unresolved_fraction,mean_processing_time,median_processing_time,unresolved_case_rounds,pending_case_rounds,domestic_use,customer_use,first_d_all,first_e_all,first_both_all,never_submitted,d_to_e_count,e_to_d_count,d_to_e_all,e_to_d_all,d_to_e_conditional,e_to_d_conditional,both_use,resolved_share
base,domestic_only,0,14,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,3,14,14,0,0,14,14,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.7857142857142857,0.7857142857142857,,3.6666666666666665,4.0,176,34,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.21428571428571427
base,customer_only,0,14,0,0,0,0,0,0,12,0,3,9,0,0,0,0,0,0,0,2,11,14,0,0,11,0,11,0,0.7857142857142857,1.0,0.0,0.0,1.0,0.0,0.21428571428571427,,,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.0,0.5701196798075189,0.49791855625909576,0.8571428571428571,0.8181818181818182,0.8181818181818182,3.0,3.0,186,26,0.0,0.7857142857142857,0.0,0.7857142857142857,0.0,0.21428571428571427,0,0,0.0,0.0,,0.0,0.0,0.14285714285714285
base,both,0,14,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,4,14,14,0,0,14,13,11,10,0.7857142857142857,0.7857142857142857,0.9285714285714286,0.7857142857142857,0.14285714285714285,0.07142857142857142,0.0,0.7272727272727273,3.0,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.0,0.5701196798075189,0.49791855625909576,0.7142857142857143,0.7142857142857143,0.7272727272727273,4.5,4.5,168,52,0.9285714285714286,0.7857142857142857,0.7857142857142857,0.14285714285714285,0.07142857142857142,0.0,8,1,0.5714285714285714,0.07142857142857142,0.7272727272727273,0.5,0.7142857142857143,0.2857142857142857
base,domestic_only,1,14,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,5,16,16,0,0,16,16,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.6875,0.6875,,3.6,4.0,183,44,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.3125
base,customer_only,1,14,0,0,0,0,0,0,15,0,9,6,0,0,0,0,0,0,0,1,7,16,0,0,7,0,7,0,0.4375,1.0,0.0,0.0,1.0,0.0,0.5625,,,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.44727840253709467,0.44020247193941414,0.9375,0.8571428571428571,0.8571428571428571,3.0,3.0,228,16,0.0,0.4375,0.0,0.4375,0.0,0.5625,0,0,0.0,0.0,,0.0,0.0,0.0625
base,both,1,14,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,5,16,16,0,0,16,16,4,4,0.25,0.25,1.0,0.9375,0.0,0.0625,0.0,0.2,3.6666666666666665,0.0,0.5,0.3333333333333333,0.0,0.48599029814790534,0.4351771629469874,0.6875,0.6875,0.5,3.6,4.0,183,48,1.0,0.25,0.9375,0.0,0.0625,0.0,3,0,0.1875,0.0,0.2,,0.25,0.3125
no_escalation,domestic_only,0,14,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,3,14,14,0,0,14,14,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.7857142857142857,0.7857142857142857,,3.6666666666666665,4.0,176,34,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.21428571428571427
no_escalation,customer_only,0,14,0,0,0,0,0,0,12,0,3,9,0,0,0,0,0,0,0,2,11,14,0,0,11,0,11,0,0.7857142857142857,1.0,0.0,0.0,1.0,0.0,0.21428571428571427,,,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.0,0.5701196798075189,0.49791855625909576,0.8571428571428571,0.8181818181818182,0.8181818181818182,3.0,3.0,186,26,0.0,0.7857142857142857,0.0,0.7857142857142857,0.0,0.21428571428571427,0,0,0.0,0.0,,0.0,0.0,0.14285714285714285
no_escalation,both,0,14,0,0,0,0,0,0,12,0,0,12,0,0,0,0,0,0,0,2,14,14,0,0,14,12,3,1,0.21428571428571427,0.21428571428571427,0.8571428571428571,0.7857142857142857,0.14285714285714285,0.07142857142857142,0.0,0.0,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.7428951772835798,0.5257013729500177,0.8571428571428571,0.8571428571428571,0.6666666666666666,3.0,3.0,186,31,0.8571428571428571,0.21428571428571427,0.7857142857142857,0.14285714285714285,0.07142857142857142,0.0,0,0,0.0,0.0,0.0,0.0,0.07142857142857142,0.14285714285714285
no_escalation,domestic_only,1,14,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,5,16,16,0,0,16,16,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.6875,0.6875,,3.6,4.0,183,44,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.3125
no_escalation,customer_only,1,14,0,0,0,0,0,0,15,0,9,6,0,0,0,0,0,0,0,1,7,16,0,0,7,0,7,0,0.4375,1.0,0.0,0.0,1.0,0.0,0.5625,,,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.44727840253709467,0.44020247193941414,0.9375,0.8571428571428571,0.8571428571428571,3.0,3.0,228,16,0.0,0.4375,0.0,0.4375,0.0,0.5625,0,0,0.0,0.0,,0.0,0.0,0.0625
no_escalation,both,1,14,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,5,16,16,0,0,16,16,1,1,0.0625,0.0625,1.0,0.9375,0.0,0.0625,0.0,0.0,,0.0,1.0,1.0,0.0,0.9073301119709689,0.4,0.6875,0.6875,0.0,3.6,4.0,183,44,1.0,0.0625,0.9375,0.0,0.0625,0.0,0,0,0.0,0.0,0.0,,0.0625,0.3125
no_social,domestic_only,0,14,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,3,14,14,0,0,14,14,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.7857142857142857,0.7857142857142857,,3.6666666666666665,4.0,176,34,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.21428571428571427
no_social,customer_only,0,14,0,0,0,0,0,0,12,0,3,9,0,0,0,0,0,0,0,2,11,14,0,0,11,0,11,0,0.7857142857142857,1.0,0.0,0.0,1.0,0.0,0.21428571428571427,,,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.0,0.5701196798075189,0.49791855625909576,0.8571428571428571,0.8181818181818182,0.8181818181818182,3.0,3.0,186,26,0.0,0.7857142857142857,0.0,0.7857142857142857,0.0,0.21428571428571427,0,0,0.0,0.0,,0.0,0.0,0.14285714285714285
no_social,both,0,14,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,4,14,14,0,0,14,13,11,10,0.7857142857142857,0.7857142857142857,0.9285714285714286,0.7857142857142857,0.14285714285714285,0.07142857142857142,0.0,0.7272727272727273,3.0,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.0,0.5701196798075189,0.49791855625909576,0.7142857142857143,0.7142857142857143,0.7272727272727273,4.5,4.5,168,52,0.9285714285714286,0.7857142857142857,0.7857142857142857,0.14285714285714285,0.07142857142857142,0.0,8,1,0.5714285714285714,0.07142857142857142,0.7272727272727273,0.5,0.7142857142857143,0.2857142857142857
no_social,domestic_only,1,14,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,5,16,16,0,0,16,16,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.6875,0.6875,,3.6,4.0,183,44,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.3125
