case_id,employee,firm,created,first_submitted_single,d_submitted_single,e_submitted_single,d_responded_single,e_responded_single,material_at_single,customer_intervened_at_single,d_due_single,e_due_single,d_status_single,e_status_single,resolved_single,resolved_by_single,compensation_single,initial_choice_single,status_single,merit_single,reachable_single,dependence_single,d_finished_single,e_finished_single,d_institution_outcome_single,d_implementation_at_single,processing_time_single,observed_wait_single,dispute_age_observed_single,first_submitted_both,d_submitted_both,e_submitted_both,d_responded_both,e_responded_both,material_at_both,customer_intervened_at_both,d_due_both,e_due_both,d_status_both,e_status_both,resolved_both,resolved_by_both,compensation_both,initial_choice_both,status_both,merit_both,reachable_both,dependence_both,d_finished_both,e_finished_both,d_institution_outcome_both,d_implementation_at_both,processing_time_both,observed_wait_both,dispute_age_observed_both,path_single,path_both
10:0,10,1,0,0,0,,2,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.6297372338144666,True,0.41144794057497336,3,,remedy_supported,3.0,3.0,3.0,3.0,0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.6297372338144666,True,0.41144794057497336,3.0,,remedy_supported,3.0,3.0,3.0,3.0,d_only,d_only
12:0,12,0,0,0,0,,2,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.6772606288104934,True,0.4885520594250266,2,,no_remedy,,,14.0,14.0,0,3.0,0.0,5.0,2.0,,,6.0,,successful,closed_unresolved,6.0,d,1.0,e,resolved,0.6772606288104934,True,0.4885520594250266,6.0,2.0,remedy_supported,6.0,6.0,6.0,6.0,d_only,e_to_d
15:0,15,0,0,0,0,,2,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.3069934567044812,True,0.4885520594250266,2,,no_remedy,,,14.0,14.0,0,0.0,3.0,2.0,5.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.3069934567044812,True,0.4885520594250266,2.0,5.0,no_remedy,,,14.0,14.0,d_only,d_to_e
16:0,16,1,0,0,0,,2,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.455034188741855,False,0.41144794057497336,2,,no_remedy,,,14.0,14.0,0,0.0,,2.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.455034188741855,False,0.41144794057497336,2.0,,no_remedy,,,14.0,14.0,d_only,d_only
17:0,17,1,0,0,0,,2,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5530645440977425,True,0.41144794057497336,2,,no_remedy,,,14.0,14.0,0,0.0,3.0,2.0,5.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.5530645440977425,True,0.41144794057497336,2.0,5.0,no_remedy,,,14.0,14.0,d_only,d_to_e
18:0,18,0,0,0,0,,2,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.6740976743403817,True,0.4885520594250266,2,,no_remedy,,,14.0,14.0,0,0.0,0.0,2.0,2.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d+e,closed_unresolved,0.6740976743403817,True,0.4885520594250266,2.0,2.0,no_remedy,,,14.0,14.0,d_only,simultaneous
20:0,20,0,0,0,0,,3,,,,4.0,,successful,unused,4.0,d,1.0,d,resolved,0.9910030799414205,True,0.4885520594250266,4,,remedy_supported,4.0,4.0,4.0,4.0,0,0.0,3.0,2.0,5.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.9910030799414205,True,0.4885520594250266,2.0,5.0,no_remedy,,,14.0,14.0,d_only,d_to_e
22:0,22,2,0,0,0,,3,,,,4.0,,successful,unused,4.0,d,1.0,d,resolved,0.23210506535185305,True,0.6,4,,remedy_supported,4.0,4.0,4.0,4.0,0,0.0,3.0,2.0,5.0,,5.0,,6.0,closed_unresolved,successful,6.0,e,1.0,d,resolved,0.23210506535185305,True,0.6,2.0,6.0,no_remedy,,6.0,6.0,6.0,d_only,d_to_e
2:0,2,2,0,0,0,,2,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.8773272286998643,True,0.6,2,,no_remedy,,,14.0,14.0,0,,0.0,,2.0,,2.0,,3.0,unused,successful,3.0,e,1.0,e,resolved,0.8773272286998643,True,0.6,,3.0,,,3.0,3.0,3.0,d_only,e_only
3:0,3,2,0,0,0,,2,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.6643069543957052,True,0.6,2,,no_remedy,,,14.0,14.0,0,0.0,3.0,2.0,5.0,,5.0,,6.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.6643069543957052,True,0.6,2.0,6.0,no_remedy,,,14.0,14.0,d_only,d_to_e
4:0,4,0,0,0,0,,2,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.3990985278901817,True,0.4885520594250266,2,,no_remedy,,,14.0,14.0,0,0.0,3.0,2.0,5.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.3990985278901817,True,0.4885520594250266,2.0,5.0,no_remedy,,,14.0,14.0,d_only,d_to_e
5:0,5,2,0,0,0,,2,,,,3.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5606217804303324,False,0.6,3,,remedy_supported,3.0,,14.0,14.0,0,0.0,,2.0,,,,3.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5606217804303324,False,0.6,3.0,,remedy_supported,3.0,,14.0,14.0,d_only,d_only
7:0,7,1,0,0,0,,2,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.27739591041921746,True,0.41144794057497336,2,,no_remedy,,,14.0,14.0,0,0.0,3.0,2.0,5.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.27739591041921746,True,0.41144794057497336,2.0,5.0,no_remedy,,,14.0,14.0,d_only,d_to_e
8:0,8,1,0,0,0,,2,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.6186634072313681,True,0.41144794057497336,2,,no_remedy,,,14.0,14.0,0,0.0,3.0,2.0,5.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.6186634072313681,True,0.41144794057497336,2.0,5.0,no_remedy,,,14.0,14.0,d_only,d_to_e
