block,comparison,metric,n,mean_difference,sd_difference,se_difference,ci_low,ci_high
base,both - domestic_only,domestic_use,2,-0.0357142857142857,0.05050762722761051,0.03571428571428569,-0.0714285714285714,0.0
base,both - domestic_only,customer_use,2,0.5178571428571428,0.37880720420707903,0.26785714285714285,0.25,0.7857142857142857
base,both - domestic_only,resolved_share,2,0.03571428571428571,0.050507627227610534,0.03571428571428571,0.0,0.07142857142857142
base,both - domestic_only,d_to_e_all,2,0.3794642857142857,0.27147849634840665,0.1919642857142857,0.1875,0.5714285714285714
base,both - domestic_only,e_to_d_all,2,0.03571428571428571,0.050507627227610534,0.03571428571428571,0.0,0.07142857142857142
base,both - domestic_only,both_use,2,0.48214285714285715,0.3282995769794685,0.23214285714285712,0.25,0.7142857142857143
base,both - customer_only,domestic_use,2,0.9642857142857143,0.05050762722761051,0.03571428571428569,0.9285714285714286,1.0
base,both - customer_only,customer_use,2,-0.09375,0.13258252147247765,0.09374999999999999,-0.1875,0.0
base,both - customer_only,resolved_share,2,0.19642857142857142,0.07576144084141581,0.05357142857142857,0.14285714285714285,0.25
base,both - customer_only,d_to_e_all,2,0.3794642857142857,0.27147849634840665,0.1919642857142857,0.1875,0.5714285714285714
base,both - customer_only,e_to_d_all,2,0.03571428571428571,0.050507627227610534,0.03571428571428571,0.0,0.07142857142857142
base,both - customer_only,both_use,2,0.48214285714285715,0.3282995769794685,0.23214285714285712,0.25,0.7142857142857143
no_escalation,both - domestic_only,domestic_use,2,-0.07142857142857145,0.10101525445522111,0.07142857142857145,-0.1428571428571429,0.0
no_escalation,both - domestic_only,customer_use,2,0.13839285714285715,0.10732870785867238,0.07589285714285712,0.0625,0.21428571428571427
no_escalation,both - domestic_only,resolved_share,2,-0.03571428571428571,0.050507627227610534,0.03571428571428571,-0.07142857142857142,0.0
no_escalation,both - domestic_only,d_to_e_all,2,0.0,0.0,0.0,0.0,0.0
no_escalation,both - domestic_only,e_to_d_all,2,0.0,0.0,0.0,0.0,0.0
no_escalation,both - domestic_only,both_use,2,0.06696428571428571,0.006313453403451314,0.0044642857142857114,0.0625,0.07142857142857142
no_escalation,both - customer_only,domestic_use,2,0.9285714285714286,0.10101525445522111,0.07142857142857145,0.8571428571428571,1.0
no_escalation,both - customer_only,customer_use,2,-0.4732142857142857,0.13889597487592897,0.0982142857142857,-0.5714285714285714,-0.375
no_escalation,both - customer_only,resolved_share,2,0.125,0.1767766952966369,0.125,0.0,0.25
no_escalation,both - customer_only,d_to_e_all,2,0.0,0.0,0.0,0.0,0.0
no_escalation,both - customer_only,e_to_d_all,2,0.0,0.0,0.0,0.0,0.0
no_escalation,both - customer_only,both_use,2,0.06696428571428571,0.006313453403451314,0.0044642857142857114,0.0625,0.07142857142857142
no_social,both - domestic_only,domestic_use,2,-0.0357142857142857,0.05050762722761051,0.03571428571428569,-0.0714285714285714,0.0
no_social,both - domestic_only,customer_use,2,0.48660714285714285,0.4230013780312382,0.2991071428571428,0.1875,0.7857142857142857
no_social,both - domestic_only,resolved_share,2,0.03571428571428571,0.050507627227610534,0.03571428571428571,0.0,0.07142857142857142
no_social,both - domestic_only,d_to_e_all,2,0.3482142857142857,0.31567267017256584,0.2232142857142857,0.125,0.5714285714285714
no_social,both - domestic_only,e_to_d_all,2,0.03571428571428571,0.050507627227610534,0.03571428571428571,0.0,0.07142857142857142
no_social,both - domestic_only,both_use,2,0.45089285714285715,0.37249375080362773,0.26339285714285715,0.1875,0.7142857142857143
no_social,both - customer_only,domestic_use,2,0.9642857142857143,0.05050762722761051,0.03571428571428569,0.9285714285714286,1.0
no_social,both - customer_only,customer_use,2,-0.09375,0.13258252147247765,0.09374999999999999,-0.1875,0.0
no_social,both - customer_only,resolved_share,2,0.19642857142857142,0.07576144084141581,0.05357142857142857,0.14285714285714285,0.25
no_social,both - customer_only,d_to_e_all,2,0.3482142857142857,0.31567267017256584,0.2232142857142857,0.125,0.5714285714285714
no_social,both - customer_only,e_to_d_all,2,0.03571428571428571,0.050507627227610534,0.03571428571428571,0.0,0.07142857142857142
no_social,both - customer_only,both_use,2,0.45089285714285715,0.37249375080362773,0.26339285714285715,0.1875,0.7142857142857143
neither,both - domestic_only,domestic_use,2,-0.07142857142857145,0.10101525445522111,0.07142857142857145,-0.1428571428571429,0.0
neither,both - domestic_only,customer_use,2,0.13839285714285715,0.10732870785867238,0.07589285714285712,0.0625,0.21428571428571427
neither,both - domestic_only,resolved_share,2,-0.03571428571428571,0.050507627227610534,0.03571428571428571,-0.07142857142857142,0.0
neither,both - domestic_only,d_to_e_all,2,0.0,0.0,0.0,0.0,0.0
neither,both - domestic_only,e_to_d_all,2,0.0,0.0,0.0,0.0,0.0
neither,both - domestic_only,both_use,2,0.06696428571428571,0.006313453403451314,0.0044642857142857114,0.0625,0.07142857142857142
neither,both - customer_only,domestic_use,2,0.9285714285714286,0.10101525445522111,0.07142857142857145,0.8571428571428571,1.0
neither,both - customer_only,customer_use,2,-0.4419642857142857,0.18309014870008816,0.12946428571428567,-0.5714285714285714,-0.3125
neither,both - customer_only,resolved_share,2,0.125,0.1767766952966369,0.125,0.0,0.25
neither,both - customer_only,d_to_e_all,2,0.0,0.0,0.0,0.0,0.0
neither,both - customer_only,e_to_d_all,2,0.0,0.0,0.0,0.0,0.0
neither,both - customer_only,both_use,2,0.06696428571428571,0.006313453403451314,0.0044642857142857114,0.0625,0.07142857142857142
network_ws,both - domestic_only,domestic_use,2,-0.0357142857142857,0.05050762722761051,0.03571428571428569,-0.0714285714285714,0.0
network_ws,both - domestic_only,customer_use,2,0.5178571428571428,0.37880720420707903,0.26785714285714285,0.25,0.7857142857142857
network_ws,both - domestic_only,resolved_share,2,0.03571428571428571,0.050507627227610534,0.03571428571428571,0.0,0.07142857142857142
network_ws,both - domestic_only,d_to_e_all,2,0.3794642857142857,0.27147849634840665,0.1919642857142857,0.1875,0.5714285714285714
network_ws,both - domestic_only,e_to_d_all,2,0.03571428571428571,0.050507627227610534,0.03571428571428571,0.0,0.07142857142857142
network_ws,both - domestic_only,both_use,2,0.48214285714285715,0.3282995769794685,0.23214285714285712,0.25,0.7142857142857143
network_ws,both - customer_only,domestic_use,2,0.9642857142857143,0.05050762722761051,0.03571428571428569,0.9285714285714286,1.0
network_ws,both - customer_only,customer_use,2,-0.125,0.1767766952966369,0.125,-0.25,0.0
network_ws,both - customer_only,resolved_share,2,0.19642857142857142,0.07576144084141581,0.05357142857142857,0.14285714285714285,0.25
network_ws,both - customer_only,d_to_e_all,2,0.3794642857142857,0.27147849634840665,0.1919642857142857,0.1875,0.5714285714285714
network_ws,both - customer_only,e_to_d_all,2,0.03571428571428571,0.050507627227610534,0.03571428571428571,0.0,0.07142857142857142
network_ws,both - customer_only,both_use,2,0.48214285714285715,0.3282995769794685,0.23214285714285712,0.25,0.7142857142857143
network_ba,both - domestic_only,domestic_use,2,-0.0357142857142857,0.05050762722761051,0.03571428571428569,-0.0714285714285714,0.0
network_ba,both - domestic_only,customer_use,2,0.5178571428571428,0.37880720420707903,0.26785714285714285,0.25,0.7857142857142857
network_ba,both - domestic_only,resolved_share,2,0.03571428571428571,0.050507627227610534,0.03571428571428571,0.0,0.07142857142857142
network_ba,both - domestic_only,d_to_e_all,2,0.3794642857142857,0.27147849634840665,0.1919642857142857,0.1875,0.5714285714285714
network_ba,both - domestic_only,e_to_d_all,2,0.03571428571428571,0.050507627227610534,0.03571428571428571,0.0,0.07142857142857142
network_ba,both - domestic_only,both_use,2,0.48214285714285715,0.3282995769794685,0.23214285714285712,0.25,0.7142857142857143
network_ba,both - customer_only,domestic_use,2,0.9642857142857143,0.05050762722761051,0.03571428571428569,0.9285714285714286,1.0
network_ba,both - customer_only,customer_use,2,-0.0625,0.08838834764831845,0.0625,-0.125,0.0
