block,seed,channel,total,loss,gain,loss_resolved_other,loss_still_unresolved,net_share
base,0,d,14,1,0,1,0,-0.07142857142857142
base,0,e,14,0,0,0,0,0.0
base,1,d,16,0,0,0,0,0.0
base,1,e,16,3,0,2,1,-0.1875
no_escalation,0,d,14,2,0,1,1,-0.14285714285714285
no_escalation,0,e,14,8,0,0,8,-0.5714285714285714
no_escalation,1,d,16,0,0,0,0,0.0
no_escalation,1,e,16,6,0,3,3,-0.375
no_social,0,d,14,1,0,1,0,-0.07142857142857142
no_social,0,e,14,0,0,0,0,0.0
no_social,1,d,16,0,0,0,0,0.0
no_social,1,e,16,3,0,3,0,-0.1875
neither,0,d,14,2,0,1,1,-0.14285714285714285
neither,0,e,14,8,0,0,8,-0.5714285714285714
neither,1,d,16,0,0,0,0,0.0
neither,1,e,16,5,0,3,2,-0.3125
network_ws,0,d,14,1,0,1,0,-0.07142857142857142
network_ws,0,e,14,0,0,0,0,0.0
network_ws,1,d,16,0,0,0,0,0.0
network_ws,1,e,16,4,0,2,2,-0.25
network_ba,0,d,14,1,0,1,0,-0.07142857142857142
network_ba,0,e,14,0,0,0,0,0.0
network_ba,1,d,16,0,0,0,0,0.0
network_ba,1,e,16,2,0,2,0,-0.125
population_double,0,d,30,0,0,0,0,0.0
population_double,0,e,30,7,0,7,0,-0.23333333333333334
population_double,1,d,29,1,0,1,0,-0.034482758620689655
population_double,1,e,29,6,0,5,1,-0.20689655172413793
horizon_double,0,d,14,1,0,1,0,-0.07142857142857142
horizon_double,0,e,14,0,0,0,0,0.0
horizon_double,1,d,16,0,0,0,0,0.0
horizon_double,1,e,16,3,0,2,1,-0.1875
costs_up20,0,d,14,1,0,1,0,-0.07142857142857142
costs_up20,0,e,14,0,0,0,0,0.0
costs_up20,1,d,16,0,0,0,0,0.0
costs_up20,1,e,16,4,0,4,0,-0.25
priors_down10,0,d,14,1,0,1,0,-0.07142857142857142
priors_down10,0,e,14,0,0,0,0,0.0
priors_down10,1,d,16,0,0,0,0,0.0
priors_down10,1,e,16,2,0,2,0,-0.125
expected_wait_double,0,d,14,1,0,1,0,-0.07142857142857142
expected_wait_double,0,e,14,0,0,0,0,0.0
expected_wait_double,1,d,16,0,0,0,0,0.0
expected_wait_double,1,e,16,4,0,3,1,-0.25
symmetric,0,d,14,1,0,1,0,-0.07142857142857142
symmetric,0,e,14,1,0,1,0,-0.07142857142857142
symmetric,1,d,16,3,0,3,0,-0.1875
symmetric,1,e,16,0,0,0,0,0.0
