block,seed,single,path_single,path_both,count,total,share
base,0,domestic_only,none,none,0,69,0.0
base,0,domestic_only,none,d_only,0,69,0.0
base,0,domestic_only,none,e_only,0,69,0.0
base,0,domestic_only,none,simultaneous,0,69,0.0
base,0,domestic_only,none,d_to_e,0,69,0.0
base,0,domestic_only,none,e_to_d,0,69,0.0
base,0,domestic_only,d_only,none,0,69,0.0
base,0,domestic_only,d_only,d_only,32,69,0.463768115942029
base,0,domestic_only,d_only,e_only,0,69,0.0
base,0,domestic_only,d_only,simultaneous,7,69,0.10144927536231885
base,0,domestic_only,d_only,d_to_e,24,69,0.34782608695652173
base,0,domestic_only,d_only,e_to_d,6,69,0.08695652173913043
base,0,domestic_only,e_only,none,0,69,0.0
base,0,domestic_only,e_only,d_only,0,69,0.0
base,0,domestic_only,e_only,e_only,0,69,0.0
base,0,domestic_only,e_only,simultaneous,0,69,0.0
base,0,domestic_only,e_only,d_to_e,0,69,0.0
base,0,domestic_only,e_only,e_to_d,0,69,0.0
base,0,domestic_only,simultaneous,none,0,69,0.0
base,0,domestic_only,simultaneous,d_only,0,69,0.0
base,0,domestic_only,simultaneous,e_only,0,69,0.0
base,0,domestic_only,simultaneous,simultaneous,0,69,0.0
base,0,domestic_only,simultaneous,d_to_e,0,69,0.0
base,0,domestic_only,simultaneous,e_to_d,0,69,0.0
base,0,domestic_only,d_to_e,none,0,69,0.0
base,0,domestic_only,d_to_e,d_only,0,69,0.0
base,0,domestic_only,d_to_e,e_only,0,69,0.0
base,0,domestic_only,d_to_e,simultaneous,0,69,0.0
base,0,domestic_only,d_to_e,d_to_e,0,69,0.0
base,0,domestic_only,d_to_e,e_to_d,0,69,0.0
base,0,domestic_only,e_to_d,none,0,69,0.0
base,0,domestic_only,e_to_d,d_only,0,69,0.0
base,0,domestic_only,e_to_d,e_only,0,69,0.0
base,0,domestic_only,e_to_d,simultaneous,0,69,0.0
base,0,domestic_only,e_to_d,d_to_e,0,69,0.0
base,0,domestic_only,e_to_d,e_to_d,0,69,0.0
base,0,customer_only,none,none,0,69,0.0
base,0,customer_only,none,d_only,15,69,0.21739130434782608
base,0,customer_only,none,e_only,0,69,0.0
base,0,customer_only,none,simultaneous,0,69,0.0
base,0,customer_only,none,d_to_e,0,69,0.0
base,0,customer_only,none,e_to_d,0,69,0.0
base,0,customer_only,d_only,none,0,69,0.0
base,0,customer_only,d_only,d_only,0,69,0.0
base,0,customer_only,d_only,e_only,0,69,0.0
base,0,customer_only,d_only,simultaneous,0,69,0.0
base,0,customer_only,d_only,d_to_e,0,69,0.0
base,0,customer_only,d_only,e_to_d,0,69,0.0
base,0,customer_only,e_only,none,0,69,0.0
base,0,customer_only,e_only,d_only,17,69,0.2463768115942029
base,0,customer_only,e_only,e_only,0,69,0.0
base,0,customer_only,e_only,simultaneous,7,69,0.10144927536231885
base,0,customer_only,e_only,d_to_e,24,69,0.34782608695652173
base,0,customer_only,e_only,e_to_d,6,69,0.08695652173913043
base,0,customer_only,simultaneous,none,0,69,0.0
base,0,customer_only,simultaneous,d_only,0,69,0.0
base,0,customer_only,simultaneous,e_only,0,69,0.0
base,0,customer_only,simultaneous,simultaneous,0,69,0.0
base,0,customer_only,simultaneous,d_to_e,0,69,0.0
base,0,customer_only,simultaneous,e_to_d,0,69,0.0
base,0,customer_only,d_to_e,none,0,69,0.0
base,0,customer_only,d_to_e,d_only,0,69,0.0
base,0,customer_only,d_to_e,e_only,0,69,0.0
base,0,customer_only,d_to_e,simultaneous,0,69,0.0
base,0,customer_only,d_to_e,d_to_e,0,69,0.0
base,0,customer_only,d_to_e,e_to_d,0,69,0.0
base,0,customer_only,e_to_d,none,0,69,0.0
base,0,customer_only,e_to_d,d_only,0,69,0.0
