block,seed,channel,total,loss,gain,loss_resolved_other,loss_still_unresolved,net_share
base,0,d,69,0,0,0,0,0.0
base,0,e,69,17,0,15,2,-0.2463768115942029
base,1,d,81,1,0,1,0,-0.012345679012345678
base,1,e,81,13,0,10,3,-0.16049382716049382
base,2,d,75,0,0,0,0,0.0
base,2,e,75,14,1,14,0,-0.17333333333333334
base,3,d,84,4,0,4,0,-0.047619047619047616
base,3,e,84,15,0,13,2,-0.17857142857142858
base,4,d,82,2,0,2,0,-0.024390243902439025
base,4,e,82,7,0,6,1,-0.08536585365853659
base,5,d,85,1,0,1,0,-0.011764705882352941
base,5,e,85,14,0,11,3,-0.16470588235294117
base,6,d,86,1,0,1,0,-0.011627906976744186
base,6,e,86,21,0,15,6,-0.2441860465116279
base,7,d,84,0,0,0,0,0.0
base,7,e,84,16,0,11,5,-0.19047619047619047
base,8,d,71,0,0,0,0,0.0
base,8,e,71,13,0,11,2,-0.18309859154929578
base,9,d,64,1,0,1,0,-0.015625
base,9,e,64,9,0,9,0,-0.140625
base,10,d,77,0,0,0,0,0.0
base,10,e,77,12,0,10,2,-0.15584415584415584
base,11,d,75,0,0,0,0,0.0
base,11,e,75,6,0,5,1,-0.08
base,12,d,77,1,0,1,0,-0.012987012987012988
base,12,e,77,18,0,14,4,-0.23376623376623376
base,13,d,88,6,0,6,0,-0.06818181818181818
base,13,e,88,14,0,14,0,-0.1590909090909091
base,14,d,69,2,0,2,0,-0.028985507246376812
base,14,e,69,17,0,15,2,-0.2463768115942029
base,15,d,78,2,0,2,0,-0.02564102564102564
base,15,e,78,14,0,10,4,-0.1794871794871795
base,16,d,81,1,0,1,0,-0.012345679012345678
base,16,e,81,9,0,8,1,-0.1111111111111111
base,17,d,85,1,0,1,0,-0.011764705882352941
base,17,e,85,14,0,11,3,-0.16470588235294117
base,18,d,71,1,0,1,0,-0.014084507042253521
base,18,e,71,15,0,10,5,-0.2112676056338028
base,19,d,75,1,0,1,0,-0.013333333333333334
base,19,e,75,18,0,17,1,-0.24
no_escalation,0,d,69,6,0,0,6,-0.08695652173913043
no_escalation,0,e,69,41,0,19,22,-0.5942028985507246
no_escalation,1,d,81,3,0,1,2,-0.037037037037037035
no_escalation,1,e,81,42,0,11,31,-0.5185185185185185
no_escalation,2,d,75,4,0,0,4,-0.05333333333333334
no_escalation,2,e,75,33,0,14,19,-0.44
no_escalation,3,d,84,6,0,4,2,-0.07142857142857142
no_escalation,3,e,84,44,0,15,29,-0.5238095238095238
no_escalation,4,d,82,6,0,3,3,-0.07317073170731707
no_escalation,4,e,82,26,0,7,19,-0.3170731707317073
no_escalation,5,d,85,8,0,1,7,-0.09411764705882353
no_escalation,5,e,85,39,0,12,27,-0.4588235294117647
no_escalation,6,d,86,7,0,1,6,-0.08139534883720931
no_escalation,6,e,86,47,0,21,26,-0.5465116279069767
no_escalation,7,d,84,4,0,0,4,-0.047619047619047616
no_escalation,7,e,84,35,0,12,23,-0.4166666666666667
no_escalation,8,d,71,1,0,0,1,-0.014084507042253521
no_escalation,8,e,71,29,0,16,13,-0.4084507042253521
no_escalation,9,d,64,4,0,2,2,-0.0625
no_escalation,9,e,64,36,0,11,25,-0.5625
no_escalation,10,d,77,2,0,0,2,-0.025974025974025976
no_escalation,10,e,77,25,0,10,15,-0.3246753246753247
no_escalation,11,d,75,6,0,0,6,-0.08
no_escalation,11,e,75,25,0,7,18,-0.3333333333333333
no_escalation,12,d,77,7,0,1,6,-0.09090909090909091
no_escalation,12,e,77,40,0,17,23,-0.5194805194805194
no_escalation,13,d,88,12,0,6,6,-0.13636363636363635
no_escalation,13,e,88,47,0,18,29,-0.5340909090909091
no_escalation,14,d,69,6,0,2,4,-0.08695652173913043
no_escalation,14,e,69,36,0,16,20,-0.5217391304347826
no_escalation,15,d,78,6,0,2,4,-0.07692307692307693
no_escalation,15,e,78,46,0,13,33,-0.5897435897435898
no_escalation,16,d,81,6,0,1,5,-0.07407407407407407
no_escalation,16,e,81,32,0,13,19,-0.3950617283950617
no_escalation,17,d,85,11,0,1,10,-0.12941176470588237
no_escalation,17,e,85,34,0,13,21,-0.4
no_escalation,18,d,71,7,0,1,6,-0.09859154929577464
no_escalation,18,e,71,44,0,16,28,-0.6197183098591549
no_escalation,19,d,75,5,0,1,4,-0.06666666666666667
no_escalation,19,e,75,45,0,21,24,-0.6
no_social,0,d,69,0,0,0,0,0.0
no_social,0,e,69,15,0,14,1,-0.21739130434782608
no_social,1,d,81,1,0,1,0,-0.012345679012345678
