time,expected_wait_d,expected_wait_e,scenario,seed
0,3.0,3.0,legacy,0
1,3.0,3.0,legacy,0
2,3.0,3.0,legacy,0
3,3.0,3.0,legacy,0
4,3.0,3.0,legacy,0
5,3.0,3.0,legacy,0
6,3.0,3.0,legacy,0
7,3.0,3.0,legacy,0
8,3.0,3.0,legacy,0
9,3.0,3.0,legacy,0
10,3.0,3.0,legacy,0
11,3.0,3.0,legacy,0
12,3.0,3.0,legacy,0
13,3.0,3.0,legacy,0
14,3.0,3.0,legacy,0
15,3.0,3.0,legacy,0
16,3.0,3.0,legacy,0
17,3.0,3.0,legacy,0
18,3.0,3.0,legacy,0
19,3.0,3.0,legacy,0
20,3.0,3.0,legacy,0
21,3.0,3.0,legacy,0
22,3.0,3.0,legacy,0
23,3.0,3.0,legacy,0
24,3.0,3.0,legacy,0
25,3.0,3.0,legacy,0
26,3.0,3.0,legacy,0
27,3.0,3.0,legacy,0
28,3.0,3.0,legacy,0
29,3.0,3.0,legacy,0
30,3.0,3.0,legacy,0
31,3.0,3.0,legacy,0
32,3.0,3.0,legacy,0
33,3.0,3.0,legacy,0
34,3.0,3.0,legacy,0
35,3.0,3.0,legacy,0
36,3.0,3.0,legacy,0
37,3.0,3.0,legacy,0
38,3.0,3.0,legacy,0
39,3.0,3.0,legacy,0
40,3.0,3.0,legacy,0
41,3.0,3.0,legacy,0
42,3.0,3.0,legacy,0
43,3.0,3.0,legacy,0
44,3.0,3.0,legacy,0
45,3.0,3.0,legacy,0
46,3.0,3.0,legacy,0
47,3.0,3.0,legacy,0
48,3.0,3.0,legacy,0
49,3.0,3.0,legacy,0
50,3.0,3.0,legacy,0
51,3.0,3.0,legacy,0
52,3.0,3.0,legacy,0
53,3.0,3.0,legacy,0
54,3.0,3.0,legacy,0
55,3.0,3.0,legacy,0
56,3.0,3.0,legacy,0
57,3.0,3.0,legacy,0
58,3.0,3.0,legacy,0
59,3.0,3.0,legacy,0
60,3.0,3.0,legacy,0
61,3.0,3.0,legacy,0
62,3.0,3.0,legacy,0
63,3.0,3.0,legacy,0
64,3.0,3.0,legacy,0
65,3.0,3.0,legacy,0
0,3.0,3.0,base,0
1,3.0,3.0,base,0
2,3.0,3.0,base,0
3,3.0,3.0,base,0
4,3.0,3.0,base,0
5,3.0,3.0,base,0
6,3.0,3.0,base,0
7,3.0,3.0,base,0
8,3.0,3.0,base,0
9,3.0,3.0,base,0
10,3.0,3.0,base,0
11,3.0,3.0,base,0
12,3.0,3.0,base,0
13,3.0,3.0,base,0
14,3.0,3.0,base,0
15,3.0,3.0,base,0
16,3.0,3.0,base,0
17,3.0,3.0,base,0
18,3.0,3.0,base,0
19,3.0,3.0,base,0
20,3.0,3.0,base,0
21,3.0,3.0,base,0
22,3.0,3.0,base,0
23,3.0,3.0,base,0
24,3.0,3.0,base,0
25,3.0,3.0,base,0
26,3.0,3.0,base,0
27,3.0,3.0,base,0
28,3.0,3.0,base,0
29,3.0,3.0,base,0
30,3.0,3.0,base,0
31,3.0,3.0,base,0
32,3.0,3.0,base,0
33,3.0,3.0,base,0
34,3.0,3.0,base,0
35,3.0,3.0,base,0
36,3.0,3.0,base,0
37,3.0,3.0,base,0
38,3.0,3.0,base,0
39,3.0,3.0,base,0
40,3.0,3.0,base,0
41,3.0,3.0,base,0
42,3.0,3.0,base,0
43,3.0,3.0,base,0
44,3.0,3.0,base,0
45,3.0,3.0,base,0
46,3.0,3.0,base,0
47,3.0,3.0,base,0
48,3.0,3.0,base,0
49,3.0,3.0,base,0
50,3.0,3.0,base,0
51,3.0,3.0,base,0
52,3.0,3.0,base,0
53,3.0,3.0,base,0
54,3.0,3.0,base,0
55,3.0,3.0,base,0
56,3.0,3.0,base,0
57,3.0,3.0,base,0
58,3.0,3.0,base,0
59,3.0,3.0,base,0
60,3.0,3.0,base,0
61,3.0,3.0,base,0
62,3.0,3.0,base,0
63,3.0,3.0,base,0
64,3.0,3.0,base,0
65,3.0,3.0,base,0
0,3.0,3.0,wait_learning,0
1,2.888888888888889,3.0,wait_learning,0
2,2.9333333333333336,2.9,wait_learning,0
3,2.9466666666666668,2.9666666666666663,wait_learning,0
4,2.81969696969697,2.9696969696969693,wait_learning,0
