time,case_id,employee,selected,material_known,social_d,social_e,pending_d,pending_e,recent_d,recent_e,success_d,success_e,failure_d,failure_e,p_d,p_e,cost_d,cost_e,expected_wait_d,expected_wait_e,utilities
0,15:0,15,d,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.20696674100377374,0.30487527217243027,3.0,3.0,wait:0.000000;d:0.243196;e:0.145287;d+e:0.165836
0,37:0,37,d,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2055414393880601,0.3819427469962634,3.0,3.0,wait:0.000000;d:0.244621;e:0.068220;d+e:0.090194
0,122:0,122,d,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.30527671861823186,0.3440753588719599,3.0,3.0,wait:0.000000;d:0.144886;e:0.106087;d+e:0.028326
0,168:0,168,d,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2124602298368124,0.3434550845162469,3.0,3.0,wait:0.000000;d:0.237702;e:0.106707;d+e:0.121763
0,172:0,172,e,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.25807518197125545,0.16465395119231233,3.0,3.0,wait:0.000000;d:0.192087;e:0.285508;d+e:0.254949
0,178:0,178,e,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.30242028894009604,0.26244031453647154,3.0,3.0,wait:0.000000;d:0.147742;e:0.187722;d+e:0.112818
1,55:0,55,e,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.27604848689772193,0.21149207820782978,3.0,3.0,wait:0.000000;d:0.174114;e:0.238670;d+e:0.190138
1,58:0,58,d,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.22916244037719172,0.25204918347217453,3.0,3.0,wait:0.000000;d:0.221000;e:0.198113;d+e:0.196467
1,103:0,103,e,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2629746714295532,0.2618007453015172,3.0,3.0,wait:0.000000;d:0.187188;e:0.188362;d+e:0.152903
1,108:0,108,e,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4051152694937241,0.34700663599438875,3.0,3.0,wait:0.000000;d:0.045047;e:0.103156;d+e:-0.074443
