scenario,population,metric,contrast,n,mean,low,high
base,all,domestic_use,late,2,0.772093023255814,0.7441860465116279,0.8
base,all,domestic_use,change,2,-0.09521243551305941,-0.10947249007373794,-0.08095238095238089
base,all,domestic_use,late_minus_base,2,0.0,0.0,0.0
base,all,customer_use,late,2,0.604983388704319,0.5813953488372093,0.6285714285714286
base,all,customer_use,change,2,0.038490938065526836,-0.003970504821327214,0.08095238095238089
base,all,customer_use,late_minus_base,2,0.0,0.0,0.0
base,all,customer_minus_domestic,late,2,-0.16710963455149497,-0.17142857142857137,-0.1627906976744186
base,all,customer_minus_domestic,change,2,0.1337033735785863,0.10550198525241064,0.16190476190476194
base,all,customer_minus_domestic,late_minus_base,2,0.0,0.0,0.0
base,all,first_d,late,2,0.5531561461794019,0.5348837209302325,0.5714285714285714
base,all,first_d,change,2,-0.060955352078437774,-0.07142857142857151,-0.05048213272830404
base,all,first_d,late_minus_base,2,0.0,0.0,0.0
base,all,first_e,late,2,0.40930232558139534,0.4,0.4186046511627907
base,all,first_e,change,2,0.0234138238392351,0.003970504821327325,0.04285714285714287
base,all,first_e,late_minus_base,2,0.0,0.0,0.0
base,all,first_both,late,2,0.011627906976744186,0.0,0.023255813953488372
base,all,first_both,change,2,0.011627906976744186,0.0,0.023255813953488372
base,all,first_both,late_minus_base,2,0.0,0.0,0.0
base,all,domestic_only,late,2,0.36910299003322256,0.34285714285714286,0.3953488372093023
base,all,domestic_only,change,2,-0.0644045593279853,-0.10952380952380952,-0.019285309132161088
base,all,domestic_only,late_minus_base,2,0.0,0.0,0.0
base,all,customer_only,late,2,0.20199335548172753,0.17142857142857137,0.2325581395348837
base,all,customer_only,change,2,0.06929881425060096,0.052380952380952334,0.08621667612024958
base,all,customer_only,late_minus_base,2,0.0,0.0,0.0
base,all,both_use,late,2,0.40299003322259136,0.3488372093023256,0.45714285714285713
base,all,both_use,change,2,-0.030807876185074135,-0.09018718094157685,0.02857142857142858
base,all,both_use,late_minus_base,2,0.0,0.0,0.0
base,all,no_submission,late,2,0.025913621262458456,0.023255813953488372,0.02857142857142854
base,all,no_submission,change,2,0.025913621262458456,0.023255813953488372,0.02857142857142854
base,all,no_submission,late_minus_base,2,0.0,0.0,0.0
base,all,d_to_e,late,2,0.1840531561461794,0.1395348837209302,0.22857142857142856
base,all,d_to_e,change,2,0.003449207249547573,-0.031196823596142953,0.0380952380952381
base,all,d_to_e,late_minus_base,2,0.0,0.0,0.0
base,all,e_to_d,late,2,0.20730897009966776,0.18604651162790695,0.22857142857142856
base,all,e_to_d,change,2,-0.0458849904113659,-0.08224617129892228,-0.009523809523809518
base,all,e_to_d,late_minus_base,2,0.0,0.0,0.0
base,all,resolved,late,2,0.4700996677740864,0.42857142857142855,0.5116279069767442
base,all,resolved,change,2,0.060401642222402296,0.02380952380952378,0.09699376063528081
base,all,resolved,late_minus_base,2,0.0,0.0,0.0
base,both_reachable,domestic_use,late,2,0.7314814814814814,0.7222222222222222,0.7407407407407407
base,both_reachable,domestic_use,change,2,-0.10215822440087147,-0.1030092592592593,-0.10130718954248363
base,both_reachable,domestic_use,late_minus_base,2,0.0,0.0,0.0
base,both_reachable,customer_use,late,2,0.7546296296296295,0.6944444444444444,0.8148148148148148
base,both_reachable,customer_use,change,2,0.042313453159041337,-0.011437908496732097,0.09606481481481477
base,both_reachable,customer_use,late_minus_base,2,0.0,0.0,0.0
base,both_reachable,customer_minus_domestic,late,2,0.023148148148148133,-0.027777777777777776,0.07407407407407404
base,both_reachable,customer_minus_domestic,change,2,0.14447167755991283,0.08986928104575163,0.19907407407407404
base,both_reachable,customer_minus_domestic,late_minus_base,2,0.0,0.0,0.0
base,both_reachable,first_d,late,2,0.4583333333333333,0.4444444444444444,0.4722222222222222
base,both_reachable,first_d,change,2,-0.057291666666666685,-0.08680555555555558,-0.02777777777777779
base,both_reachable,first_d,late_minus_base,2,0.0,0.0,0.0
base,both_reachable,first_e,late,2,0.5092592592592593,0.5,0.5185185185185185
base,both_reachable,first_e,change,2,0.024884259259259245,0.0,0.04976851851851849
base,both_reachable,first_e,late_minus_base,2,0.0,0.0,0.0
base,both_reachable,first_both,late,2,0.013888888888888883,0.0,0.027777777777777766
base,both_reachable,first_both,change,2,0.013888888888888883,0.0,0.027777777777777766
base,both_reachable,first_both,late_minus_base,2,0.0,0.0,0.0
base,both_reachable,domestic_only,late,2,0.22685185185185186,0.1481481481481481,0.3055555555555556
base,both_reachable,domestic_only,change,2,-0.060831971677559896,-0.13310185185185183,0.011437908496732041
base,both_reachable,domestic_only,late_minus_base,2,0.0,0.0,0.0
base,both_reachable,customer_only,late,2,0.24999999999999997,0.22222222222222215,0.2777777777777778
base,both_reachable,customer_only,change,2,0.08363970588235296,0.06597222222222221,0.10130718954248372
base,both_reachable,customer_only,late_minus_base,2,0.0,0.0,0.0
base,both_reachable,both_use,late,2,0.5046296296296295,0.4166666666666666,0.5925925925925926
base,both_reachable,both_use,change,2,-0.04132625272331161,-0.11274509803921579,0.03009259259259256
base,both_reachable,both_use,late_minus_base,2,0.0,0.0,0.0
base,both_reachable,no_submission,late,2,0.01851851851851851,0.0,0.03703703703703702
base,both_reachable,no_submission,change,2,0.01851851851851851,0.0,0.03703703703703702
base,both_reachable,no_submission,late_minus_base,2,0.0,0.0,0.0
base,both_reachable,d_to_e,late,2,0.23148148148148145,0.16666666666666663,0.2962962962962963
base,both_reachable,d_to_e,change,2,0.0035403050108932382,-0.03921568627450983,0.04629629629629631
base,both_reachable,d_to_e,late_minus_base,2,0.0,0.0,0.0
base,both_reachable,e_to_d,late,2,0.2592592592592592,0.2222222222222222,0.2962962962962962
base,both_reachable,e_to_d,change,2,-0.05875544662309368,-0.10130718954248363,-0.01620370370370372
base,both_reachable,e_to_d,late_minus_base,2,0.0,0.0,0.0
base,both_reachable,resolved,late,2,0.4814814814814815,0.4074074074074074,0.5555555555555556
base,both_reachable,resolved,change,2,0.07247412854030505,0.0011574074074073848,0.14379084967320271
base,both_reachable,resolved,late_minus_base,2,0.0,0.0,0.0
followup_12,all,domestic_use,late,2,0.7461794019933554,0.7209302325581395,0.7714285714285715
followup_12,all,domestic_use,change,2,-0.024726521351592257,-0.03516732841747028,-0.014285714285714235
followup_12,all,domestic_use,late_minus_base,2,-0.025913621262458497,-0.02857142857142858,-0.023255813953488413
followup_12,all,customer_use,late,2,0.5674418604651162,0.5348837209302325,0.6
followup_12,all,customer_use,change,2,0.02475893363584797,-0.05048213272830404,0.09999999999999998
followup_12,all,customer_use,late_minus_base,2,-0.037541528239202704,-0.04651162790697683,-0.02857142857142858
followup_12,all,customer_minus_domestic,late,2,-0.17873754152823912,-0.18604651162790695,-0.17142857142857132
followup_12,all,customer_minus_domestic,change,2,0.04948545498744031,-0.015314804310833763,0.11428571428571438
followup_12,all,customer_minus_domestic,late_minus_base,2,-0.011627906976744151,-0.023255813953488358,5.551115123125783e-17
followup_12,all,first_d,late,2,0.5531561461794019,0.5348837209302325,0.5714285714285714
followup_12,all,first_d,change,2,-0.036565108175998784,-0.07142857142857151,-0.00170164492342606
followup_12,all,first_d,late_minus_base,2,0.0,0.0,0.0
followup_12,all,first_e,late,2,0.40930232558139534,0.4,0.4186046511627907
followup_12,all,first_e,change,2,0.0234138238392351,0.003970504821327325,0.04285714285714287
followup_12,all,first_e,late_minus_base,2,0.0,0.0,0.0
followup_12,all,first_both,late,2,0.011627906976744186,0.0,0.023255813953488372
followup_12,all,first_both,change,2,0.011627906976744186,0.0,0.023255813953488372
followup_12,all,first_both,late_minus_base,2,0.0,0.0,0.0
followup_12,all,domestic_only,late,2,0.40664451827242526,0.37142857142857144,0.4418604651162791
followup_12,all,domestic_only,change,2,-0.02628231099586742,-0.12857142857142856,0.07600680657969372
followup_12,all,domestic_only,late_minus_base,2,0.037541528239202676,0.02857142857142858,0.04651162790697677
followup_12,all,customer_only,late,2,0.22790697674418603,0.19999999999999996,0.2558139534883721
followup_12,all,customer_only,change,2,0.023203143991572833,-0.01428571428571429,0.06069200226885996
followup_12,all,customer_only,late_minus_base,2,0.025913621262458497,0.023255813953488413,0.02857142857142858
followup_12,all,both_use,late,2,0.3395348837209302,0.2790697674418604,0.4
followup_12,all,both_use,change,2,0.0015557896442751629,-0.111174134997164,0.11428571428571432
followup_12,all,both_use,late_minus_base,2,-0.06345514950166115,-0.06976744186046518,-0.057142857142857106
followup_12,all,no_submission,late,2,0.025913621262458456,0.023255813953488372,0.02857142857142854
followup_12,all,no_submission,change,2,0.0015233773600194338,-0.025524673851389672,0.02857142857142854
followup_12,all,no_submission,late_minus_base,2,0.0,0.0,0.0
followup_12,all,d_to_e,late,2,0.14651162790697672,0.09302325581395347,0.19999999999999996
followup_12,all,d_to_e,change,2,-0.010282797180131274,-0.07770845150311968,0.057142857142857134
followup_12,all,d_to_e,late_minus_base,2,-0.03754152823920267,-0.04651162790697673,-0.02857142857142861
followup_12,all,e_to_d,late,2,0.1813953488372093,0.1627906976744186,0.2
followup_12,all,e_to_d,change,2,0.00021067984766230674,-0.05672149744753255,0.05714285714285716
