scenario,seed,population,period,domestic_use,customer_use,customer_minus_domestic,first_d,first_e,first_both,domestic_only,customer_only,both_use,no_submission,d_to_e,e_to_d,resolved
base,0,all,early,0.8536585365853658,0.5853658536585366,-0.26829268292682923,0.5853658536585366,0.4146341463414634,0.0,0.4146341463414634,0.1463414634146341,0.43902439024390244,0.0,0.17073170731707316,0.26829268292682923,0.4146341463414634
base,0,all,late,0.7441860465116279,0.5813953488372093,-0.1627906976744186,0.5348837209302325,0.4186046511627907,0.023255813953488372,0.3953488372093023,0.2325581395348837,0.3488372093023256,0.023255813953488372,0.1395348837209302,0.18604651162790695,0.5116279069767442
base,0,both_reachable,early,0.8235294117647058,0.7058823529411765,-0.11764705882352941,0.5,0.5,0.0,0.29411764705882354,0.17647058823529407,0.5294117647058824,0.0,0.20588235294117646,0.32352941176470584,0.41176470588235287
base,0,both_reachable,late,0.7222222222222222,0.6944444444444444,-0.027777777777777776,0.4722222222222222,0.5,0.027777777777777766,0.3055555555555556,0.2777777777777778,0.4166666666666666,0.0,0.16666666666666663,0.2222222222222222,0.5555555555555556
base,1,all,early,0.8809523809523809,0.5476190476190477,-0.3333333333333333,0.6428571428571429,0.35714285714285715,0.0,0.4523809523809524,0.11904761904761904,0.42857142857142855,0.0,0.19047619047619047,0.23809523809523808,0.40476190476190477
base,1,all,late,0.8,0.6285714285714286,-0.17142857142857137,0.5714285714285714,0.4,0.0,0.34285714285714286,0.17142857142857137,0.45714285714285713,0.02857142857142854,0.22857142857142856,0.22857142857142856,0.42857142857142855
base,1,both_reachable,early,0.84375,0.71875,-0.125,0.53125,0.46875,0.0,0.28124999999999994,0.15624999999999994,0.5625,0.0,0.24999999999999997,0.31249999999999994,0.40625
base,1,both_reachable,late,0.7407407407407407,0.8148148148148148,0.07407407407407404,0.4444444444444444,0.5185185185185185,0.0,0.1481481481481481,0.22222222222222215,0.5925925925925926,0.03703703703703702,0.2962962962962963,0.2962962962962962,0.4074074074074074
followup_12,0,all,early,0.7560975609756098,0.5853658536585366,-0.17073170731707318,0.5365853658536586,0.4146341463414634,0.0,0.36585365853658536,0.19512195121951215,0.3902439024390244,0.048780487804878044,0.17073170731707316,0.21951219512195114,0.3902439024390244
followup_12,0,all,late,0.7209302325581395,0.5348837209302325,-0.18604651162790695,0.5348837209302325,0.4186046511627907,0.023255813953488372,0.4418604651162791,0.2558139534883721,0.2790697674418604,0.023255813953488372,0.09302325581395347,0.1627906976744186,0.4883720930232558
followup_12,0,both_reachable,early,0.7058823529411765,0.7058823529411765,1.3061447348531253e-17,0.4411764705882353,0.5,0.0,0.23529411764705882,0.23529411764705874,0.4705882352941176,0.05882352941176469,0.20588235294117646,0.2647058823529411,0.38235294117647056
followup_12,0,both_reachable,late,0.6944444444444444,0.6388888888888888,-0.05555555555555555,0.4722222222222222,0.5,0.027777777777777766,0.3611111111111111,0.3055555555555556,0.33333333333333326,0.0,0.11111111111111108,0.19444444444444445,0.5277777777777778
followup_12,1,all,early,0.7857142857142857,0.5,-0.2857142857142857,0.6428571428571429,0.35714285714285715,0.0,0.5,0.21428571428571425,0.2857142857142857,0.0,0.14285714285714282,0.14285714285714285,0.35714285714285715
followup_12,1,all,late,0.7714285714285715,0.6,-0.17142857142857132,0.5714285714285714,0.4,0.0,0.37142857142857144,0.19999999999999996,0.4,0.02857142857142854,0.19999999999999996,0.2,0.37142857142857144
followup_12,1,both_reachable,early,0.71875,0.65625,-0.06249999999999997,0.53125,0.46875,0.0,0.34375,0.28125,0.375,0.0,0.1875,0.1875,0.34375
followup_12,1,both_reachable,late,0.7037037037037037,0.7777777777777778,0.07407407407407404,0.4444444444444444,0.5185185185185185,0.0,0.18518518518518512,0.2592592592592592,0.5185185185185185,0.03703703703703702,0.2592592592592592,0.2592592592592592,0.3333333333333333
followup_48,0,all,early,0.9024390243902439,0.6341463414634146,-0.2682926829268292,0.5853658536585366,0.4146341463414634,0.0,0.36585365853658536,0.0975609756097561,0.5365853658536586,0.0,0.21951219512195122,0.31707317073170727,0.4634146341463415
followup_48,0,all,late,0.7906976744186046,0.5813953488372093,-0.20930232558139536,0.5348837209302325,0.4186046511627907,0.023255813953488372,0.3953488372093023,0.18604651162790695,0.3953488372093023,0.023255813953488372,0.1395348837209302,0.2325581395348837,0.5116279069767442
followup_48,0,both_reachable,early,0.8823529411764706,0.7647058823529411,-0.11764705882352937,0.5,0.5,0.0,0.23529411764705882,0.11764705882352933,0.6470588235294118,0.0,0.2647058823529412,0.38235294117647056,0.4705882352941176
followup_48,0,both_reachable,late,0.7777777777777778,0.6944444444444444,-0.08333333333333331,0.4722222222222222,0.5,0.027777777777777766,0.3055555555555556,0.22222222222222218,0.4722222222222222,0.0,0.16666666666666663,0.2777777777777778,0.5555555555555556
followup_48,1,all,early,0.8809523809523809,0.5952380952380952,-0.2857142857142857,0.6428571428571429,0.35714285714285715,0.0,0.40476190476190477,0.11904761904761904,0.47619047619047616,0.0,0.23809523809523805,0.23809523809523808,0.47619047619047616
followup_48,1,all,late,0.8571428571428571,0.6285714285714286,-0.22857142857142856,0.6,0.4,0.0,0.37142857142857144,0.1428571428571428,0.4857142857142857,0.0,0.22857142857142856,0.2571428571428571,0.42857142857142855
followup_48,1,both_reachable,early,0.84375,0.78125,-0.0625,0.53125,0.46875,0.0,0.21874999999999997,0.15624999999999994,0.625,0.0,0.31249999999999994,0.31249999999999994,0.5
followup_48,1,both_reachable,late,0.8148148148148148,0.8148148148148148,4.11193712824132e-17,0.48148148148148145,0.5185185185185185,0.0,0.18518518518518512,0.18518518518518512,0.6296296296296297,0.0,0.2962962962962963,0.3333333333333333,0.4074074074074074
grid_r0.4_c0.5,0,all,early,0.8780487804878049,0.2926829268292683,-0.5853658536585366,0.6585365853658537,0.2926829268292683,0.0,0.6585365853658537,0.07317073170731703,0.21951219512195114,0.04878048780487801,0.0,0.21951219512195114,0.36585365853658536
grid_r0.4_c0.5,0,all,late,0.8604651162790697,0.3023255813953488,-0.5581395348837209,0.6976744186046512,0.16279069767441856,0.06976744186046512,0.627906976744186,0.0697674418604651,0.2325581395348837,0.0697674418604651,0.0697674418604651,0.09302325581395346,0.4186046511627907
grid_r0.4_c0.5,0,both_reachable,early,0.7692307692307693,0.9230769230769231,0.15384615384615385,0.07692307692307689,0.9230769230769231,0.0,0.07692307692307689,0.23076923076923073,0.6923076923076923,0.0,0.0,0.6923076923076923,0.38461538461538464
grid_r0.4_c0.5,0,both_reachable,late,0.7692307692307693,1.0,0.2307692307692308,0.23076923076923073,0.5384615384615384,0.23076923076923073,0.0,0.23076923076923073,0.7692307692307693,0.0,0.23076923076923073,0.30769230769230765,0.30769230769230765
grid_r0.4_c0.5,1,all,early,0.9047619047619048,0.40476190476190477,-0.5,0.6666666666666666,0.2619047619047619,0.047619047619047616,0.5714285714285714,0.07142857142857138,0.3333333333333333,0.023809523809523774,0.09523809523809522,0.19047619047619044,0.38095238095238093
grid_r0.4_c0.5,1,all,late,0.8285714285714286,0.5142857142857142,-0.3142857142857142,0.5142857142857142,0.42857142857142855,0.028571428571428567,0.45714285714285713,0.14285714285714285,0.37142857142857144,0.02857142857142854,0.057142857142857106,0.2857142857142857,0.3428571428571428
grid_r0.4_c0.5,1,both_reachable,early,0.8333333333333334,0.9444444444444444,0.1111111111111111,0.2777777777777778,0.6111111111111112,0.1111111111111111,0.05555555555555555,0.16666666666666666,0.7777777777777778,0.0,0.2222222222222222,0.4444444444444444,0.5555555555555556
grid_r0.4_c0.5,1,both_reachable,late,0.75,0.9,0.15,0.2,0.75,0.05,0.1,0.25,0.65,0.0,0.1,0.5,0.45
grid_r0.4_c1.0,0,all,early,0.8780487804878049,0.26829268292682923,-0.6097560975609756,0.7804878048780488,0.17073170731707318,0.0,0.6829268292682927,0.07317073170731703,0.19512195121951217,0.04878048780487801,0.09756097560975606,0.09756097560975607,0.36585365853658536
grid_r0.4_c1.0,0,all,late,0.8372093023255814,0.2325581395348837,-0.6046511627906976,0.6976744186046512,0.18604651162790695,0.0,0.6511627906976745,0.04651162790697674,0.18604651162790695,0.11627906976744184,0.04651162790697674,0.1395348837209302,0.3953488372093023
grid_r0.4_c1.0,0,both_reachable,early,0.7692307692307693,0.8461538461538461,0.0769230769230769,0.46153846153846156,0.5384615384615384,0.0,0.15384615384615385,0.23076923076923073,0.6153846153846154,0.0,0.3076923076923076,0.3076923076923077,0.38461538461538464
grid_r0.4_c1.0,0,both_reachable,late,0.8461538461538461,0.7692307692307693,-0.07692307692307689,0.38461538461538464,0.6153846153846154,0.0,0.23076923076923073,0.15384615384615377,0.6153846153846154,0.0,0.15384615384615377,0.46153846153846156,0.46153846153846156
grid_r0.4_c1.0,1,all,early,0.9047619047619048,0.2619047619047619,-0.6428571428571429,0.7380952380952381,0.23809523809523808,0.0,0.7142857142857143,0.07142857142857138,0.19047619047619044,0.023809523809523774,0.023809523809523774,0.16666666666666657,0.35714285714285715
grid_r0.4_c1.0,1,all,late,0.8285714285714286,0.42857142857142855,-0.39999999999999997,0.6,0.37142857142857144,0.0,0.5428571428571428,0.14285714285714285,0.2857142857142857,0.02857142857142854,0.057142857142857106,0.22857142857142856,0.3142857142857143
grid_r0.4_c1.0,1,both_reachable,early,0.8333333333333334,0.6111111111111112,-0.2222222222222222,0.4444444444444444,0.5555555555555556,0.0,0.3888888888888889,0.16666666666666666,0.4444444444444444,0.0,0.05555555555555555,0.3888888888888889,0.5
