seed,world,domestic_use,customer_use
0,original,0.7906976744186046,0.7906976744186046
0,mirror,0.7906976744186046,0.7906976744186046
1,original,0.7714285714285715,0.8285714285714286
1,mirror,0.8285714285714286,0.7714285714285715
2,original,0.6857142857142857,0.6285714285714286
2,mirror,0.6285714285714286,0.6857142857142857
3,original,0.6875,0.84375
3,mirror,0.84375,0.6875
4,original,0.6976744186046512,0.7441860465116279
4,mirror,0.7441860465116279,0.6976744186046512
5,original,0.7777777777777778,0.6944444444444444
5,mirror,0.6944444444444444,0.7777777777777778
6,original,0.8,0.725
6,mirror,0.725,0.8
7,original,0.8372093023255814,0.6976744186046512
7,mirror,0.6976744186046512,0.8372093023255814
8,original,0.7441860465116279,0.9069767441860465
8,mirror,0.9069767441860465,0.7441860465116279
9,original,0.7714285714285715,0.8
9,mirror,0.8,0.7714285714285715
10,original,0.6666666666666666,0.8444444444444444
10,mirror,0.8444444444444444,0.6666666666666666
11,original,0.7777777777777778,0.7777777777777778
11,mirror,0.7777777777777778,0.7777777777777778
12,original,0.7435897435897436,0.7692307692307693
12,mirror,0.7692307692307693,0.7435897435897436
13,original,0.7674418604651163,0.8837209302325582
13,mirror,0.8837209302325582,0.7674418604651163
14,original,0.7368421052631579,0.9473684210526315
14,mirror,0.9473684210526315,0.7368421052631579
15,original,0.75,0.85
15,mirror,0.85,0.75
16,original,0.6666666666666666,0.8333333333333334
16,mirror,0.8333333333333334,0.6666666666666666
17,original,0.696969696969697,0.7878787878787878
17,mirror,0.7878787878787878,0.696969696969697
18,original,0.7073170731707317,0.8048780487804879
18,mirror,0.8048780487804879,0.7073170731707317
19,original,0.75,0.7272727272727273
19,mirror,0.7272727272727273,0.75
