time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer
0,14,14,14,12,3,0,14,14,0,0,12,12,0,0,0,3,0,0,14,14,0,0
1,0,0,0,0,0,0,14,14,0,0,12,12,0,0,0,3,0,0,14,14,12,3
2,0,0,0,0,0,0,14,3,0,11,2,0,2,2,0,1,0,0,14,14,12,3
3,0,0,0,1,8,9,12,9,0,3,1,1,0,0,1,8,2,2,14,14,12,3
4,0,0,0,0,0,0,12,9,0,3,1,1,0,0,0,8,0,2,14,14,1,8
5,0,0,0,0,0,0,12,3,0,9,1,0,1,1,0,2,0,2,14,14,1,8
6,0,0,0,0,0,0,10,0,0,10,0,0,0,0,1,0,2,4,14,14,1,8
7,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,4,14,14,0,0
8,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,4,14,14,0,0
9,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,4,14,14,0,0
10,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,4,14,14,0,0
11,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,4,14,14,0,0
12,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,4,14,14,0,0
13,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,4,14,14,0,0
14,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,4,14,14,0,0
