time,case_id,employee,event
0,2:0,2,dispute_created
0,3:0,3,dispute_created
0,4:0,4,dispute_created
0,5:0,5,dispute_created
0,7:0,7,dispute_created
0,8:0,8,dispute_created
0,10:0,10,dispute_created
0,12:0,12,dispute_created
0,15:0,15,dispute_created
0,16:0,16,dispute_created
0,17:0,17,dispute_created
0,18:0,18,dispute_created
0,20:0,20,dispute_created
0,22:0,22,dispute_created
0,2:0,2,customer_received
0,3:0,3,customer_received
0,4:0,4,customer_received
0,7:0,7,customer_received
0,8:0,8,customer_received
0,12:0,12,customer_received
0,15:0,15,customer_received
0,17:0,17,customer_received
0,18:0,18,customer_received
0,20:0,20,customer_received
0,22:0,22,customer_received
2,2:0,2,customer_reviewed
2,2:0,2,customer_intervened
2,3:0,3,customer_reviewed
2,3:0,3,customer_declined
2,4:0,4,customer_reviewed
2,4:0,4,customer_intervened
2,7:0,7,customer_reviewed
2,7:0,7,customer_declined
2,8:0,8,customer_reviewed
2,8:0,8,customer_declined
2,12:0,12,customer_reviewed
2,12:0,12,customer_declined
2,15:0,15,customer_reviewed
2,15:0,15,customer_declined
2,17:0,17,customer_reviewed
2,17:0,17,customer_intervened
2,18:0,18,customer_reviewed
2,18:0,18,customer_declined
2,20:0,20,customer_reviewed
2,20:0,20,customer_intervened
2,22:0,22,customer_reviewed
2,22:0,22,customer_declined
3,4:0,4,firm_case_processed
3,4:0,4,customer_firm_success
3,20:0,20,firm_case_processed
3,20:0,20,customer_firm_failure
3,17:0,17,firm_case_processed
3,17:0,17,customer_firm_failure
3,2:0,2,firm_case_processed
3,2:0,2,customer_firm_success
3,2:0,2,case_resolved
3,4:0,4,case_resolved
