case_id,employee,firm,created,first_submitted,d_submitted,e_submitted,d_responded,e_responded,material_at,customer_intervened_at,d_due,e_due,d_status,e_status,resolved,resolved_by,compensation,initial_choice,status,merit,reachable,dependence,d_finished,e_finished,d_institution_outcome,d_implementation_at,processing_time,observed_wait,dispute_age_observed,scenario,seed
0:0,0,0,0,0.0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.992760059691461,True,0.47042565019858995,3.0,,remedy_supported,3.0,3.0,3.0,3.0,domestic_only,0
1:0,1,5,0,0.0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.42403633705529986,True,0.506188904761806,3.0,,remedy_supported,3.0,3.0,3.0,3.0,domestic_only,0
3:0,3,4,0,0.0,0.0,,2.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.21223919630908938,True,0.4162920712285151,2.0,,no_remedy,,,44.0,44.0,domestic_only,0
5:0,5,0,0,0.0,0.0,,2.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.4851427568135255,False,0.47042565019858995,2.0,,no_remedy,,,44.0,44.0,domestic_only,0
6:0,6,1,0,0.0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.9052472326700784,True,0.5994915417836008,3.0,,remedy_supported,3.0,3.0,3.0,3.0,domestic_only,0
7:0,7,0,0,0.0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.43136060466874526,True,0.47042565019858995,3.0,,remedy_supported,3.0,3.0,3.0,3.0,domestic_only,0
8:0,8,0,0,0.0,0.0,,2.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.3960478194003253,True,0.47042565019858995,2.0,,no_remedy,,,44.0,44.0,domestic_only,0
10:0,10,1,0,0.0,0.0,,2.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.6438525166688605,True,0.5994915417836008,2.0,,no_remedy,,,44.0,44.0,domestic_only,0
11:0,11,0,0,0.0,0.0,,2.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.3068491472644639,False,0.47042565019858995,2.0,,no_remedy,,,44.0,44.0,domestic_only,0
12:0,12,5,0,0.0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.5273082560727348,True,0.506188904761806,3.0,,remedy_supported,3.0,3.0,3.0,3.0,domestic_only,0
15:0,15,3,0,0.0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.9636525868444654,True,0.40760183202748823,3.0,,remedy_supported,3.0,3.0,3.0,3.0,domestic_only,0
