time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer
0,69,69,69,63,13,0,69,69,0,0,63,63,0,0,0,13,0,0,69,69,0,0
1,0,0,0,0,0,0,69,69,0,0,63,63,0,0,0,13,0,0,69,69,63,13
2,0,0,0,0,0,0,69,59,0,10,57,51,6,6,0,8,0,0,69,69,63,13
3,0,0,0,4,2,6,62,49,0,13,47,43,4,5,6,2,7,7,69,69,63,13
4,0,0,0,2,10,12,59,47,0,12,39,33,6,6,3,12,3,10,69,69,47,2
5,0,0,0,0,6,6,53,42,0,11,28,21,7,7,6,16,6,16,69,69,39,12
6,0,0,0,0,3,3,46,26,0,20,15,9,6,6,6,11,7,23,69,69,28,18
7,0,0,0,0,2,2,38,10,0,28,3,0,3,3,6,7,8,31,69,69,15,19
8,0,0,0,0,1,1,34,5,0,29,0,0,0,0,2,5,4,35,69,69,3,11
9,0,0,0,0,0,0,34,3,0,31,0,0,0,0,0,3,0,35,69,69,0,6
10,0,0,0,0,0,0,33,1,0,32,0,0,0,0,0,1,1,36,69,69,0,3
11,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,1
12,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
13,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
14,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
15,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
16,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
17,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
18,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
19,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
20,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
21,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
22,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
23,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
24,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
25,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
26,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
27,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
28,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
29,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
30,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
31,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
32,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
33,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
34,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
35,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
36,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
37,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
38,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
39,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
40,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
41,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
42,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
43,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
44,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0
