time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer
0,69,52,52,0,52,0,69,52,17,0,0,0,0,0,0,52,0,0,52,69,0,0
1,0,2,2,0,2,0,69,54,15,0,0,0,0,0,0,54,0,0,54,69,0,52
2,0,0,0,0,0,0,69,50,15,4,0,0,0,0,0,50,0,0,54,69,0,54
3,0,0,0,0,0,0,62,38,15,9,0,0,0,0,0,38,7,7,54,69,0,54
4,0,0,0,0,0,0,59,21,15,23,0,0,0,0,0,21,3,10,54,69,0,38
5,0,0,0,0,0,0,57,9,15,33,0,0,0,0,0,9,2,12,54,69,0,21
6,0,0,0,0,0,0,57,2,15,40,0,0,0,0,0,2,0,12,54,69,0,9
7,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,2
8,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
9,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
10,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
11,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
12,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
13,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
14,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
15,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
16,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
17,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
18,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
19,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
20,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
21,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
22,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
23,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
24,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
25,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
26,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
27,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
28,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
29,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
30,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
31,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
32,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
33,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
34,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
35,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
36,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
37,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
38,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
39,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
40,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
41,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
42,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
43,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
44,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0
