scenario,seed,time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,unique_submitted_cases,unique_domestic_cases,unique_customer_cases,multi_cases,customer_share_all_cases,customer_share_submitted,domestic_share_submitted,first_domestic_share,first_customer_share,first_both_share,no_submission_share,domestic_then_customer_share,mean_escalation_time,external_path_trigger_rate,external_user_case_resolution_rate,customer_intervention_rate,material_at_customer_review_share,external_user_mean_merit,external_user_mean_dependence,unresolved_fraction,submitted_unresolved_fraction,external_user_unresolved_fraction,mean_processing_time,median_processing_time,unresolved_case_rounds,pending_case_rounds,domestic_use,customer_use,first_d_all,first_e_all,first_both_all,never_submitted,d_to_e_count,e_to_d_count,d_to_e_all,e_to_d_all,d_to_e_conditional,e_to_d_conditional,both_use,resolved_share
domestic_only,0,44,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,69,69,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.5652173913043478,0.5652173913043478,,5.3,5.0,1914,337,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.43478260869565216
customer_only,0,44,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0,54,0,54,0,0.782608695652174,1.0,0.0,0.0,1.0,0.0,0.21739130434782608,,,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.0,0.5921700366960387,0.498969014777984,0.8260869565217391,0.7777777777777778,0.7777777777777778,3.5833333333333335,3.0,2608,226,0.0,0.782608695652174,0.0,0.782608695652174,0.0,0.21739130434782608,0,0,0.0,0.0,,0.0,0.0,0.17391304347826086
both,0,44,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0,69,69,37,37,0.5362318840579711,0.5362318840579711,1.0,0.8115942028985508,0.08695652173913043,0.10144927536231885,0.0,0.42857142857142855,4.833333333333333,0.24324324324324326,0.3783783783783784,0.5428571428571428,0.0,0.5517011759445715,0.4877425641858253,0.4782608695652174,0.4782608695652174,0.6216216216216216,5.638888888888889,6.0,1688,380,1.0,0.5362318840579711,0.8115942028985508,0.08695652173913043,0.10144927536231885,0.0,24,6,0.34782608695652173,0.08695652173913043,0.42857142857142855,1.0,0.5362318840579711,0.5217391304347826
domestic_only,1,44,0,0,0,0,0,0,51,0,0,51,0,0,0,0,0,0,0,30,81,81,0,0,81,81,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.6296296296296297,0.6296296296296297,,5.833333333333333,6.0,2470,431,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.37037037037037035
customer_only,1,44,0,0,0,0,0,0,69,0,22,47,0,0,0,0,0,0,0,12,59,81,0,0,59,0,59,0,0.7283950617283951,1.0,0.0,0.0,1.0,0.0,0.2716049382716049,,,0.2033898305084746,0.2033898305084746,0.3898305084745763,0.0,0.5220420782292962,0.5012402233684919,0.8518518518518519,0.7966101694915254,0.7966101694915254,4.333333333333333,4.5,3161,249,0.0,0.7283950617283951,0.0,0.7283950617283951,0.0,0.2716049382716049,0,0,0.0,0.0,,0.0,0.0,0.14814814814814814
both,1,44,0,0,0,0,0,0,43,0,0,43,0,0,0,0,0,0,0,38,81,81,0,0,81,80,46,45,0.5679012345679012,0.5679012345679012,0.9876543209876543,0.7901234567901234,0.037037037037037035,0.1728395061728395,0.0,0.453125,5.793103448275862,0.21739130434782608,0.41304347826086957,0.3333333333333333,0.0,0.5140233236629493,0.4976785497791543,0.5308641975308642,0.5308641975308642,0.5869565217391305,6.105263157894737,6.0,2167,483,0.9876543209876543,0.5679012345679012,0.7901234567901234,0.037037037037037035,0.1728395061728395,0.0,29,2,0.35802469135802467,0.024691358024691357,0.453125,0.6666666666666666,0.5555555555555556,0.4691358024691358
domestic_only,2,44,0,0,0,0,0,0,43,0,0,43,0,0,0,0,0,0,0,32,75,75,0,0,75,75,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.5733333333333334,0.5733333333333334,,5.4375,5.0,2109,388,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.4266666666666667
customer_only,2,44,0,0,0,0,0,0,66,0,28,38,0,0,0,0,0,0,0,9,47,75,0,0,47,0,47,0,0.6266666666666667,1.0,0.0,0.0,1.0,0.0,0.37333333333333335,,,0.19148936170212766,0.19148936170212766,0.46808510638297873,0.0,0.594924844510955,0.5153276188673266,0.88,0.8085106382978723,0.8085106382978723,4.888888888888889,5.0,3014,184,0.0,0.6266666666666667,0.0,0.6266666666666667,0.0,0.37333333333333335,0,0,0.0,0.0,,0.0,0.0,0.12
both,2,44,0,0,0,0,0,0,32,0,0,32,0,0,0,0,0,0,0,43,75,75,0,0,75,75,34,34,0.4533333333333333,0.4533333333333333,1.0,0.8133333333333334,0.05333333333333334,0.13333333333333333,0.0,0.32786885245901637,6.3,0.2647058823529412,0.4117647058823529,0.4117647058823529,0.0,0.5860731019981987,0.5101471284731961,0.4266666666666667,0.4266666666666667,0.5882352941176471,6.27906976744186,6.0,1710,430,1.0,0.4533333333333333,0.8133333333333334,0.05333333333333334,0.13333333333333333,0.0,20,4,0.26666666666666666,0.05333333333333334,0.32786885245901637,1.0,0.4533333333333333,0.5733333333333334
domestic_only,3,44,0,0,0,0,0,0,61,0,0,61,0,0,0,0,0,0,0,23,84,84,0,0,84,84,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.7261904761904762,0.7261904761904762,,6.173913043478261,6.0,2887,451,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.27380952380952384
