scenario,contrast,metric,n,mean,low,high
information_r0.0_f0,late_minus_before,cases,2,-1.0,-10.0,8.0
information_r0.0_f0,late_minus_early_after,cases,2,2.5,2.0,3.0
information_r0.0_f0,late_minus_before,customer_users,2,5.0,3.0,7.0
information_r0.0_f0,late_minus_early_after,customer_users,2,-2.0,-3.0,-1.0
information_r0.0_f0,late_minus_before,customer_employees,2,5.0,3.0,7.0
information_r0.0_f0,late_minus_early_after,customer_employees,2,-0.5,-1.0,0.0
information_r0.0_f0,late_minus_before,domestic_use,2,-0.06403781403781406,-0.07912457912457915,-0.04895104895104896
information_r0.0_f0,late_minus_early_after,domestic_use,2,0.03512536244243564,0.029230769230769282,0.04101995565410199
information_r0.0_f0,late_minus_before,customer_use,2,0.10282310282310285,0.08501683501683509,0.12062937062937061
information_r0.0_f0,late_minus_early_after,customer_use,2,-0.052246290295070816,-0.06846153846153852,-0.036031042128603114
information_r0.0_f0,late_minus_before,both_use,2,0.0619010619010619,0.0538720538720539,0.0699300699300699
information_r0.0_f0,late_minus_early_after,both_use,2,-0.013438512706805406,-0.04461538461538471,0.0177383592017739
information_r0.0_f0,late_minus_before,first_customer,2,0.1042152292152292,0.0808080808080808,0.1276223776223776
information_r0.0_f0,late_minus_early_after,first_customer,2,-0.05284069588947646,-0.058758314855875904,-0.04692307692307701
information_r0.0_f0,late_minus_before,d_to_e,2,-0.0013921263921263995,-0.006993006993006999,0.0042087542087542
information_r0.0_f0,late_minus_early_after,d_to_e,2,0.0005944055944055518,-0.021538461538461597,0.0227272727272727
information_r0.0_f0,late_minus_before,resolved,2,-0.03554778554778551,-0.08333333333333331,0.012237762237762295
information_r0.0_f0,late_minus_early_after,resolved,2,-0.0018855534709193017,-0.09146341463414631,0.08769230769230771
information_r0.0_f0,late_minus_before,unresolved,2,0.03554778554778554,-0.012237762237762295,0.08333333333333337
information_r0.0_f0,late_minus_early_after,unresolved,2,0.0018855534709192878,-0.08769230769230774,0.09146341463414631
information_r0.0_f0,late_minus_before,potential,2,6.5,-8.0,21.0
information_r0.0_f0,late_minus_early_after,potential,2,2.5,0.0,5.0
information_r0.0_f0,late_minus_before,blocked,2,7.5,2.0,13.0
