time,case_id,employee
48,14:0,14
48,17:0,17
48,58:0,58
49,73:1,73
49,118:1,118
50,12:2,12
52,70:4,70
53,82:5,82
54,56:6,56
54,110:6,110
55,40:7,40
55,101:7,101
57,41:9,41
59,93:11,93
59,96:11,96
62,98:14,98
63,8:15,8
64,1:16,1
64,92:16,92
66,97:18,97
67,7:19,7
67,117:19,117
68,108:20,108
72,20:24,20
72,107:24,107
73,27:25,27
73,88:25,88
74,54:26,54
74,66:26,66
75,79:27,79
75,112:27,112
77,55:29,55
79,59:31,59
80,81:32,81
82,29:34,29
91,35:43,35
92,46:44,46
93,24:45,24
94,114:46,114
95,50:47,50
96,51:48,51
96,62:48,62
96,63:48,63
99,48:51,48
101,65:53,65
106,106:58,106
107,3:59,3
107,18:59,18
107,37:59,37
108,32:60,32
109,85:61,85
112,57:64,57
114,60:66,60
115,16:67,16
115,25:67,25
115,95:67,95
116,23:68,23
116,87:68,87
117,97:69,97
120,7:72,7
120,91:72,91
120,102:72,102
121,108:73,108
122,21:74,21
122,43:74,43
126,14:78,14
126,79:78,79
128,8:80,8
128,41:80,41
128,80:80,80
128,82:80,82
129,22:81,22
129,40:81,40
130,105:82,105
132,96:84,96
133,54:85,54
135,12:87,12
136,64:88,64
137,78:89,78
138,30:90,30
140,36:92,36
142,39:94,39
146,100:98,100
147,71:99,71
148,19:100,19
150,48:102,48
151,0:103,0
151,118:103,118
152,56:104,56
153,66:105,66
155,83:107,83
156,65:108,65
157,44:109,44
158,109:110,109
159,50:111,50
159,89:111,89
160,59:112,59
160,94:112,94
161,112:113,112
163,16:115,16
163,17:115,17
163,60:115,60
