time,case_id,employee
48,14:0,14
48,17:0,17
48,58:0,58
49,73:1,73
49,118:1,118
50,12:2,12
52,70:4,70
53,82:5,82
54,56:6,56
54,110:6,110
55,40:7,40
55,101:7,101
57,41:9,41
59,93:11,93
59,96:11,96
62,98:14,98
63,8:15,8
64,1:16,1
64,92:16,92
66,97:18,97
67,7:19,7
67,117:19,117
68,108:20,108
72,20:24,20
72,107:24,107
73,27:25,27
73,88:25,88
74,54:26,54
74,66:26,66
75,79:27,79
75,112:27,112
77,55:29,55
79,59:31,59
80,81:32,81
82,29:34,29
91,35:43,35
92,46:44,46
93,24:45,24
94,114:46,114
96,51:48,51
96,62:48,62
96,63:48,63
99,48:51,48
102,31:54,31
104,58:56,58
106,106:58,106
107,3:59,3
107,18:59,18
107,37:59,37
109,85:61,85
110,84:62,84
112,57:64,57
114,1:66,1
114,67:66,67
115,16:67,16
115,25:67,25
116,23:68,23
117,97:69,97
120,7:72,7
120,102:72,102
121,108:73,108
122,21:74,21
122,43:74,43
126,14:78,14
126,79:78,79
128,8:80,8
128,41:80,41
128,80:80,80
128,82:80,82
128,103:80,103
128,109:80,109
129,22:81,22
129,40:81,40
130,105:82,105
132,96:84,96
135,4:87,4
137,78:89,78
140,36:92,36
142,9:94,9
142,39:94,39
146,100:98,100
147,104:99,104
148,19:100,19
150,48:102,48
150,54:102,54
151,0:103,0
151,118:103,118
152,56:104,56
152,91:104,91
153,33:105,33
153,66:105,66
154,12:106,12
154,64:106,64
154,71:106,71
155,83:107,83
156,65:108,65
157,44:109,44
157,114:109,114
159,89:111,89
160,59:112,59
160,94:112,94
161,112:113,112
163,16:115,16
163,17:115,17
