time,case_id,employee
96,14:0,14
96,17:0,17
96,58:0,58
97,73:1,73
97,118:1,118
98,12:2,12
100,70:4,70
101,82:5,82
102,56:6,56
102,110:6,110
103,40:7,40
103,101:7,101
105,41:9,41
107,93:11,93
110,98:14,98
111,8:15,8
112,1:16,1
112,92:16,92
114,97:18,97
115,7:19,7
115,117:19,117
116,108:20,108
120,20:24,20
120,107:24,107
121,27:25,27
121,88:25,88
122,54:26,54
122,66:26,66
123,79:27,79
123,112:27,112
125,55:29,55
127,59:31,59
128,81:32,81
130,29:34,29
139,35:43,35
140,46:44,46
141,24:45,24
142,114:46,114
144,51:48,51
144,62:48,62
144,63:48,63
147,2:51,2
147,48:51,48
150,31:54,31
154,106:58,106
155,3:59,3
155,18:59,18
155,37:59,37
157,85:61,85
158,84:62,84
160,57:64,57
163,16:67,16
163,25:67,25
163,95:67,95
163,116:67,116
