scenario,period,metric,n,mean,low,high
information_r0.0_f0,before,cases,2,49.0,44.0,54.0
information_r0.0_f0,before,customer_users,2,4.0,4.0,4.0
information_r0.0_f0,before,customer_employees,2,4.0,4.0,4.0
information_r0.0_f0,before,domestic_use,2,0.835016835016835,0.8181818181818182,0.8518518518518519
information_r0.0_f0,before,customer_use,2,0.08249158249158245,0.074074074074074,0.0909090909090909
information_r0.0_f0,before,both_use,2,0.0412457912457912,0.037037037037037,0.0454545454545454
information_r0.0_f0,before,first_customer,2,0.05050505050505045,0.0454545454545454,0.0555555555555555
information_r0.0_f0,before,d_to_e,2,0.03198653198653195,0.0185185185185185,0.0454545454545454
information_r0.0_f0,before,resolved,2,0.31439393939393934,0.2954545454545454,0.3333333333333333
information_r0.0_f0,before,unresolved,2,0.6856060606060606,0.6666666666666666,0.7045454545454546
information_r0.0_f0,before,potential,2,66.0,57.0,75.0
information_r0.0_f0,before,blocked,2,17.0,13.0,21.0
information_r0.0_f0,before,prevented,2,0.0,0.0,0.0
information_r0.0_f0,before,mean_prevention,2,0.0,0.0,0.0
information_r0.0_f0,before,knowledge_share,2,0.1333333333333333,0.1083333333333333,0.1583333333333333
information_r0.0_f0,early_after,cases,2,45.5,41.0,50.0
information_r0.0_f0,early_after,customer_users,2,11.0,8.0,14.0
information_r0.0_f0,early_after,customer_employees,2,9.5,7.0,12.0
information_r0.0_f0,early_after,domestic_use,2,0.7358536585365854,0.7317073170731707,0.74
information_r0.0_f0,early_after,customer_use,2,0.23756097560975611,0.1951219512195122,0.28
information_r0.0_f0,early_after,both_use,2,0.1165853658536585,0.073170731707317,0.16
information_r0.0_f0,early_after,first_customer,2,0.20756097560975612,0.1951219512195122,0.22
information_r0.0_f0,early_after,d_to_e,2,0.03,0.0,0.06
information_r0.0_f0,early_after,resolved,2,0.28073170731707314,0.22,0.3414634146341463
information_r0.0_f0,early_after,unresolved,2,0.7192682926829268,0.6585365853658537,0.78
information_r0.0_f0,early_after,potential,2,70.0,62.0,78.0
information_r0.0_f0,early_after,blocked,2,24.5,21.0,28.0
information_r0.0_f0,early_after,prevented,2,0.0,0.0,0.0
information_r0.0_f0,early_after,mean_prevention,2,0.0,0.0,0.0
information_r0.0_f0,early_after,knowledge_share,2,0.30833333333333335,0.2750000000000001,0.3416666666666667
information_r0.0_f0,late_after,cases,2,48.0,44.0,52.0
information_r0.0_f0,late_after,customer_users,2,9.0,7.0,11.0
information_r0.0_f0,late_after,customer_employees,2,9.0,7.0,11.0
information_r0.0_f0,late_after,domestic_use,2,0.770979020979021,0.7692307692307693,0.7727272727272727
information_r0.0_f0,late_after,customer_use,2,0.1853146853146853,0.1590909090909091,0.2115384615384615
information_r0.0_f0,late_after,both_use,2,0.1031468531468531,0.0909090909090909,0.1153846153846153
information_r0.0_f0,late_after,first_customer,2,0.15472027972027963,0.1363636363636363,0.173076923076923
information_r0.0_f0,late_after,d_to_e,2,0.03059440559440555,0.0227272727272727,0.0384615384615384
information_r0.0_f0,late_after,resolved,2,0.27884615384615385,0.25,0.3076923076923077
information_r0.0_f0,late_after,unresolved,2,0.7211538461538461,0.6923076923076923,0.75
information_r0.0_f0,late_after,potential,2,72.5,67.0,78.0
information_r0.0_f0,late_after,blocked,2,24.5,23.0,26.0
information_r0.0_f0,late_after,prevented,2,0.0,0.0,0.0
information_r0.0_f0,late_after,mean_prevention,2,0.0,0.0,0.0
information_r0.0_f0,late_after,knowledge_share,2,0.30833333333333335,0.2750000000000001,0.3416666666666667
information_r0.0_f1,before,cases,2,49.0,44.0,54.0
information_r0.0_f1,before,customer_users,2,4.0,4.0,4.0
information_r0.0_f1,before,customer_employees,2,4.0,4.0,4.0
information_r0.0_f1,before,domestic_use,2,0.835016835016835,0.8181818181818182,0.8518518518518519
information_r0.0_f1,before,customer_use,2,0.08249158249158245,0.074074074074074,0.0909090909090909
information_r0.0_f1,before,both_use,2,0.0412457912457912,0.037037037037037,0.0454545454545454
information_r0.0_f1,before,first_customer,2,0.05050505050505045,0.0454545454545454,0.0555555555555555
information_r0.0_f1,before,d_to_e,2,0.03198653198653195,0.0185185185185185,0.0454545454545454
information_r0.0_f1,before,resolved,2,0.31439393939393934,0.2954545454545454,0.3333333333333333
information_r0.0_f1,before,unresolved,2,0.6856060606060606,0.6666666666666666,0.7045454545454546
information_r0.0_f1,before,potential,2,66.0,57.0,75.0
information_r0.0_f1,before,blocked,2,16.5,12.0,21.0
information_r0.0_f1,before,prevented,2,0.5,0.0,1.0
information_r0.0_f1,before,mean_prevention,2,0.0331718119895149,0.0,0.0663436239790298
information_r0.0_f1,before,knowledge_share,2,0.1333333333333333,0.1083333333333333,0.1583333333333333
information_r0.0_f1,early_after,cases,2,38.5,34.0,43.0
information_r0.0_f1,early_after,customer_users,2,8.5,5.0,12.0
information_r0.0_f1,early_after,customer_employees,2,8.0,5.0,11.0
information_r0.0_f1,early_after,domestic_use,2,0.7838577291381669,0.7441860465116279,0.8235294117647058
information_r0.0_f1,early_after,customer_use,2,0.21306429548563605,0.1470588235294117,0.2790697674418604
information_r0.0_f1,early_after,both_use,2,0.1138850889192886,0.088235294117647,0.1395348837209302
information_r0.0_f1,early_after,first_customer,2,0.1898084815321477,0.1470588235294117,0.2325581395348837
information_r0.0_f1,early_after,d_to_e,2,0.02325581395348835,0.0,0.0465116279069767
information_r0.0_f1,early_after,resolved,2,0.3074555403556771,0.2325581395348837,0.3823529411764705
information_r0.0_f1,early_after,unresolved,2,0.6925444596443229,0.6176470588235294,0.7674418604651163
information_r0.0_f1,early_after,potential,2,70.0,62.0,78.0
information_r0.0_f1,early_after,blocked,2,23.5,20.0,27.0
information_r0.0_f1,early_after,prevented,2,8.0,8.0,8.0
information_r0.0_f1,early_after,mean_prevention,2,0.27639210937747544,0.2647943893381903,0.2879898294167606
information_r0.0_f1,early_after,knowledge_share,2,0.30833333333333335,0.2750000000000001,0.3416666666666667
information_r0.0_f1,late_after,cases,2,43.5,36.0,51.0
information_r0.0_f1,late_after,customer_users,2,8.0,5.0,11.0
information_r0.0_f1,late_after,customer_employees,2,8.0,5.0,11.0
information_r0.0_f1,late_after,domestic_use,2,0.7949346405228759,0.7843137254901961,0.8055555555555556
information_r0.0_f1,late_after,customer_use,2,0.17728758169934639,0.1388888888888889,0.2156862745098039
information_r0.0_f1,late_after,both_use,2,0.11437908496732024,0.1111111111111111,0.1176470588235294
information_r0.0_f1,late_after,first_customer,2,0.1437908496732026,0.1111111111111111,0.1764705882352941
information_r0.0_f1,late_after,d_to_e,2,0.033496732026143755,0.0277777777777777,0.0392156862745098
information_r0.0_f1,late_after,resolved,2,0.29166666666666663,0.25,0.3333333333333333
information_r0.0_f1,late_after,unresolved,2,0.7083333333333333,0.6666666666666666,0.75
information_r0.0_f1,late_after,potential,2,72.5,67.0,78.0
information_r0.0_f1,late_after,blocked,2,24.0,23.0,25.0
information_r0.0_f1,late_after,prevented,2,5.0,2.0,8.0
information_r0.0_f1,late_after,mean_prevention,2,0.09831490983389796,0.0351132644763939,0.161516555191402
information_r0.0_f1,late_after,knowledge_share,2,0.30833333333333335,0.2750000000000001,0.3416666666666667
information_r0.6_f0,before,cases,2,51.0,47.0,55.0
information_r0.6_f0,before,customer_users,2,30.0,28.0,32.0
information_r0.6_f0,before,customer_employees,2,27.5,26.0,29.0
information_r0.6_f0,before,domestic_use,2,0.8148936170212766,0.8,0.8297872340425532
information_r0.6_f0,before,customer_use,2,0.5949709864603481,0.509090909090909,0.6808510638297872
information_r0.6_f0,before,both_use,2,0.41895551257253383,0.3272727272727272,0.5106382978723404
information_r0.6_f0,before,first_customer,2,0.3460348162475822,0.3090909090909091,0.3829787234042553
information_r0.6_f0,before,d_to_e,2,0.22920696324951645,0.1818181818181818,0.2765957446808511
information_r0.6_f0,before,resolved,2,0.47350096711798834,0.4363636363636363,0.5106382978723404
information_r0.6_f0,before,unresolved,2,0.5264990328820116,0.4893617021276595,0.5636363636363636
information_r0.6_f0,before,potential,2,66.0,57.0,75.0
information_r0.6_f0,before,blocked,2,15.0,10.0,20.0
information_r0.6_f0,before,prevented,2,0.0,0.0,0.0
information_r0.6_f0,before,mean_prevention,2,0.0,0.0,0.0
information_r0.6_f0,before,knowledge_share,2,1.0,1.0,1.0
information_r0.6_f0,early_after,cases,2,47.5,44.0,51.0
information_r0.6_f0,early_after,customer_users,2,24.0,18.0,30.0
information_r0.6_f0,early_after,customer_employees,2,23.5,17.0,30.0
information_r0.6_f0,early_after,domestic_use,2,0.9070855614973261,0.8823529411764706,0.9318181818181818
information_r0.6_f0,early_after,customer_use,2,0.49866310160427807,0.4090909090909091,0.5882352941176471
information_r0.6_f0,early_after,both_use,2,0.42847593582887694,0.3863636363636363,0.4705882352941176
information_r0.6_f0,early_after,first_customer,2,0.3014705882352941,0.25,0.3529411764705882
information_r0.6_f0,early_after,d_to_e,2,0.1873885918003565,0.1590909090909091,0.2156862745098039
information_r0.6_f0,early_after,resolved,2,0.4233511586452762,0.392156862745098,0.4545454545454545
information_r0.6_f0,early_after,unresolved,2,0.5766488413547237,0.5454545454545454,0.6078431372549019
information_r0.6_f0,early_after,potential,2,70.0,62.0,78.0
information_r0.6_f0,early_after,blocked,2,22.5,18.0,27.0
information_r0.6_f0,early_after,prevented,2,0.0,0.0,0.0
information_r0.6_f0,early_after,mean_prevention,2,0.0,0.0,0.0
information_r0.6_f0,early_after,knowledge_share,2,1.0,1.0,1.0
information_r0.6_f0,late_after,cases,2,50.5,44.0,57.0
information_r0.6_f0,late_after,customer_users,2,34.0,30.0,38.0
information_r0.6_f0,late_after,customer_employees,2,32.5,30.0,35.0
information_r0.6_f0,late_after,domestic_use,2,0.789872408293461,0.7727272727272727,0.8070175438596491
information_r0.6_f0,late_after,customer_use,2,0.6742424242424242,0.6666666666666666,0.6818181818181818
information_r0.6_f0,late_after,both_use,2,0.4754784688995215,0.4736842105263157,0.4772727272727273
information_r0.6_f0,late_after,first_customer,2,0.47288676236044647,0.4545454545454545,0.4912280701754385
information_r0.6_f0,late_after,d_to_e,2,0.18999202551834127,0.175438596491228,0.2045454545454545
information_r0.6_f0,late_after,resolved,2,0.4754784688995215,0.4736842105263157,0.4772727272727273
information_r0.6_f0,late_after,unresolved,2,0.5245215311004785,0.5227272727272727,0.5263157894736842
information_r0.6_f0,late_after,potential,2,72.5,67.0,78.0
information_r0.6_f0,late_after,blocked,2,22.0,21.0,23.0
information_r0.6_f0,late_after,prevented,2,0.0,0.0,0.0
information_r0.6_f0,late_after,mean_prevention,2,0.0,0.0,0.0
information_r0.6_f0,late_after,knowledge_share,2,1.0,1.0,1.0
information_r0.6_f1,before,cases,2,31.5,23.0,40.0
information_r0.6_f1,before,customer_users,2,17.5,17.0,18.0
information_r0.6_f1,before,customer_employees,2,17.0,16.0,18.0
information_r0.6_f1,before,domestic_use,2,0.7945652173913043,0.7391304347826086,0.85
information_r0.6_f1,before,customer_use,2,0.5945652173913043,0.45,0.7391304347826086
information_r0.6_f1,before,both_use,2,0.4358695652173913,0.35,0.5217391304347826
information_r0.6_f1,before,first_customer,2,0.31739130434782603,0.2,0.4347826086956521
information_r0.6_f1,before,d_to_e,2,0.24293478260869567,0.225,0.2608695652173913
information_r0.6_f1,before,resolved,2,0.41739130434782606,0.4,0.4347826086956521
information_r0.6_f1,before,unresolved,2,0.5826086956521739,0.5652173913043478,0.6
information_r0.6_f1,before,potential,2,66.0,57.0,75.0
information_r0.6_f1,before,blocked,2,12.0,6.0,18.0
information_r0.6_f1,before,prevented,2,22.5,17.0,28.0
information_r0.6_f1,before,mean_prevention,2,0.5558517575238515,0.4284152305024788,0.6832882845452242
information_r0.6_f1,before,knowledge_share,2,1.0,1.0,1.0
information_r0.6_f1,early_after,cases,2,31.0,27.0,35.0
information_r0.6_f1,early_after,customer_users,2,18.5,12.0,25.0
information_r0.6_f1,early_after,customer_employees,2,18.5,12.0,25.0
information_r0.6_f1,early_after,domestic_use,2,0.8915343915343916,0.8571428571428571,0.925925925925926
information_r0.6_f1,early_after,customer_use,2,0.5793650793650793,0.4444444444444444,0.7142857142857143
information_r0.6_f1,early_after,both_use,2,0.4894179894179894,0.4074074074074074,0.5714285714285714
information_r0.6_f1,early_after,first_customer,2,0.391005291005291,0.2962962962962963,0.4857142857142857
information_r0.6_f1,early_after,d_to_e,2,0.1883597883597883,0.1481481481481481,0.2285714285714285
information_r0.6_f1,early_after,resolved,2,0.3894179894179894,0.3714285714285714,0.4074074074074074
information_r0.6_f1,early_after,unresolved,2,0.6105820105820106,0.5925925925925926,0.6285714285714286
information_r0.6_f1,early_after,potential,2,70.0,62.0,78.0
information_r0.6_f1,early_after,blocked,2,18.5,16.0,21.0
information_r0.6_f1,early_after,prevented,2,20.5,19.0,22.0
information_r0.6_f1,early_after,mean_prevention,2,0.47532274488798376,0.467527384035686,0.4831181057402816
information_r0.6_f1,early_after,knowledge_share,2,1.0,1.0,1.0
information_r0.6_f1,late_after,cases,2,32.0,27.0,37.0
information_r0.6_f1,late_after,customer_users,2,20.0,17.0,23.0
information_r0.6_f1,late_after,customer_employees,2,20.0,17.0,23.0
information_r0.6_f1,late_after,domestic_use,2,0.6946946946946947,0.6486486486486487,0.7407407407407407
information_r0.6_f1,late_after,customer_use,2,0.6256256256256256,0.6216216216216216,0.6296296296296297
information_r0.6_f1,late_after,both_use,2,0.3608608608608608,0.3513513513513513,0.3703703703703703
information_r0.6_f1,late_after,first_customer,2,0.5075075075075075,0.4594594594594595,0.5555555555555556
information_r0.6_f1,late_after,d_to_e,2,0.11811811811811804,0.074074074074074,0.1621621621621621
information_r0.6_f1,late_after,resolved,2,0.38288288288288286,0.3333333333333333,0.4324324324324324
information_r0.6_f1,late_after,unresolved,2,0.617117117117117,0.5675675675675675,0.6666666666666666
information_r0.6_f1,late_after,potential,2,72.5,67.0,78.0
information_r0.6_f1,late_after,blocked,2,19.0,17.0,21.0
information_r0.6_f1,late_after,prevented,2,21.5,9.0,34.0
information_r0.6_f1,late_after,mean_prevention,2,0.5449356610718804,0.4294562809488847,0.660415041194876
information_r0.6_f1,late_after,knowledge_share,2,1.0,1.0,1.0
none_r0.0_f0,before,cases,2,49.0,44.0,54.0
none_r0.0_f0,before,customer_users,2,3.0,3.0,3.0
none_r0.0_f0,before,customer_employees,2,3.0,3.0,3.0
none_r0.0_f0,before,domestic_use,2,0.835016835016835,0.8181818181818182,0.8518518518518519
none_r0.0_f0,before,customer_use,2,0.061868686868686795,0.0555555555555555,0.0681818181818181
none_r0.0_f0,before,both_use,2,0.0206228956228956,0.0185185185185185,0.0227272727272727
none_r0.0_f0,before,first_customer,2,0.05050505050505045,0.0454545454545454,0.0555555555555555
none_r0.0_f0,before,d_to_e,2,0.01136363636363635,0.0,0.0227272727272727
none_r0.0_f0,before,resolved,2,0.31439393939393934,0.2954545454545454,0.3333333333333333
none_r0.0_f0,before,unresolved,2,0.6856060606060606,0.6666666666666666,0.7045454545454546
none_r0.0_f0,before,potential,2,66.0,57.0,75.0
none_r0.0_f0,before,blocked,2,17.0,13.0,21.0
none_r0.0_f0,before,prevented,2,0.0,0.0,0.0
none_r0.0_f0,before,mean_prevention,2,0.0,0.0,0.0
none_r0.0_f0,before,knowledge_share,2,0.1333333333333333,0.1083333333333333,0.1583333333333333
none_r0.0_f0,early_after,cases,2,44.5,41.0,48.0
none_r0.0_f0,early_after,customer_users,2,5.0,5.0,5.0
none_r0.0_f0,early_after,customer_employees,2,4.0,4.0,4.0
none_r0.0_f0,early_after,domestic_use,2,0.7634654471544715,0.7560975609756098,0.7708333333333334
none_r0.0_f0,early_after,customer_use,2,0.11305894308943085,0.1041666666666666,0.1219512195121951
none_r0.0_f0,early_after,both_use,2,0.055640243902439004,0.048780487804878,0.0625
none_r0.0_f0,early_after,first_customer,2,0.1026422764227642,0.0833333333333333,0.1219512195121951
none_r0.0_f0,early_after,d_to_e,2,0.01041666666666665,0.0,0.0208333333333333
none_r0.0_f0,early_after,resolved,2,0.28531504065040647,0.2291666666666666,0.3414634146341463
none_r0.0_f0,early_after,unresolved,2,0.7146849593495935,0.6585365853658537,0.7708333333333334
none_r0.0_f0,early_after,potential,2,70.0,62.0,78.0
none_r0.0_f0,early_after,blocked,2,25.5,21.0,30.0
none_r0.0_f0,early_after,prevented,2,0.0,0.0,0.0
none_r0.0_f0,early_after,mean_prevention,2,0.0,0.0,0.0
none_r0.0_f0,early_after,knowledge_share,2,0.1333333333333333,0.1083333333333333,0.1583333333333333
none_r0.0_f0,late_after,cases,2,47.5,44.0,51.0
none_r0.0_f0,late_after,customer_users,2,4.0,3.0,5.0
none_r0.0_f0,late_after,customer_employees,2,4.0,3.0,5.0
none_r0.0_f0,late_after,domestic_use,2,0.7898841354723707,0.7843137254901961,0.7954545454545454
none_r0.0_f0,late_after,customer_use,2,0.0831105169340463,0.0681818181818181,0.0980392156862745
none_r0.0_f0,late_after,both_use,2,0.030971479500891252,0.0227272727272727,0.0392156862745098
none_r0.0_f0,late_after,first_customer,2,0.07330659536541885,0.0681818181818181,0.0784313725490196
none_r0.0_f0,late_after,d_to_e,2,0.00980392156862745,0.0,0.0196078431372549
none_r0.0_f0,late_after,resolved,2,0.25401069518716574,0.2352941176470588,0.2727272727272727
none_r0.0_f0,late_after,unresolved,2,0.7459893048128342,0.7272727272727273,0.7647058823529411
none_r0.0_f0,late_after,potential,2,72.5,67.0,78.0
