case_id,employee,firm,created,first_submitted,d_submitted,e_submitted,d_responded,e_responded,material_at,customer_intervened_at,d_due,e_due,d_status,e_status,resolved,resolved_by,compensation,initial_choice,status,merit,reachable,dependence,d_finished,e_finished,d_institution_outcome,d_implementation_at,processing_time,observed_wait,dispute_age_observed,customer,retired_at,scenario,seed
14:0,14,4,0,0.0,0.0,,2.0,,,,,,closed_unresolved,unused,,,0.0,d,archived_unresolved,0.7328563019881995,True,0.4162920712285151,2.0,,no_remedy,,,163.0,163.0,1,48.0,none_r0.0_f0,0
17:0,17,5,0,0.0,0.0,,2.0,,,,,,closed_unresolved,unused,,,0.0,d,archived_unresolved,0.47358953296039524,True,0.506188904761806,2.0,,no_remedy,,,163.0,163.0,2,48.0,none_r0.0_f0,0
58:0,58,0,0,0.0,0.0,,2.0,,,,,,closed_unresolved,unused,,,0.0,d,archived_unresolved,0.6648866098493449,True,0.47042565019858995,2.0,,no_remedy,,,163.0,163.0,2,48.0,none_r0.0_f0,0
106:0,106,5,0,0.0,0.0,,3.0,,,,4.0,,successful,unused,4.0,d,1.0,d,resolved,0.9872708237055297,False,0.506188904761806,4.0,,remedy_supported,4.0,4.0,4.0,4.0,2,,none_r0.0_f0,0
45:1,45,0,1,1.0,1.0,,3.0,,,,4.0,,successful,unused,4.0,d,1.0,d,resolved,0.9062133005588473,True,0.47042565019858995,4.0,,remedy_supported,4.0,3.0,3.0,3.0,2,,none_r0.0_f0,0
46:1,46,2,1,1.0,1.0,,3.0,,,,4.0,,successful,unused,4.0,d,1.0,d,resolved,0.6022381767052344,True,0.6,4.0,,remedy_supported,4.0,3.0,3.0,3.0,0,,none_r0.0_f0,0
55:1,55,1,1,1.0,1.0,,4.0,,,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.6382135203351533,True,0.5994915417836008,5.0,,remedy_supported,5.0,4.0,4.0,4.0,0,,none_r0.0_f0,0
73:1,73,5,1,1.0,1.0,,4.0,,,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.4398843340243584,True,0.506188904761806,5.0,,remedy_supported,5.0,4.0,4.0,4.0,2,,none_r0.0_f0,0
78:1,78,4,1,1.0,1.0,,4.0,,,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.873517646547888,False,0.4162920712285151,5.0,,remedy_supported,5.0,4.0,4.0,4.0,1,,none_r0.0_f0,0
118:1,118,0,1,1.0,1.0,,5.0,,,,,,closed_unresolved,unused,,,0.0,d,archived_unresolved,0.3424592674749437,True,0.47042565019858995,5.0,,no_remedy,,,162.0,162.0,2,49.0,none_r0.0_f0,0
12:2,12,5,2,2.0,2.0,,5.0,,,,,,closed_unresolved,unused,,,0.0,d,archived_unresolved,0.5273082560727348,True,0.506188904761806,5.0,,no_remedy,,,161.0,161.0,2,50.0,none_r0.0_f0,0
87:3,87,2,3,,,,,,,,,,unused,unused,,,0.0,,archived_unresolved,0.9504297361642187,True,0.6,,,,,,,160.0,0,51.0,none_r0.0_f0,0
70:4,70,1,4,4.0,4.0,,6.0,,,,,,closed_unresolved,unused,,,0.0,d,archived_unresolved,0.8472291736018014,True,0.5994915417836008,6.0,,no_remedy,,,159.0,159.0,0,52.0,none_r0.0_f0,0
66:5,66,4,5,,,,,,,,,,unused,unused,,,0.0,,archived_unresolved,0.6125921476645525,True,0.4162920712285151,,,,,,,158.0,1,53.0,none_r0.0_f0,0
82:5,82,4,5,5.0,5.0,,7.0,,,,,,closed_unresolved,unused,,,0.0,d,archived_unresolved,0.2545469766510456,True,0.4162920712285151,7.0,,no_remedy,,,158.0,158.0,1,53.0,none_r0.0_f0,0
25:6,25,2,6,6.0,10.0,6.0,12.0,8.0,,8.0,13.0,9.0,successful,closed_unresolved,13.0,d,1.0,e,resolved,0.4413277873763837,True,0.6,13.0,9.0,remedy_supported,13.0,7.0,7.0,7.0,0,,none_r0.0_f0,0
56:6,56,5,6,6.0,6.0,,8.0,,,,,,closed_unresolved,unused,,,0.0,d,archived_unresolved,0.6447517540196053,True,0.506188904761806,8.0,,no_remedy,,,157.0,157.0,2,54.0,none_r0.0_f0,0
110:6,110,2,6,6.0,6.0,,8.0,,,,,,closed_unresolved,unused,,,0.0,d,archived_unresolved,0.9207338102303917,False,0.6,8.0,,no_remedy,,,157.0,157.0,0,54.0,none_r0.0_f0,0
40:7,40,3,7,7.0,7.0,,9.0,,,,,,closed_unresolved,unused,,,0.0,d,archived_unresolved,0.4331345245406891,True,0.40760183202748823,9.0,,no_remedy,,,156.0,156.0,1,55.0,none_r0.0_f0,0
101:7,101,1,7,7.0,7.0,,9.0,,,,,,closed_unresolved,unused,,,0.0,d,archived_unresolved,0.6530162742182607,True,0.5994915417836008,9.0,,no_remedy,,,156.0,156.0,0,55.0,none_r0.0_f0,0
41:9,41,1,9,,,,,,,,,,unused,unused,,,0.0,,archived_unresolved,0.5770874748534227,True,0.5994915417836008,,,,,,,154.0,0,57.0,none_r0.0_f0,0
21:10,21,4,10,,,,,,,,,,unused,unused,,,0.0,,archived_unresolved,0.8922244628158189,True,0.4162920712285151,,,,,,,153.0,1,58.0,none_r0.0_f0,0
93:11,93,1,11,11.0,11.0,,13.0,,,,,,closed_unresolved,unused,,,0.0,d,archived_unresolved,0.8390442274341787,True,0.5994915417836008,13.0,,no_remedy,,,152.0,152.0,0,59.0,none_r0.0_f0,0
