scenario,contrast,metric,n,mean,low,high
information_r0.0_f0,late_minus_before,cases,20,-8.25,-11.4,-5.05
information_r0.0_f0,late_minus_early_after,cases,20,-2.05,-5.7,1.7
information_r0.0_f0,late_minus_before,customer_users,20,2.5,1.3,3.7
information_r0.0_f0,late_minus_early_after,customer_users,20,-0.5,-1.65,0.8
information_r0.0_f0,late_minus_before,customer_employees,20,2.6,1.4,3.85
information_r0.0_f0,late_minus_early_after,customer_employees,20,-0.05,-1.0,1.05
information_r0.0_f0,late_minus_before,domestic_use,20,-0.004881581960353066,-0.030288484932926206,0.024621177003038387
information_r0.0_f0,late_minus_early_after,domestic_use,20,0.014464409965651731,-0.01631756967452021,0.046106289523058744
information_r0.0_f0,late_minus_before,customer_use,20,0.07599755489494316,0.05008394704932292,0.10156147620941203
information_r0.0_f0,late_minus_early_after,customer_use,20,-0.0027170730243032785,-0.026400114140370915,0.02499826914001981
information_r0.0_f0,late_minus_before,both_use,20,0.03688676522761633,0.015503922098952658,0.05818882957871843
information_r0.0_f0,late_minus_early_after,both_use,20,-0.0035848975583581298,-0.02167533984334347,0.015009447133171955
information_r0.0_f0,late_minus_before,first_customer,20,0.0626633366304766,0.042305426214906884,0.08284333736060533
information_r0.0_f0,late_minus_early_after,first_customer,20,0.00921313317598118,-0.011108966715462368,0.030471152729265524
information_r0.0_f0,late_minus_before,d_to_e,20,0.012171427566792115,-4.0697451548670464e-05,0.026037932614046518
information_r0.0_f0,late_minus_early_after,d_to_e,20,-0.011842996897958905,-0.02628349115648245,0.003704299784610816
information_r0.0_f0,late_minus_before,resolved,20,0.008353391181815332,-0.04031168240561534,0.05659931031714841
information_r0.0_f0,late_minus_early_after,resolved,20,0.0021251518317233304,-0.03878051559924758,0.04030374517402741
information_r0.0_f0,late_minus_before,unresolved,20,-0.008353391181815318,-0.0565993103171484,0.040311682405615314
information_r0.0_f0,late_minus_early_after,unresolved,20,-0.002125151831723343,-0.04030374517402743,0.03878051559924753
information_r0.0_f0,late_minus_before,potential,20,-0.75,-4.4,3.05
information_r0.0_f0,late_minus_early_after,potential,20,-1.6,-6.7,3.6
information_r0.0_f0,late_minus_before,blocked,20,7.5,4.69875,10.15
