time,case_id,employee,event
0,14:0,14,dispute_created
0,17:0,17,dispute_created
0,58:0,58,dispute_created
0,106:0,106,dispute_created
0,14:0,14,domestic_received
0,17:0,17,domestic_received
0,58:0,58,domestic_received
0,106:0,106,domestic_received
1,45:1,45,dispute_created
1,46:1,46,dispute_created
1,55:1,55,dispute_created
1,73:1,73,dispute_created
1,78:1,78,dispute_created
1,118:1,118,dispute_created
1,45:1,45,domestic_received
1,46:1,46,domestic_received
1,55:1,55,domestic_received
1,73:1,73,domestic_received
1,78:1,78,domestic_received
1,118:1,118,domestic_received
2,12:2,12,dispute_created
2,12:2,12,domestic_received
2,14:0,14,domestic_responded
2,14:0,14,domestic_material_not_issued
2,14:0,14,domestic_no_remedy
2,17:0,17,domestic_responded
2,17:0,17,domestic_material_not_issued
2,17:0,17,domestic_no_remedy
2,58:0,58,domestic_responded
2,58:0,58,domestic_material_not_issued
2,58:0,58,domestic_no_remedy
3,87:3,87,dispute_created
3,106:0,106,domestic_responded
3,106:0,106,domestic_material_not_issued
3,106:0,106,domestic_remedy_supported
3,45:1,45,domestic_responded
3,45:1,45,domestic_material_not_issued
3,45:1,45,domestic_remedy_supported
3,46:1,46,domestic_responded
3,46:1,46,domestic_material_not_issued
3,46:1,46,domestic_remedy_supported
4,70:4,70,dispute_created
4,70:4,70,domestic_received
4,55:1,55,domestic_responded
4,55:1,55,domestic_material_not_issued
4,55:1,55,domestic_remedy_supported
4,73:1,73,domestic_responded
4,73:1,73,domestic_material_not_issued
4,73:1,73,domestic_remedy_supported
4,78:1,78,domestic_responded
4,78:1,78,domestic_material_not_issued
4,78:1,78,domestic_remedy_supported
4,45:1,45,domestic_implementation_success
4,46:1,46,domestic_implementation_success
4,106:0,106,domestic_implementation_success
4,45:1,45,case_resolved
4,46:1,46,case_resolved
4,106:0,106,case_resolved
5,66:5,66,dispute_created
5,82:5,82,dispute_created
5,82:5,82,domestic_received
5,118:1,118,domestic_responded
5,118:1,118,domestic_material_not_issued
5,118:1,118,domestic_no_remedy
5,12:2,12,domestic_responded
5,12:2,12,domestic_material_not_issued
5,12:2,12,domestic_no_remedy
5,55:1,55,domestic_implementation_success
5,73:1,73,domestic_implementation_success
5,78:1,78,domestic_implementation_success
5,55:1,55,case_resolved
5,73:1,73,case_resolved
5,78:1,78,case_resolved
6,25:6,25,dispute_created
6,56:6,56,dispute_created
6,110:6,110,dispute_created
6,25:6,25,customer_received
6,56:6,56,domestic_received
6,110:6,110,domestic_received
6,70:4,70,domestic_responded
6,70:4,70,domestic_material_not_issued
6,70:4,70,domestic_no_remedy
7,40:7,40,dispute_created
7,101:7,101,dispute_created
7,40:7,40,domestic_received
7,101:7,101,domestic_received
7,82:5,82,domestic_responded
7,82:5,82,domestic_material_not_issued
7,82:5,82,domestic_no_remedy
8,56:6,56,domestic_responded
8,56:6,56,domestic_material_not_issued
8,56:6,56,domestic_no_remedy
8,110:6,110,domestic_responded
8,110:6,110,domestic_material_not_issued
8,110:6,110,domestic_no_remedy
8,25:6,25,customer_reviewed
8,25:6,25,customer_intervened
9,41:9,41,dispute_created
9,40:7,40,domestic_responded
9,40:7,40,domestic_material_not_issued
9,40:7,40,domestic_no_remedy
9,101:7,101,domestic_responded
9,101:7,101,domestic_material_not_issued
9,101:7,101,domestic_no_remedy
9,25:6,25,firm_case_processed
9,25:6,25,customer_firm_failure
10,21:10,21,dispute_created
10,25:6,25,domestic_received
11,93:11,93,dispute_created
11,96:11,96,dispute_created
11,93:11,93,domestic_received
12,48:12,48,dispute_created
12,48:12,48,domestic_received
12,25:6,25,domestic_responded
12,25:6,25,domestic_material_not_issued
12,25:6,25,domestic_remedy_supported
13,3:13,3,dispute_created
13,3:13,3,domestic_received
13,93:11,93,domestic_responded
13,93:11,93,domestic_material_not_issued
13,93:11,93,domestic_no_remedy
13,25:6,25,domestic_implementation_success
13,25:6,25,case_resolved
14,98:14,98,dispute_created
14,98:14,98,domestic_received
14,48:12,48,domestic_responded
14,48:12,48,domestic_material_not_issued
14,48:12,48,domestic_remedy_supported
15,6:15,6,dispute_created
15,8:15,8,dispute_created
15,6:15,6,domestic_received
15,8:15,8,domestic_received
15,3:13,3,domestic_responded
15,3:13,3,domestic_material_not_issued
15,3:13,3,domestic_remedy_supported
15,48:12,48,domestic_implementation_success
15,48:12,48,case_resolved
16,1:16,1,dispute_created
16,57:16,57,dispute_created
16,89:16,89,dispute_created
16,92:16,92,dispute_created
16,95:16,95,dispute_created
16,1:16,1,customer_received
16,57:16,57,domestic_received
