time,firm,pressure,prevention,suppression,dependence
0,0,0.0,0.0,0.0,0.47042565019858995
0,1,0.0,0.0,0.0,0.5994915417836008
0,2,0.0,0.0,0.0,0.6
0,3,0.0,0.0,0.0,0.40760183202748823
0,4,0.0,0.0,0.0,0.4162920712285151
0,5,0.0,0.0,0.0,0.506188904761806
1,0,0.0,0.0,0.0,0.47042565019858995
1,1,0.0,0.0,0.0,0.5994915417836008
1,2,0.0,0.0,0.0,0.6
1,3,0.0,0.0,0.0,0.40760183202748823
1,4,0.0,0.0,0.0,0.4162920712285151
1,5,0.0,0.0,0.0,0.506188904761806
2,0,0.0,0.0,0.0,0.47042565019858995
2,1,0.0,0.0,0.0,0.5994915417836008
2,2,0.0,0.0,0.0,0.6
2,3,0.0,0.0,0.0,0.40760183202748823
2,4,0.0,0.0,0.0,0.4162920712285151
2,5,0.0,0.0,0.0,0.506188904761806
3,0,1.0,0.078085130039718,0.0624681040317744,0.47042565019858995
3,1,0.0,0.0,0.0,0.5994915417836008
3,2,0.0,0.0,0.0,0.6
3,3,0.0,0.0,0.0,0.40760183202748823
3,4,0.0,0.0,0.0,0.4162920712285151
3,5,0.0,0.0,0.0,0.506188904761806
4,0,2.0,0.23463836411121042,0.18771069128896833,0.47042565019858995
4,1,0.0,0.0,0.0,0.5994915417836008
4,2,1.0,0.10400000000000001,0.08320000000000001,0.6
4,3,0.0,0.0,0.0,0.40760183202748823
4,4,0.0,0.0,0.0,0.4162920712285151
4,5,0.0,0.0,0.0,0.506188904761806
5,0,2.0,0.35988095136840437,0.2879047610947235,0.47042565019858995
5,1,0.0,0.0,0.0,0.5994915417836008
5,2,1.0,0.18720000000000003,0.14976000000000003,0.6
5,3,0.0,0.0,0.0,0.40760183202748823
5,4,0.0,0.0,0.0,0.4162920712285151
5,5,0.0,0.0,0.0,0.506188904761806
6,0,2.0,0.46007502117415955,0.36806001693932766,0.47042565019858995
6,1,0.0,0.0,0.0,0.5994915417836008
6,2,2.0,0.34976000000000007,0.27980800000000006,0.6
6,3,0.0,0.0,0.0,0.40760183202748823
6,4,0.0,0.0,0.0,0.4162920712285151
6,5,0.0,0.0,0.0,0.506188904761806
7,0,3.0,0.5680600169393277,0.4544480135514622,0.47042565019858995
7,1,0.0,0.0,0.0,0.5994915417836008
7,2,2.0,0.47980800000000007,0.3838464000000001,0.6
7,3,0.0,0.0,0.0,0.40760183202748823
7,4,0.0,0.0,0.0,0.4162920712285151
7,5,0.0,0.0,0.0,0.506188904761806
8,0,3.0,0.6544480135514622,0.5235584108411698,0.47042565019858995
8,1,0.0,0.0,0.0,0.5994915417836008
8,2,2.0,0.5838464000000001,0.4670771200000001,0.6
8,3,0.0,0.0,0.0,0.40760183202748823
8,4,1.0,0.06725841424570302,0.05380673139656242,0.4162920712285151
8,5,1.0,0.0852377809523612,0.06819022476188896,0.506188904761806
9,0,3.0,0.7235584108411699,0.578846728672936,0.47042565019858995
9,1,0.0,0.0,0.0,0.5994915417836008
9,2,3.0,0.6670771200000001,0.5336616960000001,0.6
9,3,0.0,0.0,0.0,0.40760183202748823
9,4,1.0,0.12106514564226543,0.09685211651381236,0.4162920712285151
9,5,2.0,0.2546657866666114,0.20373262933328912,0.506188904761806
10,0,3.0,0.7788467286729359,0.6230773829383488,0.47042565019858995
10,1,0.0,0.0,0.0,0.5994915417836008
10,2,3.0,0.7336616960000002,0.5869293568000001,0.6
10,3,1.0,0.06552036640549765,0.05241629312439812,0.40760183202748823
10,4,1.0,0.16411053075951537,0.1312884246076123,0.4162920712285151
10,5,2.0,0.39020819123801154,0.31216655299040924,0.506188904761806
11,0,3.0,0.8230773829383489,0.6584619063506791,0.47042565019858995
11,1,0.0,0.0,0.0,0.5994915417836008
11,2,3.0,0.7869293568000002,0.6295434854400002,0.6
11,3,1.0,0.11793665952989577,0.09434932762391662,0.40760183202748823
11,4,2.0,0.2818052530990184,0.2254442024792147,0.4162920712285151
11,5,2.0,0.49864211489513166,0.3989136919161054,0.506188904761806
12,0,3.0,0.8584619063506791,0.6867695250805433,0.47042565019858995
12,1,0.0,0.0,0.0,0.5994915417836008
12,2,3.0,0.8295434854400001,0.6636347883520002,0.6
12,3,1.0,0.15986969402941426,0.12789575522353142,0.40760183202748823
12,4,2.0,0.3759610309706207,0.3007688247764966,0.4162920712285151
12,5,2.0,0.5853892538208278,0.4683114030566623,0.506188904761806
13,0,3.0,0.8867695250805434,0.7094156200644348,0.47042565019858995
13,1,0.0,0.0,0.0,0.5994915417836008
13,2,3.0,0.8636347883520001,0.6909078306816001,0.6
13,3,1.0,0.19341612162902905,0.15473289730322326,0.40760183202748823
13,4,3.0,0.5007688247764965,0.4006150598211973,0.4162920712285151
13,5,2.0,0.6547869649613847,0.5238295719691077,0.506188904761806
14,0,3.0,0.9094156200644348,0.7275324960515479,0.47042565019858995
14,1,0.0,0.0,0.0,0.5994915417836008
14,2,3.0,0.8909078306816001,0.7127262645452801,0.6
14,3,1.0,0.2202532637087209,0.17620261096697673,0.40760183202748823
14,4,3.0,0.6006150598211972,0.4804920478569578,0.4162920712285151
14,5,2.0,0.7103051338738302,0.5682441070990641,0.506188904761806
15,0,3.0,0.9275324960515479,0.7420259968412384,0.47042565019858995
15,1,0.0,0.0,0.0,0.5994915417836008
15,2,3.0,0.91272626454528,0.7301810116362241,0.6
15,3,1.0,0.2417229773724744,0.1933783818979795,0.40760183202748823
15,4,3.0,0.6804920478569578,0.5443936382855663,0.4162920712285151
15,5,2.0,0.7547196690037865,0.6037757352030293,0.506188904761806
16,0,3.0,0.9420259968412383,0.7536207974729907,0.47042565019858995
16,1,0.0,0.0,0.0,0.5994915417836008
16,2,3.0,0.9301810116362241,0.7441448093089793,0.6
16,3,1.0,0.25889874830347714,0.20711899864278172,0.40760183202748823
16,4,3.0,0.7443936382855663,0.5955149106284531,0.4162920712285151
16,5,2.0,0.7902512971077518,0.6322010376862015,0.506188904761806
17,0,3.0,0.9536207974729907,0.7628966379783926,0.47042565019858995
17,1,0.0,0.0,0.0,0.5994915417836008
17,2,3.0,0.9441448093089793,0.7553158474471835,0.6
17,3,1.0,0.27263936504827935,0.21811149203862348,0.40760183202748823
17,4,4.0,0.7955149106284531,0.6364119285027625,0.4162920712285151
17,5,2.0,0.818676599590924,0.6549412796727392,0.506188904761806
18,0,3.0,0.9628966379783925,0.7703173103827141,0.47042565019858995
18,1,1.0,0.10389830835672016,0.08311864668537614,0.5994915417836008
18,2,3.0,0.9553158474471835,0.7642526779577468,0.6
18,3,1.0,0.28363185844412114,0.22690548675529693,0.40760183202748823
18,4,4.0,0.8364119285027625,0.66912954280221,0.4162920712285151
18,5,2.0,0.8414168415774617,0.6731334732619694,0.506188904761806
19,0,3.0,0.9703173103827141,0.7762538483061713,0.47042565019858995
19,1,1.0,0.1870169550420963,0.14961356403367707,0.5994915417836008
19,2,3.0,0.9642526779577467,0.7714021423661974,0.6
19,3,2.0,0.37394621956629226,0.29915697565303384,0.40760183202748823
19,4,4.0,0.8691295428022101,0.6953036342417681,0.4162920712285151
19,5,2.0,0.8596090351666918,0.6876872281333535,0.506188904761806
20,0,3.0,0.9762538483061713,0.7810030786449371,0.47042565019858995
20,1,1.0,0.25351187239039724,0.2028094979123178,0.5994915417836008
20,2,3.0,0.9714021423661974,0.7771217138929579,0.6
20,3,2.0,0.4461977084640292,0.3569581667712234,0.40760183202748823
20,4,4.0,0.8953036342417682,0.7162429073934146,0.4162920712285151
20,5,2.0,0.874162790038076,0.6993302320304609,0.506188904761806
21,0,3.0,0.9810030786449371,0.7848024629159497,0.47042565019858995
21,1,1.0,0.306707806269038,0.2453662450152304,0.5994915417836008
21,2,3.0,0.977121713892958,0.7816973711143664,0.6
21,3,2.0,0.5039988995822187,0.40319911966577493,0.40760183202748823
21,4,4.0,0.9162429073934146,0.7329943259147318,0.4162920712285151
21,5,2.0,0.8858057939351833,0.7086446351481467,0.506188904761806
22,0,3.0,0.9848024629159498,0.7878419703327598,0.47042565019858995
22,1,2.0,0.4453662450152304,0.35629299601218434,0.5994915417836008
22,2,3.0,0.9816973711143664,0.7853578968914932,0.6
22,3,2.0,0.5502398524767702,0.4401918819814162,0.40760183202748823
22,4,4.0,0.9329943259147317,0.7463954607317854,0.4162920712285151
22,5,2.0,0.895120197052869,0.7160961576422953,0.506188904761806
23,0,3.0,0.9878419703327599,0.790273576266208,0.47042565019858995
23,1,2.0,0.5562929960121843,0.44503439680974743,0.5994915417836008
23,2,3.0,0.9853578968914931,0.7882863175131946,0.6
23,3,2.0,0.5872326147924115,0.4697860918339292,0.40760183202748823
23,4,4.0,0.9463954607317855,0.7571163685854284,0.4162920712285151
23,5,2.0,0.9025717195470178,0.7220573756376143,0.506188904761806
24,0,3.0,0.990273576266208,0.7922188610129665,0.47042565019858995
24,1,2.0,0.6450343968097474,0.516027517447798,0.5994915417836008
24,2,3.0,0.9882863175131946,0.7906290540105557,0.6
24,3,2.0,0.6168268246449246,0.4934614597159397,0.40760183202748823
24,4,4.0,0.9571163685854285,0.7656930948683428,0.4162920712285151
24,5,2.0,0.9085329375423368,0.7268263500338694,0.506188904761806
25,0,3.0,0.9922188610129665,0.7937750888103733,0.47042565019858995
25,1,2.0,0.7160275174477979,0.5728220139582384,0.5994915417836008
25,2,3.0,0.9906290540105558,0.7925032432084447,0.6
25,3,2.0,0.640502192526935,0.512401754021548,0.40760183202748823
25,4,4.0,0.9656930948683429,0.7725544758946743,0.4162920712285151
25,5,2.0,0.9133019119385919,0.7306415295508736,0.506188904761806
26,0,3.0,0.9937750888103734,0.7950200710482987,0.47042565019858995
26,1,2.0,0.7728220139582385,0.6182576111665908,0.5994915417836008
26,2,3.0,0.9925032432084446,0.7940025945667557,0.6
26,3,2.0,0.6594424868325433,0.5275539894660346,0.40760183202748823
26,4,4.0,0.9725544758946743,0.7780435807157394,0.4162920712285151
26,5,2.0,0.917117091455596,0.7336936731644768,0.506188904761806
27,0,2.0,0.9671903311277348,0.7737522649021878,0.47042565019858995
27,1,2.0,0.8182576111665909,0.6546060889332728,0.5994915417836008
27,2,3.0,0.9940025945667557,0.7952020756534046,0.6
27,3,2.0,0.6745947222770299,0.5396757778216239,0.40760183202748823
27,4,5.0,0.9780435807157395,0.7824348645725916,0.4162920712285151
27,5,2.0,0.9201692350691992,0.7361353880553594,0.506188904761806
28,0,1.0,0.8518373949419058,0.6814699159535247,0.47042565019858995
28,1,2.0,0.8546060889332727,0.6836848711466182,0.5994915417836008
28,2,2.0,0.9952020756534046,0.7961616605227237,0.6
28,3,2.0,0.6867165106326192,0.5493732085060954,0.40760183202748823
28,4,5.0,0.9824348645725915,0.7859478916580733,0.4162920712285151
28,5,2.0,0.9226109499600819,0.7380887599680656,0.506188904761806
29,0,1.0,0.7595550459932426,0.6076440367945941,0.47042565019858995
29,1,2.0,0.8836848711466183,0.7069478969172946,0.5994915417836008
29,2,2.0,0.9961616605227237,0.796929328418179,0.6
29,3,2.0,0.6964139413170907,0.5571311530536726,0.40760183202748823
29,4,5.0,0.9859478916580733,0.7887583133264586,0.4162920712285151
29,5,2.0,0.9245643218727879,0.7396514574982304,0.506188904761806
30,0,1.0,0.6857291668343121,0.5485833334674497,0.47042565019858995
30,1,2.0,0.9069478969172946,0.7255583175338357,0.5994915417836008
30,2,1.0,0.900929328418179,0.7207434627345433,0.6
30,3,2.0,0.7041718858646678,0.5633375086917343,0.40760183202748823
30,4,6.0,0.9887583133264586,0.7910066506611669,0.4162920712285151
30,5,2.0,0.9261270194029527,0.7409016155223622,0.506188904761806
31,0,0.0,0.5485833334674497,0.4388666667739598,0.47042565019858995
31,1,2.0,0.9255583175338358,0.7404466540270687,0.5994915417836008
31,2,1.0,0.8247434627345432,0.6597947701876347,0.6
31,3,2.0,0.7103782415027295,0.5683025932021837,0.40760183202748823
31,4,6.0,0.991006650661167,0.7928053205289336,0.4162920712285151
31,5,2.0,0.9273771774270847,0.7419017419416678,0.506188904761806
32,0,0.0,0.4388666667739598,0.3510933334191679,0.47042565019858995
32,1,2.0,0.9404466540270686,0.7523573232216549,0.5994915417836008
32,2,1.0,0.7637947701876346,0.6110358161501077,0.6
32,3,2.0,0.715343326013179,0.5722746608105432,0.40760183202748823
32,4,5.0,0.9928053205289336,0.7942442564231469,0.4162920712285151
32,5,1.0,0.827139522894029,0.6617116183152233,0.506188904761806
33,0,0.0,0.3510933334191679,0.2808746667353343,0.47042565019858995
33,1,2.0,0.9523573232216549,0.7618858585773239,0.5994915417836008
33,2,0.0,0.6110358161501077,0.4888286529200862,0.6
33,3,2.0,0.7193153936215385,0.5754523148972308,0.40760183202748823
33,4,5.0,0.9942442564231468,0.7953954051385175,0.4162920712285151
33,5,0.0,0.6617116183152233,0.5293692946521786,0.506188904761806
34,0,0.0,0.2808746667353343,0.22469973338826743,0.47042565019858995
34,1,2.0,0.961885858577324,0.7695086868618592,0.5994915417836008
34,2,0.0,0.4888286529200862,0.391062922336069,0.6
34,3,1.0,0.6409726813027284,0.5127781450421828,0.40760183202748823
34,4,5.0,0.9953954051385174,0.796316324110814,0.4162920712285151
34,5,0.0,0.5293692946521786,0.4234954357217429,0.506188904761806
35,0,1.0,0.30278486342798544,0.24222789074238837,0.47042565019858995
35,1,2.0,0.9695086868618592,0.7756069494894874,0.5994915417836008
35,2,0.0,0.391062922336069,0.3128503378688552,0.6
35,3,1.0,0.5782985114476804,0.46263880915814437,0.40760183202748823
35,4,4.0,0.996316324110814,0.7970530592886512,0.4162920712285151
35,5,0.0,0.4234954357217429,0.3387963485773944,0.506188904761806
36,0,1.0,0.3203130207821064,0.2562504166256851,0.47042565019858995
36,1,2.0,0.9756069494894875,0.78048555959159,0.5994915417836008
36,2,0.0,0.3128503378688552,0.25028027029508415,0.6
36,3,1.0,0.528159175563642,0.4225273404509136,0.40760183202748823
36,4,4.0,0.9970530592886513,0.797642447430921,0.4162920712285151
36,5,0.0,0.3387963485773944,0.2710370788619155,0.506188904761806
37,0,1.0,0.3343355466654031,0.2674684373323225,0.47042565019858995
37,1,2.0,0.98048555959159,0.7843884476732721,0.5994915417836008
37,2,0.0,0.25028027029508415,0.20022421623606734,0.6
37,3,1.0,0.48804770685641125,0.390438165485129,0.40760183202748823
37,4,3.0,0.9976424474309211,0.7981139579447369,0.4162920712285151
37,5,0.0,0.2710370788619155,0.21682966308953244,0.506188904761806
38,0,1.0,0.3455535673720405,0.2764428538976324,0.47042565019858995
38,1,2.0,0.984388447673272,0.7875107581386177,0.5994915417836008
38,2,0.0,0.20022421623606734,0.16017937298885387,0.6
38,3,1.0,0.45595853189062663,0.36476682551250134,0.40760183202748823
38,4,3.0,0.9981139579447369,0.7984911663557895,0.4162920712285151
38,5,0.0,0.21682966308953244,0.17346373047162597,0.506188904761806
39,0,1.0,0.3545279839373504,0.28362238714988036,0.47042565019858995
39,1,2.0,0.9875107581386178,0.7900086065108942,0.5994915417836008
39,2,0.0,0.16017937298885387,0.1281434983910831,0.6
39,3,1.0,0.43028719191799897,0.3442297535343992,0.40760183202748823
39,4,3.0,0.9984911663557896,0.7987929330846317,0.4162920712285151
39,5,0.0,0.17346373047162597,0.1387709843773008,0.506188904761806
40,0,1.0,0.36170751718959837,0.2893660137516787,0.47042565019858995
40,1,2.0,0.9900086065108942,0.7920068852087154,0.5994915417836008
40,2,0.0,0.1281434983910831,0.10251479871286649,0.6
40,3,1.0,0.40975011993989685,0.3278000959519175,0.40760183202748823
40,4,3.0,0.9987929330846317,0.7990343464677054,0.4162920712285151
40,5,0.0,0.1387709843773008,0.11101678750184063,0.506188904761806
41,0,1.0,0.3674511437913967,0.2939609150331174,0.47042565019858995
41,1,2.0,0.9920068852087154,0.7936055081669724,0.5994915417836008
41,2,0.0,0.10251479871286649,0.0820118389702932,0.6
41,3,1.0,0.39332046235741513,0.31465636988593215,0.40760183202748823
41,4,2.0,0.9495511749591115,0.7596409399672892,0.4162920712285151
41,5,0.0,0.11101678750184063,0.08881343000147252,0.506188904761806
42,0,1.0,0.3720460450728354,0.29763683605826835,0.47042565019858995
42,1,1.0,0.8975038165236926,0.7180030532189541,0.5994915417836008
42,2,0.0,0.0820118389702932,0.06560947117623456,0.6
42,3,1.0,0.3801767362914298,0.30414138903314386,0.40760183202748823
42,4,3.0,0.9596409399672892,0.7677127519738314,0.4162920712285151
42,5,0.0,0.08881343000147252,0.07105074400117802,0.506188904761806
43,0,1.0,0.37572196609798636,0.3005775728783891,0.47042565019858995
43,1,1.0,0.8219013615756743,0.6575210892605394,0.5994915417836008
43,2,0.0,0.06560947117623456,0.05248757694098765,0.6
43,3,0.0,0.30414138903314386,0.2433131112265151,0.40760183202748823
43,4,3.0,0.9677127519738313,0.7741702015790651,0.4162920712285151
43,5,0.0,0.07105074400117802,0.056840595200942416,0.506188904761806
44,0,1.0,0.3786627029181071,0.3029301623344857,0.47042565019858995
44,1,1.0,0.7614193976172596,0.6091355180938077,0.5994915417836008
44,2,0.0,0.05248757694098765,0.04199006155279012,0.6
44,3,0.0,0.2433131112265151,0.1946504889812121,0.40760183202748823
44,4,3.0,0.9741702015790652,0.7793361612632522,0.4162920712285151
44,5,0.0,0.056840595200942416,0.045472476160753936,0.506188904761806
45,0,1.0,0.38101529237420373,0.304812233899363,0.47042565019858995
45,1,1.0,0.7130338264505279,0.5704270611604224,0.5994915417836008
45,2,1.0,0.14599006155279012,0.1167920492422321,0.6
45,3,0.0,0.1946504889812121,0.1557203911849697,0.40760183202748823
45,4,3.0,0.9793361612632523,0.7834689290106018,0.4162920712285151
45,5,0.0,0.045472476160753936,0.03637798092860315,0.506188904761806
46,0,1.0,0.382897363939081,0.30631789115126484,0.47042565019858995
46,1,0.0,0.5704270611604224,0.45634164892833795,0.5994915417836008
46,2,1.0,0.2207920492422321,0.1766336393937857,0.6
46,3,1.0,0.22124075759046735,0.17699260607237388,0.40760183202748823
46,4,3.0,0.9834689290106018,0.7867751432084815,0.4162920712285151
46,5,0.0,0.03637798092860315,0.02910238474288252,0.506188904761806
47,0,1.0,0.38440302119098285,0.3075224169527863,0.47042565019858995
47,1,0.0,0.45634164892833795,0.3650733191426704,0.5994915417836008
47,2,1.0,0.2806336393937857,0.22450691151502858,0.6
47,3,1.0,0.2425129724778715,0.19401037798229723,0.40760183202748823
47,4,3.0,0.9867751432084815,0.7894201145667852,0.4162920712285151
47,5,0.0,0.02910238474288252,0.023281907794306018,0.506188904761806
48,0,1.0,0.3856075469925043,0.3084860375940035,0.47042565019858995
48,1,0.0,0.3650733191426704,0.29205865531413633,0.5994915417836008
48,2,2.0,0.4245069115150286,0.3396055292120229,0.6
48,3,1.0,0.2595307443877949,0.20762459551023593,0.40760183202748823
48,4,3.0,0.9894201145667851,0.7915360916534282,0.4162920712285151
48,5,0.0,0.023281907794306018,0.018625526235444816,0.506188904761806
49,0,1.0,0.3865711676337215,0.30925693410697724,0.47042565019858995
49,1,0.0,0.29205865531413633,0.23364692425130906,0.5994915417836008
49,2,2.0,0.539605529212023,0.43168442336961843,0.6
49,3,1.0,0.27314496191573356,0.21851596953258687,0.40760183202748823
49,4,3.0,0.9915360916534282,0.7932288733227426,0.4162920712285151
49,5,0.0,0.018625526235444816,0.014900420988355853,0.506188904761806
50,0,1.0,0.38734206414669525,0.3098736513173562,0.47042565019858995
50,1,0.0,0.23364692425130906,0.18691753940104727,0.5994915417836008
50,2,2.0,0.6316844233696184,0.5053475386956947,0.6
50,3,1.0,0.2840363359380845,0.22722906875046764,0.40760183202748823
50,4,3.0,0.9932288733227426,0.7945830986581941,0.4162920712285151
50,5,0.0,0.014900420988355853,0.011920336790684683,0.506188904761806
51,0,1.0,0.38795878135707423,0.3103670250856594,0.47042565019858995
51,1,1.0,0.2908158477577674,0.23265267820621394,0.5994915417836008
