time,case_id,employee
96,14:0,14
96,17:0,17
96,58:0,58
97,73:1,73
97,118:1,118
98,12:2,12
100,70:4,70
101,82:5,82
102,56:6,56
102,110:6,110
103,40:7,40
103,101:7,101
105,41:9,41
107,93:11,93
110,98:14,98
112,1:16,1
114,97:18,97
116,67:20,67
116,108:20,108
121,27:25,27
122,54:26,54
128,81:32,81
132,30:36,30
135,37:39,37
138,109:42,109
139,35:43,35
140,46:44,46
141,24:45,24
141,87:45,87
142,8:46,8
142,114:46,114
144,62:48,62
144,63:48,63
150,31:54,31
154,106:58,106
155,3:59,3
156,48:60,48
160,57:64,57
163,116:67,116
