scenario,period,metric,n,mean,low,high
information_r0.0_f0,before,cases,20,50.4,48.15,52.65
information_r0.0_f0,before,customer_users,20,4.3,3.55,5.101249999999993
information_r0.0_f0,before,customer_employees,20,4.1,3.35,4.9
information_r0.0_f0,before,domestic_use,20,0.7875576085369342,0.7638821709372335,0.8092859467906297
information_r0.0_f0,before,customer_use,20,0.0847429230621139,0.07054305387694443,0.10007671484617862
information_r0.0_f0,before,both_use,20,0.05284244269782927,0.04010421873568632,0.06646686300165754
information_r0.0_f0,before,first_customer,20,0.0530191529924405,0.04121371151296357,0.0652812778143028
information_r0.0_f0,before,d_to_e,20,0.03172377006967335,0.021910782472009047,0.04179767283887714
information_r0.0_f0,before,resolved,20,0.3080424845196884,0.27393923412446436,0.3412348465541084
information_r0.0_f0,before,unresolved,20,0.6919575154803116,0.6587651534458915,0.7260607658755357
information_r0.0_f0,before,potential,20,70.25,66.65,73.95
information_r0.0_f0,before,blocked,20,19.85,17.65,22.2
information_r0.0_f0,before,prevented,20,0.0,0.0,0.0
information_r0.0_f0,before,mean_prevention,20,0.0,0.0,0.0
information_r0.0_f0,before,knowledge_share,20,0.14916666666666664,0.13374999999999998,0.16499999999999998
information_r0.0_f0,early_after,cases,20,44.2,41.9,46.45
information_r0.0_f0,early_after,customer_users,20,7.3,5.85,8.75
information_r0.0_f0,early_after,customer_employees,20,6.75,5.55,7.95
information_r0.0_f0,early_after,domestic_use,20,0.7682116166109294,0.7430510555778101,0.7906642195903223
information_r0.0_f0,early_after,customer_use,20,0.1634575509813603,0.13330656108404845,0.192331320553114
information_r0.0_f0,early_after,both_use,20,0.09331410548380374,0.07313545104203285,0.11230305948268876
information_r0.0_f0,early_after,first_customer,20,0.10646935644693589,0.08295617972865639,0.13056795347509628
information_r0.0_f0,early_after,d_to_e,20,0.05573819453442437,0.04100027728117125,0.07116429826289303
information_r0.0_f0,early_after,resolved,20,0.3142707238697805,0.2895277124928718,0.34223508947228315
information_r0.0_f0,early_after,unresolved,20,0.6857292761302195,0.657764910527717,0.7104722875071283
information_r0.0_f0,early_after,potential,20,71.1,67.4,75.3
information_r0.0_f0,early_after,blocked,20,26.9,24.45,29.65
information_r0.0_f0,early_after,prevented,20,0.0,0.0,0.0
information_r0.0_f0,early_after,mean_prevention,20,0.0,0.0,0.0
information_r0.0_f0,early_after,knowledge_share,20,0.32,0.3045833333333334,0.3362604166666666
information_r0.0_f0,late_after,cases,20,42.15,39.9,44.50124999999999
information_r0.0_f0,late_after,customer_users,20,6.8,5.5,8.1
information_r0.0_f0,late_after,customer_employees,20,6.7,5.45,7.95
information_r0.0_f0,late_after,domestic_use,20,0.7826760265765811,0.7601652910957756,0.8080925369636466
information_r0.0_f0,late_after,customer_use,20,0.160740477957057,0.1311994830796817,0.18947868394770442
information_r0.0_f0,late_after,both_use,20,0.08972920792544561,0.07043669221869409,0.10987187367320563
information_r0.0_f0,late_after,first_customer,20,0.11568248962291708,0.0918105690374074,0.13961566981061582
information_r0.0_f0,late_after,d_to_e,20,0.043895197636465474,0.033080791928264235,0.056196765289305235
information_r0.0_f0,late_after,resolved,20,0.31639587570150374,0.28817552336003566,0.3453253310795968
information_r0.0_f0,late_after,unresolved,20,0.6836041242984962,0.6546746689204032,0.7118244766399642
information_r0.0_f0,late_after,potential,20,69.5,67.0,72.25125
information_r0.0_f0,late_after,blocked,20,27.35,24.8,29.75124999999999
information_r0.0_f0,late_after,prevented,20,0.0,0.0,0.0
information_r0.0_f0,late_after,mean_prevention,20,0.0,0.0,0.0
information_r0.0_f0,late_after,knowledge_share,20,0.32,0.3045833333333334,0.3362604166666666
information_r0.0_f1,before,cases,20,48.2,46.0,50.35
information_r0.0_f1,before,customer_users,20,3.9,3.2,4.6
information_r0.0_f1,before,customer_employees,20,3.75,3.15,4.4
information_r0.0_f1,before,domestic_use,20,0.7915198763662052,0.7646132958770716,0.8157051924967035
information_r0.0_f1,before,customer_use,20,0.08071348805885104,0.06709372855433969,0.09521818541897328
information_r0.0_f1,before,both_use,20,0.05234778778089122,0.03949947778896638,0.06455355445107669
information_r0.0_f1,before,first_customer,20,0.04936955257418975,0.03669730688802913,0.06290466554391547
information_r0.0_f1,before,d_to_e,20,0.03134393548466124,0.02210135167092222,0.04035453041981507
information_r0.0_f1,before,resolved,20,0.30870176768209623,0.27308383216670634,0.3427106620211611
information_r0.0_f1,before,unresolved,20,0.6912982323179039,0.6572893379788389,0.7269161678332936
information_r0.0_f1,before,potential,20,70.25,66.65,73.95
information_r0.0_f1,before,blocked,20,19.7,17.4,22.05
information_r0.0_f1,before,prevented,20,2.35,1.5,3.3
information_r0.0_f1,before,mean_prevention,20,0.06003041049037515,0.042082728546587435,0.07822551202118462
information_r0.0_f1,before,knowledge_share,20,0.14916666666666664,0.13374999999999998,0.16499999999999998
information_r0.0_f1,early_after,cases,20,37.1,35.04875,39.201249999999995
information_r0.0_f1,early_after,customer_users,20,5.9,4.75,7.1
information_r0.0_f1,early_after,customer_employees,20,5.6,4.55,6.65
information_r0.0_f1,early_after,domestic_use,20,0.7573518685652543,0.7288953809721173,0.7825566354625821
information_r0.0_f1,early_after,customer_use,20,0.1573807628823129,0.12893827576823622,0.18609893028437605
information_r0.0_f1,early_after,both_use,20,0.0835837444579178,0.06494567652436249,0.10178078587282709
information_r0.0_f1,early_after,first_customer,20,0.10645297979491955,0.0834175599479224,0.12973644933825834
information_r0.0_f1,early_after,d_to_e,20,0.049576431736041995,0.03672124613699497,0.06233452014228702
information_r0.0_f1,early_after,resolved,20,0.3214157827178536,0.2911987288157578,0.35309040401937186
information_r0.0_f1,early_after,unresolved,20,0.6785842172821464,0.6469095959806281,0.7088012711842421
information_r0.0_f1,early_after,potential,20,71.1,67.4,75.3
information_r0.0_f1,early_after,blocked,20,24.35,22.298750000000002,26.6
information_r0.0_f1,early_after,prevented,20,9.65,7.75,11.85
information_r0.0_f1,early_after,mean_prevention,20,0.23407896166411607,0.20024612985277873,0.2673109874258251
information_r0.0_f1,early_after,knowledge_share,20,0.32,0.3045833333333334,0.3362604166666666
information_r0.0_f1,late_after,cases,20,39.2,36.5,42.1
information_r0.0_f1,late_after,customer_users,20,6.15,5.04875,7.25
information_r0.0_f1,late_after,customer_employees,20,6.05,4.95,7.15
information_r0.0_f1,late_after,domestic_use,20,0.7880684542235716,0.764223212579313,0.8130780231675038
information_r0.0_f1,late_after,customer_use,20,0.15794671919338385,0.1293061910959278,0.1855720134230669
information_r0.0_f1,late_after,both_use,20,0.09217962286419086,0.06967656501185472,0.1158074437389088
information_r0.0_f1,late_after,first_customer,20,0.10977352698070164,0.08729627409122996,0.13289307336016778
information_r0.0_f1,late_after,d_to_e,20,0.04706208110157107,0.03402867721631244,0.061622320163616
information_r0.0_f1,late_after,resolved,20,0.3144724314012737,0.28334315676015615,0.34573205667960377
information_r0.0_f1,late_after,unresolved,20,0.6855275685987262,0.6542679433203962,0.7166568432398436
information_r0.0_f1,late_after,potential,20,69.5,67.0,72.25125
information_r0.0_f1,late_after,blocked,20,24.2,21.94875,26.351249999999993
information_r0.0_f1,late_after,prevented,20,6.1,4.3,8.05
information_r0.0_f1,late_after,mean_prevention,20,0.16751046572623632,0.12744693217166148,0.20975619580873325
information_r0.0_f1,late_after,knowledge_share,20,0.32,0.3045833333333334,0.3362604166666666
information_r0.6_f0,before,cases,20,52.45,50.15,54.80124999999999
information_r0.6_f0,before,customer_users,20,26.1,23.35,28.45
information_r0.6_f0,before,customer_employees,20,24.45,21.85,26.75
information_r0.6_f0,before,domestic_use,20,0.8162780329164929,0.7934903033647521,0.8402555323784573
information_r0.6_f0,before,customer_use,20,0.4956422429147831,0.44948334915128935,0.5356209694384934
information_r0.6_f0,before,both_use,20,0.3499792805595961,0.31542833159449457,0.3822927250632793
information_r0.6_f0,before,first_customer,20,0.3133650087866269,0.2766107426070251,0.3457804258371199
information_r0.6_f0,before,d_to_e,20,0.17202771879168074,0.14721895022255163,0.19672424922808995
information_r0.6_f0,before,resolved,20,0.4231854201787132,0.3915863709621095,0.45222147373118904
information_r0.6_f0,before,unresolved,20,0.5768145798212868,0.5477785262688109,0.6084136290378904
information_r0.6_f0,before,potential,20,70.25,66.65,73.95
information_r0.6_f0,before,blocked,20,17.8,15.5,20.1
information_r0.6_f0,before,prevented,20,0.0,0.0,0.0
information_r0.6_f0,before,mean_prevention,20,0.0,0.0,0.0
information_r0.6_f0,before,knowledge_share,20,1.0,1.0,1.0
information_r0.6_f0,early_after,cases,20,44.95,42.54875,47.45
information_r0.6_f0,early_after,customer_users,20,22.4,19.798750000000002,25.0
information_r0.6_f0,early_after,customer_employees,20,21.3,18.95,23.65
information_r0.6_f0,early_after,domestic_use,20,0.8344898960894132,0.8048713562981912,0.8625374502358537
information_r0.6_f0,early_after,customer_use,20,0.5028467316700339,0.4411016714236552,0.5600656630278193
information_r0.6_f0,early_after,both_use,20,0.37478064721325516,0.32922349012824886,0.41887864178006506
information_r0.6_f0,early_after,first_customer,20,0.30376496764415545,0.25762464636093363,0.346974084547275
information_r0.6_f0,early_after,d_to_e,20,0.18830525720418761,0.1611321788554804,0.21566971417156722
information_r0.6_f0,early_after,resolved,20,0.4080054929607256,0.3771842929133976,0.4397244609543182
information_r0.6_f0,early_after,unresolved,20,0.5919945070392744,0.5602755390456817,0.6228157070866023
information_r0.6_f0,early_after,potential,20,71.1,67.4,75.3
information_r0.6_f0,early_after,blocked,20,26.15,23.85,28.75124999999999
information_r0.6_f0,early_after,prevented,20,0.0,0.0,0.0
information_r0.6_f0,early_after,mean_prevention,20,0.0,0.0,0.0
information_r0.6_f0,early_after,knowledge_share,20,1.0,1.0,1.0
information_r0.6_f0,late_after,cases,20,44.6,41.79875,47.4
information_r0.6_f0,late_after,customer_users,20,22.55,19.6,25.55
information_r0.6_f0,late_after,customer_employees,20,21.9,19.1,24.70124999999999
information_r0.6_f0,late_after,domestic_use,20,0.8249412838195882,0.800369796896724,0.8525742623169738
information_r0.6_f0,late_after,customer_use,20,0.5020668606136618,0.4535654728728284,0.5498473451361021
information_r0.6_f0,late_after,both_use,20,0.3605893928997553,0.3255563249269952,0.3942679415664726
information_r0.6_f0,late_after,first_customer,20,0.32032328542473515,0.27427199441316263,0.3635335536491521
information_r0.6_f0,late_after,d_to_e,20,0.17070642265286862,0.14908964766151023,0.19154212505282878
information_r0.6_f0,late_after,resolved,20,0.407984548083739,0.36378386239533167,0.45665537318640115
information_r0.6_f0,late_after,unresolved,20,0.592015451916261,0.5433446268135987,0.6362161376046683
information_r0.6_f0,late_after,potential,20,69.5,67.0,72.25125
information_r0.6_f0,late_after,blocked,20,24.9,22.3,27.6
information_r0.6_f0,late_after,prevented,20,0.0,0.0,0.0
information_r0.6_f0,late_after,mean_prevention,20,0.0,0.0,0.0
information_r0.6_f0,late_after,knowledge_share,20,1.0,1.0,1.0
information_r0.6_f1,before,cases,20,37.1,34.5,39.8
information_r0.6_f1,before,customer_users,20,16.75,15.05,18.35
information_r0.6_f1,before,customer_employees,20,16.3,14.55,17.95
information_r0.6_f1,before,domestic_use,20,0.8139914124526687,0.7823312025965644,0.8461350830891942
information_r0.6_f1,before,customer_use,20,0.45812160963933934,0.4106205667021698,0.5049326116806536
information_r0.6_f1,before,both_use,20,0.327257857996826,0.28880723187987384,0.3687933760768554
information_r0.6_f1,before,first_customer,20,0.2903375978771871,0.25196053331637136,0.32775534794022904
information_r0.6_f1,before,d_to_e,20,0.1578960039898733,0.13391444356959634,0.1819037718445404
information_r0.6_f1,before,resolved,20,0.38221030843544657,0.3525999937745623,0.4113676064394866
information_r0.6_f1,before,unresolved,20,0.6177896915645534,0.5886323935605133,0.6474000062254375
information_r0.6_f1,before,potential,20,70.25,66.65,73.95
information_r0.6_f1,before,blocked,20,15.6,13.4,18.0
information_r0.6_f1,before,prevented,20,17.55,14.5,20.551249999999992
information_r0.6_f1,before,mean_prevention,20,0.4034396478101919,0.3461928826036267,0.4600328266268596
information_r0.6_f1,before,knowledge_share,20,1.0,1.0,1.0
information_r0.6_f1,early_after,cases,20,33.35,31.55,35.2
information_r0.6_f1,early_after,customer_users,20,15.45,13.55,17.4
information_r0.6_f1,early_after,customer_employees,20,15.15,13.348749999999999,17.1
information_r0.6_f1,early_after,domestic_use,20,0.8146867146020063,0.7741156309622635,0.8553656275142154
information_r0.6_f1,early_after,customer_use,20,0.4699905164329158,0.4077852484261484,0.5281183983195156
information_r0.6_f1,early_after,both_use,20,0.3362361919093694,0.29015664766992455,0.3832353994136304
information_r0.6_f1,early_after,first_customer,20,0.309744001020516,0.2631278491493511,0.35514904796882985
information_r0.6_f1,early_after,d_to_e,20,0.15707887408686352,0.1326676795018619,0.1831469538917941
information_r0.6_f1,early_after,resolved,20,0.4126525337509358,0.37872496374287623,0.44743101797008045
information_r0.6_f1,early_after,unresolved,20,0.5873474662490642,0.5525689820299196,0.6212750362571235
information_r0.6_f1,early_after,potential,20,71.1,67.4,75.3
information_r0.6_f1,early_after,blocked,20,19.85,17.598750000000003,22.25124999999999
information_r0.6_f1,early_after,prevented,20,17.9,15.55,20.5
information_r0.6_f1,early_after,mean_prevention,20,0.408566001677364,0.3638411999635466,0.45343367774418175
information_r0.6_f1,early_after,knowledge_share,20,1.0,1.0,1.0
information_r0.6_f1,late_after,cases,20,33.15,30.25,36.15124999999999
information_r0.6_f1,late_after,customer_users,20,15.05,13.15,17.05
information_r0.6_f1,late_after,customer_employees,20,14.75,12.8,16.75
information_r0.6_f1,late_after,domestic_use,20,0.8072900766193548,0.7663679920693647,0.8486707249168792
information_r0.6_f1,late_after,customer_use,20,0.4582773429019871,0.4084728971025224,0.5095001133585747
information_r0.6_f1,late_after,both_use,20,0.3255330677836108,0.29008400260038747,0.3610376799305059
information_r0.6_f1,late_after,first_customer,20,0.30206506967289826,0.2558290790510335,0.34940084192128484
information_r0.6_f1,late_after,d_to_e,20,0.14699885830737597,0.12436283027604304,0.17017273926161663
information_r0.6_f1,late_after,resolved,20,0.3922960812360218,0.3529999205866671,0.4380276092528319
information_r0.6_f1,late_after,unresolved,20,0.6077039187639781,0.561972390747168,0.6470000794133326
information_r0.6_f1,late_after,potential,20,69.5,67.0,72.25125
information_r0.6_f1,late_after,blocked,20,18.9,16.75,21.1
information_r0.6_f1,late_after,prevented,20,17.45,13.95,21.15
information_r0.6_f1,late_after,mean_prevention,20,0.43514903942641026,0.37175520007922075,0.4978105645626362
information_r0.6_f1,late_after,knowledge_share,20,1.0,1.0,1.0
none_r0.0_f0,before,cases,20,50.4,48.15,52.65
none_r0.0_f0,before,customer_users,20,3.1,2.35,3.9
none_r0.0_f0,before,customer_employees,20,2.9,2.2487500000000002,3.55
none_r0.0_f0,before,domestic_use,20,0.7875576085369342,0.7638821709372335,0.8092859467906297
none_r0.0_f0,before,customer_use,20,0.062037642449386234,0.04681604862983322,0.07830057674734914
none_r0.0_f0,before,both_use,20,0.0378175511486,0.02674318637943496,0.04961847319318675
none_r0.0_f0,before,first_customer,20,0.04533876392894215,0.03162934207252329,0.05942273038806884
none_r0.0_f0,before,d_to_e,20,0.016698878520444067,0.00992404408630079,0.023729418441316125
none_r0.0_f0,before,resolved,20,0.3040934590324321,0.2722113451479705,0.3349462410874377
none_r0.0_f0,before,unresolved,20,0.6959065409675679,0.6650537589125624,0.7277886548520295
none_r0.0_f0,before,potential,20,70.25,66.65,73.95
none_r0.0_f0,before,blocked,20,19.85,17.65,22.2
none_r0.0_f0,before,prevented,20,0.0,0.0,0.0
none_r0.0_f0,before,mean_prevention,20,0.0,0.0,0.0
none_r0.0_f0,before,knowledge_share,20,0.14916666666666664,0.13374999999999998,0.16499999999999998
none_r0.0_f0,early_after,cases,20,43.6,41.59875,45.6
none_r0.0_f0,early_after,customer_users,20,3.15,2.4,3.9
none_r0.0_f0,early_after,customer_employees,20,2.8,2.15,3.45
none_r0.0_f0,early_after,domestic_use,20,0.7855252613018773,0.7600102209202653,0.8079096204578503
none_r0.0_f0,early_after,customer_use,20,0.07259263642046773,0.055254637020312254,0.08963874634276689
none_r0.0_f0,early_after,both_use,20,0.04632580131936518,0.03399665268332336,0.05856583225864417
none_r0.0_f0,early_after,first_customer,20,0.04726640318055242,0.03426481494239981,0.06115200236288797
none_r0.0_f0,early_after,d_to_e,20,0.02407623323991529,0.015065964549735102,0.033719793871698704
none_r0.0_f0,early_after,resolved,20,0.2977992906594574,0.27473745752536344,0.32396567387874714
none_r0.0_f0,early_after,unresolved,20,0.7022007093405425,0.6760343261212528,0.7252625424746365
none_r0.0_f0,early_after,potential,20,71.1,67.4,75.3
none_r0.0_f0,early_after,blocked,20,27.5,25.048750000000002,30.35
none_r0.0_f0,early_after,prevented,20,0.0,0.0,0.0
none_r0.0_f0,early_after,mean_prevention,20,0.0,0.0,0.0
none_r0.0_f0,early_after,knowledge_share,20,0.14916666666666664,0.13374999999999998,0.16499999999999998
none_r0.0_f0,late_after,cases,20,42.0,39.65,44.35
none_r0.0_f0,late_after,customer_users,20,3.1,2.45,3.8
none_r0.0_f0,late_after,customer_employees,20,3.05,2.4,3.75
none_r0.0_f0,late_after,domestic_use,20,0.797101320924305,0.7765624665933731,0.8199282494575373
none_r0.0_f0,late_after,customer_use,20,0.07206336190074147,0.05825965848355884,0.0863207813731832
none_r0.0_f0,late_after,both_use,20,0.041378954619904,0.027718941647500696,0.05754648830779882
none_r0.0_f0,late_after,first_customer,20,0.051348398679211184,0.040736103109323844,0.06182012916457352
none_r0.0_f0,late_after,d_to_e,20,0.020714963221530276,0.011849265908794784,0.03082149961391998
none_r0.0_f0,late_after,resolved,20,0.3163910959502633,0.28888670341956624,0.34398270517631135
none_r0.0_f0,late_after,unresolved,20,0.6836089040497366,0.6560172948236888,0.711113296580434
none_r0.0_f0,late_after,potential,20,69.5,67.0,72.25125
none_r0.0_f0,late_after,blocked,20,27.5,24.95,30.00124999999999
none_r0.0_f0,late_after,prevented,20,0.0,0.0,0.0
none_r0.0_f0,late_after,mean_prevention,20,0.0,0.0,0.0
none_r0.0_f0,late_after,knowledge_share,20,0.14916666666666664,0.13374999999999998,0.16499999999999998
none_r0.0_f1,before,cases,20,48.2,46.0,50.35
none_r0.0_f1,before,customer_users,20,2.8,2.05,3.65
none_r0.0_f1,before,customer_employees,20,2.65,2.0,3.301249999999993
none_r0.0_f1,before,domestic_use,20,0.7915198763662052,0.7646132958770716,0.8157051924967035
none_r0.0_f1,before,customer_use,20,0.058972677947757714,0.0429248065986778,0.07687752605200315
none_r0.0_f1,before,both_use,20,0.037654348723592065,0.02587147318744258,0.05042238430561375
none_r0.0_f1,before,first_customer,20,0.04232218152039559,0.027902797545535395,0.05747307978755699
none_r0.0_f1,before,d_to_e,20,0.01665049642736211,0.009962019950638367,0.023681897198680153
none_r0.0_f1,before,resolved,20,0.3044455050034153,0.2706453486605202,0.3363282280863658
none_r0.0_f1,before,unresolved,20,0.6955544949965848,0.663671771913634,0.7293546513394796
none_r0.0_f1,before,potential,20,70.25,66.65,73.95
none_r0.0_f1,before,blocked,20,19.7,17.4,22.05
none_r0.0_f1,before,prevented,20,2.35,1.5,3.3
none_r0.0_f1,before,mean_prevention,20,0.06003041049037515,0.042082728546587435,0.07822551202118462
none_r0.0_f1,before,knowledge_share,20,0.14916666666666664,0.13374999999999998,0.16499999999999998
none_r0.0_f1,early_after,cases,20,41.75,39.35,44.0
none_r0.0_f1,early_after,customer_users,20,2.9,2.2,3.6
none_r0.0_f1,early_after,customer_employees,20,2.7,2.05,3.4
none_r0.0_f1,early_after,domestic_use,20,0.7797217151657374,0.7541475902137654,0.8016848721470456
none_r0.0_f1,early_after,customer_use,20,0.06929462320548738,0.05314142649955407,0.0857665654347958
none_r0.0_f1,early_after,both_use,20,0.04254472787856008,0.031658807137413696,0.05429914932930142
none_r0.0_f1,early_after,first_customer,20,0.0470475322809951,0.034488401275036856,0.06056849779116409
none_r0.0_f1,early_after,d_to_e,20,0.021027578729370305,0.013178488233257957,0.029521869652598124
none_r0.0_f1,early_after,resolved,20,0.2961632565713202,0.2699409074165505,0.32339867183801274
none_r0.0_f1,early_after,unresolved,20,0.70383674342868,0.6766013281619871,0.7300590925834496
none_r0.0_f1,early_after,potential,20,71.1,67.4,75.3
none_r0.0_f1,early_after,blocked,20,26.2,23.7,29.1
none_r0.0_f1,early_after,prevented,20,3.15,2.2,4.1
none_r0.0_f1,early_after,mean_prevention,20,0.08065441216967573,0.06020750277700099,0.10334151594447111
none_r0.0_f1,early_after,knowledge_share,20,0.14916666666666664,0.13374999999999998,0.16499999999999998
none_r0.0_f1,late_after,cases,20,40.4,37.698750000000004,43.05124999999999
