scenario,seed,period,rho,feedback,cases,employees,domestic_users,customer_users,customer_employees,domestic_employees,domestic_use,customer_use,both_use,first_customer,d_to_e,resolved,unresolved,potential,blocked,prevented,mean_prevention,knowledge_share
none_r0.0_f0,0,before,0.0,False,44,42,36,3,3,34,0.8181818181818182,0.06818181818181818,0.022727272727272728,0.045454545454545456,0.022727272727272728,0.29545454545454547,0.7045454545454546,57,13,0,0.0,0.10833333333333335
none_r0.0_f0,0,early_after,0.0,False,48,46,37,5,4,35,0.7708333333333334,0.10416666666666667,0.0625,0.08333333333333333,0.020833333333333332,0.22916666666666666,0.7708333333333334,78,30,0,0.0,0.10833333333333335
none_r0.0_f0,0,late_after,0.0,False,51,47,40,5,5,36,0.7843137254901961,0.09803921568627451,0.0392156862745098,0.0784313725490196,0.0196078431372549,0.23529411764705882,0.7647058823529411,78,27,0,0.0,0.10833333333333335
none_r0.0_f1,0,before,0.0,True,44,42,36,3,3,34,0.8181818181818182,0.06818181818181818,0.022727272727272728,0.045454545454545456,0.022727272727272728,0.29545454545454547,0.7045454545454546,57,12,1,0.06634362397902986,0.10833333333333335
none_r0.0_f1,0,early_after,0.0,True,46,45,35,4,4,34,0.7608695652173914,0.08695652173913043,0.043478260869565216,0.06521739130434782,0.021739130434782608,0.2391304347826087,0.7608695652173914,78,28,4,0.18697608350938913,0.10833333333333335
none_r0.0_f1,0,late_after,0.0,True,50,46,40,5,5,36,0.8,0.1,0.04,0.08,0.02,0.24,0.76,78,28,0,0.00025067538446116636,0.10833333333333335
none_r0.6_f0,0,before,0.6,False,47,43,39,32,29,36,0.8297872340425532,0.6808510638297872,0.5106382978723404,0.3829787234042553,0.2765957446808511,0.5106382978723404,0.48936170212765956,57,10,0,0.0,1.0
none_r0.6_f0,0,early_after,0.6,False,51,49,45,30,30,43,0.8823529411764706,0.5882352941176471,0.47058823529411764,0.35294117647058826,0.21568627450980393,0.39215686274509803,0.6078431372549019,78,27,0,0.0,1.0
none_r0.6_f0,0,late_after,0.6,False,57,51,46,38,35,41,0.8070175438596491,0.6666666666666666,0.47368421052631576,0.49122807017543857,0.17543859649122806,0.47368421052631576,0.5263157894736842,78,21,0,0.0,1.0
none_r0.6_f1,0,before,0.6,True,23,22,17,17,16,16,0.7391304347826086,0.7391304347826086,0.5217391304347826,0.43478260869565216,0.2608695652173913,0.43478260869565216,0.5652173913043478,57,6,28,0.6832882845452242,1.0
none_r0.6_f1,0,early_after,0.6,True,35,35,30,25,25,30,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.4857142857142857,0.22857142857142856,0.37142857142857144,0.6285714285714286,78,21,22,0.467527384035686,1.0
none_r0.6_f1,0,late_after,0.6,True,27,26,20,17,17,19,0.7407407407407407,0.6296296296296297,0.37037037037037035,0.5555555555555556,0.07407407407407407,0.3333333333333333,0.6666666666666666,78,17,34,0.660415041194876,1.0
objective_r0.0_f0,0,before,0.0,False,44,42,36,3,3,34,0.8181818181818182,0.06818181818181818,0.022727272727272728,0.045454545454545456,0.022727272727272728,0.29545454545454547,0.7045454545454546,57,13,0,0.0,0.10833333333333335
objective_r0.0_f0,0,early_after,0.0,False,47,46,36,4,4,35,0.7659574468085106,0.0851063829787234,0.0425531914893617,0.06382978723404255,0.02127659574468085,0.2127659574468085,0.7872340425531915,78,31,0,0.0,0.10833333333333335
objective_r0.0_f0,0,late_after,0.0,False,51,47,40,5,5,36,0.7843137254901961,0.09803921568627451,0.0392156862745098,0.0784313725490196,0.0196078431372549,0.23529411764705882,0.7647058823529411,78,27,0,0.0,0.10833333333333335
objective_r0.0_f1,0,before,0.0,True,44,42,36,3,3,34,0.8181818181818182,0.06818181818181818,0.022727272727272728,0.045454545454545456,0.022727272727272728,0.29545454545454547,0.7045454545454546,57,12,1,0.06634362397902986,0.10833333333333335
objective_r0.0_f1,0,early_after,0.0,True,46,45,35,4,4,34,0.7608695652173914,0.08695652173913043,0.043478260869565216,0.06521739130434782,0.021739130434782608,0.2391304347826087,0.7608695652173914,78,28,4,0.18697608350938913,0.10833333333333335
objective_r0.0_f1,0,late_after,0.0,True,50,46,40,5,5,36,0.8,0.1,0.04,0.08,0.02,0.24,0.76,78,28,0,0.00025067538446116636,0.10833333333333335
objective_r0.6_f0,0,before,0.6,False,47,43,39,32,29,36,0.8297872340425532,0.6808510638297872,0.5106382978723404,0.3829787234042553,0.2765957446808511,0.5106382978723404,0.48936170212765956,57,10,0,0.0,1.0
objective_r0.6_f0,0,early_after,0.6,False,54,50,40,39,37,39,0.7407407407407407,0.7222222222222222,0.46296296296296297,0.5185185185185185,0.18518518518518517,0.48148148148148145,0.5185185185185185,78,24,0,0.0,1.0
objective_r0.6_f0,0,late_after,0.6,False,55,47,40,38,32,37,0.7272727272727273,0.6909090909090909,0.41818181818181815,0.5636363636363636,0.10909090909090909,0.4909090909090909,0.509090909090909,78,23,0,0.0,1.0
objective_r0.6_f1,0,before,0.6,True,23,22,17,17,16,16,0.7391304347826086,0.7391304347826086,0.5217391304347826,0.43478260869565216,0.2608695652173913,0.43478260869565216,0.5652173913043478,57,6,28,0.6832882845452242,1.0
objective_r0.6_f1,0,early_after,0.6,True,31,31,23,21,21,23,0.7419354838709677,0.6774193548387096,0.41935483870967744,0.5161290322580645,0.16129032258064516,0.5161290322580645,0.4838709677419355,78,19,28,0.6495039213846999,1.0
objective_r0.6_f1,0,late_after,0.6,True,23,22,15,14,13,15,0.6521739130434783,0.6086956521739131,0.2608695652173913,0.6086956521739131,0.0,0.391304347826087,0.6086956521739131,78,10,45,0.8250959402136361,1.0
information_r0.0_f0,0,before,0.0,False,44,42,36,4,4,34,0.8181818181818182,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.29545454545454547,0.7045454545454546,57,13,0,0.0,0.10833333333333335
information_r0.0_f0,0,early_after,0.0,False,50,47,37,14,12,35,0.74,0.28,0.16,0.22,0.06,0.22,0.78,78,28,0,0.0,0.2750000000000001
information_r0.0_f0,0,late_after,0.0,False,52,47,40,11,11,35,0.7692307692307693,0.21153846153846154,0.11538461538461539,0.17307692307692307,0.038461538461538464,0.3076923076923077,0.6923076923076923,78,26,0,0.0,0.2750000000000001
information_r0.0_f1,0,before,0.0,True,44,42,36,4,4,34,0.8181818181818182,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.29545454545454547,0.7045454545454546,57,12,1,0.06634362397902986,0.10833333333333335
information_r0.0_f1,0,early_after,0.0,True,43,41,32,12,11,31,0.7441860465116279,0.27906976744186046,0.13953488372093023,0.23255813953488372,0.046511627906976744,0.23255813953488372,0.7674418604651163,78,27,8,0.2647943893381903,0.2750000000000001
information_r0.0_f1,0,late_after,0.0,True,51,46,40,11,11,35,0.7843137254901961,0.21568627450980393,0.11764705882352941,0.17647058823529413,0.0392156862745098,0.3333333333333333,0.6666666666666666,78,25,2,0.035113264476393985,0.2750000000000001
information_r0.6_f0,0,before,0.6,False,47,43,39,32,29,36,0.8297872340425532,0.6808510638297872,0.5106382978723404,0.3829787234042553,0.2765957446808511,0.5106382978723404,0.48936170212765956,57,10,0,0.0,1.0
information_r0.6_f0,0,early_after,0.6,False,51,49,45,30,30,43,0.8823529411764706,0.5882352941176471,0.47058823529411764,0.35294117647058826,0.21568627450980393,0.39215686274509803,0.6078431372549019,78,27,0,0.0,1.0
information_r0.6_f0,0,late_after,0.6,False,57,51,46,38,35,41,0.8070175438596491,0.6666666666666666,0.47368421052631576,0.49122807017543857,0.17543859649122806,0.47368421052631576,0.5263157894736842,78,21,0,0.0,1.0
information_r0.6_f1,0,before,0.6,True,23,22,17,17,16,16,0.7391304347826086,0.7391304347826086,0.5217391304347826,0.43478260869565216,0.2608695652173913,0.43478260869565216,0.5652173913043478,57,6,28,0.6832882845452242,1.0
information_r0.6_f1,0,early_after,0.6,True,35,35,30,25,25,30,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.4857142857142857,0.22857142857142856,0.37142857142857144,0.6285714285714286,78,21,22,0.467527384035686,1.0
information_r0.6_f1,0,late_after,0.6,True,27,26,20,17,17,19,0.7407407407407407,0.6296296296296297,0.37037037037037035,0.5555555555555556,0.07407407407407407,0.3333333333333333,0.6666666666666666,78,17,34,0.660415041194876,1.0
objective_r0.6_f0_h96,0,before,0.6,False,47,43,39,32,29,36,0.8297872340425532,0.6808510638297872,0.5106382978723404,0.3829787234042553,0.2765957446808511,0.5106382978723404,0.48936170212765956,57,10,0,0.0,1.0
objective_r0.6_f0_h96,0,early_after,0.6,False,36,33,26,26,24,25,0.7222222222222222,0.7222222222222222,0.4444444444444444,0.6111111111111112,0.1111111111111111,0.4444444444444444,0.5555555555555556,78,42,0,0.0,1.0
objective_r0.6_f0_h96,0,late_after,0.6,False,40,35,26,30,26,24,0.65,0.75,0.4,0.5,0.225,0.45,0.55,78,38,0,0.0,1.0
objective_r0.6_f1_h96,0,before,0.6,True,23,22,17,17,16,16,0.7391304347826086,0.7391304347826086,0.5217391304347826,0.43478260869565216,0.2608695652173913,0.43478260869565216,0.5652173913043478,57,6,28,0.6832882845452242,1.0
objective_r0.6_f1_h96,0,early_after,0.6,True,24,24,17,16,16,17,0.7083333333333334,0.6666666666666666,0.375,0.5416666666666666,0.125,0.5,0.5,78,31,23,0.5790612163674533,1.0
objective_r0.6_f1_h96,0,late_after,0.6,True,21,20,14,15,14,14,0.6666666666666666,0.7142857142857143,0.38095238095238093,0.5714285714285714,0.09523809523809523,0.47619047619047616,0.5238095238095238,78,33,24,0.6857833008466164,1.0
none_r0.0_f0,1,before,0.0,False,54,50,46,3,3,42,0.8518518518518519,0.05555555555555555,0.018518518518518517,0.05555555555555555,0.0,0.3333333333333333,0.6666666666666666,75,21,0,0.0,0.1583333333333333
none_r0.0_f0,1,early_after,0.0,False,41,39,31,5,4,30,0.7560975609756098,0.12195121951219512,0.04878048780487805,0.12195121951219512,0.0,0.34146341463414637,0.6585365853658537,62,21,0,0.0,0.1583333333333333
none_r0.0_f0,1,late_after,0.0,False,44,42,35,3,3,33,0.7954545454545454,0.06818181818181818,0.022727272727272728,0.06818181818181818,0.0,0.2727272727272727,0.7272727272727273,67,23,0,0.0,0.1583333333333333
none_r0.0_f1,1,before,0.0,True,54,50,46,3,3,42,0.8518518518518519,0.05555555555555555,0.018518518518518517,0.05555555555555555,0.0,0.3333333333333333,0.6666666666666666,75,21,0,0.0,0.1583333333333333
