policy,domestic_capacity,active_customers,domestic_use,customer_use,resolved_share,d_to_e_all,e_to_d_all,d_eligible_rounds,e_eligible_rounds
degree,2,1,0.9876543209876543,0.8338701019860439,0.4594739667203435,0.5955448201825013,0.049651100375738,1022.0,6.0
degree,2,3,0.9938271604938271,0.8400429414922168,0.4634997316156736,0.6017176596886742,0.05582393988191085,1028.0,6.0
degree,2,6,0.9938271604938271,0.8400429414922168,0.47074610842726783,0.6017176596886742,0.05582393988191085,1041.5,7.0
degree,6,1,0.9876543209876543,0.6924315619967794,0.5346215780998389,0.45410628019323673,0.049651100375738,374.0,6.0
degree,6,3,0.9938271604938271,0.6935050993022007,0.5501878690284487,0.45517981749865805,0.05582393988191085,369.5,6.0
degree,6,6,0.9938271604938271,0.6717659688674181,0.5139559849704778,0.4334406870638754,0.05582393988191085,374.0,8.0
degree,12,1,0.9876543209876543,0.6583467525496511,0.5161030595813204,0.42002147074610835,0.049651100375738,174.0,6.0
degree,12,3,0.9938271604938271,0.6768652710681695,0.5346215780998389,0.4385399892646269,0.05582393988191085,172.0,6.5
degree,12,6,0.9938271604938271,0.6768652710681695,0.5273752012882448,0.4385399892646269,0.05582393988191085,173.5,8.5
equal,2,1,0.986580783682233,0.857487922705314,0.538647342995169,0.6191626409017714,0.04857756307031665,1148.0,472.5
equal,2,3,0.986580783682233,0.820450885668277,0.4718196457326892,0.5821256038647343,0.04857756307031665,1024.0,37.0
equal,2,6,0.9938271604938271,0.8400429414922168,0.47074610842726783,0.6017176596886742,0.05582393988191085,1041.5,7.0
equal,6,1,0.986580783682233,0.6768652710681695,0.5037573805689748,0.4385399892646269,0.04857756307031665,387.5,308.5
equal,6,3,0.986580783682233,0.6790123456790123,0.5222758990874933,0.44068706387546963,0.04857756307031665,378.0,23.0
equal,6,6,0.9938271604938271,0.6717659688674181,0.5139559849704778,0.4334406870638754,0.05582393988191085,374.0,8.0
equal,12,1,0.9927536231884058,0.6975308641975309,0.5450885668276972,0.4592055823939882,0.0547504025764895,176.0,336.0
equal,12,3,0.986580783682233,0.6717659688674181,0.5273752012882448,0.4334406870638754,0.04857756307031665,174.5,41.5
equal,12,6,0.9938271604938271,0.6768652710681695,0.5273752012882448,0.4385399892646269,0.05582393988191085,173.5,8.5
pooled,2,1,0.9876543209876543,0.8338701019860439,0.4594739667203435,0.5955448201825013,0.049651100375738,1022.0,6.0
pooled,2,3,0.9876543209876543,0.8338701019860439,0.4594739667203435,0.5955448201825013,0.049651100375738,1022.0,6.0
pooled,2,6,0.9876543209876543,0.8338701019860439,0.4594739667203435,0.5955448201825013,0.049651100375738,1022.0,6.0
pooled,6,1,0.9876543209876543,0.6924315619967794,0.5346215780998389,0.45410628019323673,0.049651100375738,374.0,6.0
pooled,6,3,0.9876543209876543,0.6924315619967794,0.5346215780998389,0.45410628019323673,0.049651100375738,374.0,6.0
pooled,6,6,0.9876543209876543,0.6924315619967794,0.5346215780998389,0.45410628019323673,0.049651100375738,374.0,6.0
pooled,12,1,0.9876543209876543,0.6583467525496511,0.5161030595813204,0.42002147074610835,0.049651100375738,174.0,6.0
pooled,12,3,0.9876543209876543,0.6583467525496511,0.5161030595813204,0.42002147074610835,0.049651100375738,174.0,6.0
pooled,12,6,0.9876543209876543,0.6583467525496511,0.5161030595813204,0.42002147074610835,0.049651100375738,174.0,6.0
