comparison,policy,domestic_capacity,active_customers,metric,n,difference,low,high
topology_1_minus_6,degree,2,1,domestic_use,2,-0.006172839506172867,-0.012345679012345734,0.0
topology_1_minus_6,degree,2,1,customer_use,2,-0.006172839506172811,-0.012345679012345623,0.0
topology_1_minus_6,degree,2,1,resolved_share,2,-0.011272141706924282,-0.037037037037037035,0.01449275362318847
topology_1_minus_6,degree,2,1,d_to_e_all,2,-0.006172839506172867,-0.012345679012345734,0.0
topology_1_minus_6,degree,2,1,e_to_d_all,2,-0.0061728395061728504,-0.012345679012345701,0.0
topology_1_minus_6,degree,2,1,d_eligible_rounds,2,-19.5,-38.0,-1.0
topology_1_minus_6,degree,2,1,e_eligible_rounds,2,-1.0,-1.0,-1.0
topology_3_minus_6,degree,2,3,domestic_use,2,0.0,0.0,0.0
topology_3_minus_6,degree,2,3,customer_use,2,0.0,0.0,0.0
topology_3_minus_6,degree,2,3,resolved_share,2,-0.00724637681159418,-0.01449275362318836,0.0
topology_3_minus_6,degree,2,3,d_to_e_all,2,0.0,0.0,0.0
topology_3_minus_6,degree,2,3,e_to_d_all,2,0.0,0.0,0.0
topology_3_minus_6,degree,2,3,d_eligible_rounds,2,-13.5,-27.0,0.0
topology_3_minus_6,degree,2,3,e_eligible_rounds,2,-1.0,-1.0,-1.0
topology_1_minus_6,degree,6,1,domestic_use,2,-0.006172839506172867,-0.012345679012345734,0.0
topology_1_minus_6,degree,6,1,customer_use,2,0.02066559312936128,0.012345679012345734,0.02898550724637683
topology_1_minus_6,degree,6,1,resolved_share,2,0.020665593129361226,0.012345679012345623,0.02898550724637683
topology_1_minus_6,degree,6,1,d_to_e_all,2,0.02066559312936131,0.012345679012345734,0.028985507246376885
topology_1_minus_6,degree,6,1,e_to_d_all,2,-0.0061728395061728504,-0.012345679012345701,0.0
topology_1_minus_6,degree,6,1,d_eligible_rounds,2,0.0,-1.0,1.0
topology_1_minus_6,degree,6,1,e_eligible_rounds,2,-2.0,-2.0,-2.0
topology_3_minus_6,degree,6,3,domestic_use,2,0.0,0.0,0.0
topology_3_minus_6,degree,6,3,customer_use,2,0.021739130434782594,0.0,0.04347826086956519
topology_3_minus_6,degree,6,3,resolved_share,2,0.03623188405797101,0.0,0.07246376811594202
topology_3_minus_6,degree,6,3,d_to_e_all,2,0.02173913043478265,0.0,0.0434782608695653
topology_3_minus_6,degree,6,3,e_to_d_all,2,0.0,0.0,0.0
topology_3_minus_6,degree,6,3,d_eligible_rounds,2,-4.5,-9.0,0.0
topology_3_minus_6,degree,6,3,e_eligible_rounds,2,-2.0,-2.0,-2.0
topology_1_minus_6,degree,12,1,domestic_use,2,-0.006172839506172867,-0.012345679012345734,0.0
topology_1_minus_6,degree,12,1,customer_use,2,-0.01851851851851849,-0.03703703703703698,0.0
topology_1_minus_6,degree,12,1,resolved_share,2,-0.011272141706924366,-0.03703703703703709,0.01449275362318836
topology_1_minus_6,degree,12,1,d_to_e_all,2,-0.018518518518518545,-0.03703703703703709,0.0
topology_1_minus_6,degree,12,1,e_to_d_all,2,-0.0061728395061728504,-0.012345679012345701,0.0
topology_1_minus_6,degree,12,1,d_eligible_rounds,2,0.5,0.0,1.0
topology_1_minus_6,degree,12,1,e_eligible_rounds,2,-2.5,-3.0,-2.0
topology_3_minus_6,degree,12,3,domestic_use,2,0.0,0.0,0.0
topology_3_minus_6,degree,12,3,customer_use,2,0.0,0.0,0.0
topology_3_minus_6,degree,12,3,resolved_share,2,0.00724637681159418,0.0,0.01449275362318836
topology_3_minus_6,degree,12,3,d_to_e_all,2,0.0,0.0,0.0
topology_3_minus_6,degree,12,3,e_to_d_all,2,0.0,0.0,0.0
topology_3_minus_6,degree,12,3,d_eligible_rounds,2,-1.5,-3.0,0.0
topology_3_minus_6,degree,12,3,e_eligible_rounds,2,-2.0,-3.0,-1.0
topology_1_minus_6,equal,2,1,domestic_use,2,-0.00724637681159418,-0.01449275362318836,0.0
topology_1_minus_6,equal,2,1,customer_use,2,0.017444981213097177,-0.01449275362318836,0.04938271604938271
topology_1_minus_6,equal,2,1,resolved_share,2,0.06790123456790129,0.0,0.13580246913580257
topology_1_minus_6,equal,2,1,d_to_e_all,2,0.017444981213097177,-0.01449275362318836,0.04938271604938271
topology_1_minus_6,equal,2,1,e_to_d_all,2,-0.0072463768115942,-0.0144927536231884,0.0
topology_1_minus_6,equal,2,1,d_eligible_rounds,2,106.5,37.0,176.0
topology_1_minus_6,equal,2,1,e_eligible_rounds,2,465.5,330.0,601.0
topology_3_minus_6,equal,2,3,domestic_use,2,-0.00724637681159418,-0.01449275362318836,0.0
topology_3_minus_6,equal,2,3,customer_use,2,-0.019592055823939858,-0.024691358024691357,-0.01449275362318836
topology_3_minus_6,equal,2,3,resolved_share,2,0.0010735373054214237,-0.012345679012345623,0.01449275362318847
topology_3_minus_6,equal,2,3,d_to_e_all,2,-0.019592055823939858,-0.024691358024691357,-0.01449275362318836
topology_3_minus_6,equal,2,3,e_to_d_all,2,-0.0072463768115942,-0.0144927536231884,0.0
topology_3_minus_6,equal,2,3,d_eligible_rounds,2,-17.5,-28.0,-7.0
topology_3_minus_6,equal,2,3,e_eligible_rounds,2,30.0,23.0,37.0
topology_1_minus_6,equal,6,1,domestic_use,2,-0.00724637681159418,-0.01449275362318836,0.0
topology_1_minus_6,equal,6,1,customer_use,2,0.005099302200751443,-0.01449275362318847,0.024691358024691357
topology_1_minus_6,equal,6,1,resolved_share,2,-0.01019860440150297,-0.04938271604938277,0.02898550724637683
topology_1_minus_6,equal,6,1,d_to_e_all,2,0.005099302200751499,-0.014492753623188415,0.024691358024691412
topology_1_minus_6,equal,6,1,e_to_d_all,2,-0.0072463768115942,-0.0144927536231884,0.0
topology_1_minus_6,equal,6,1,d_eligible_rounds,2,13.5,-10.0,37.0
topology_1_minus_6,equal,6,1,e_eligible_rounds,2,300.5,219.0,382.0
topology_3_minus_6,equal,6,3,domestic_use,2,-0.00724637681159418,-0.01449275362318836,0.0
topology_3_minus_6,equal,6,3,customer_use,2,0.00724637681159418,0.0,0.01449275362318836
topology_3_minus_6,equal,6,3,resolved_share,2,0.00831991411701552,-0.01234567901234579,0.02898550724637683
topology_3_minus_6,equal,6,3,d_to_e_all,2,0.007246376811594235,0.0,0.01449275362318847
topology_3_minus_6,equal,6,3,e_to_d_all,2,-0.0072463768115942,-0.0144927536231884,0.0
topology_3_minus_6,equal,6,3,d_eligible_rounds,2,4.0,-2.0,10.0
topology_3_minus_6,equal,6,3,e_eligible_rounds,2,15.0,7.0,23.0
topology_1_minus_6,equal,12,1,domestic_use,2,-0.0010735373054213682,-0.01449275362318836,0.012345679012345623
topology_1_minus_6,equal,12,1,customer_use,2,0.02066559312936128,0.012345679012345734,0.02898550724637683
topology_1_minus_6,equal,12,1,resolved_share,2,0.017713365539452464,-0.03703703703703709,0.07246376811594202
topology_1_minus_6,equal,12,1,d_to_e_all,2,0.02066559312936128,0.012345679012345678,0.028985507246376885
topology_1_minus_6,equal,12,1,e_to_d_all,2,-0.0010735373054213508,-0.0144927536231884,0.0123456790123457
topology_1_minus_6,equal,12,1,d_eligible_rounds,2,2.5,-6.0,11.0
topology_1_minus_6,equal,12,1,e_eligible_rounds,2,327.5,227.0,428.0
topology_3_minus_6,equal,12,3,domestic_use,2,-0.00724637681159418,-0.01449275362318836,0.0
topology_3_minus_6,equal,12,3,customer_use,2,-0.005099302200751443,-0.024691358024691357,0.01449275362318847
topology_3_minus_6,equal,12,3,resolved_share,2,0.0,0.0,0.0
topology_3_minus_6,equal,12,3,d_to_e_all,2,-0.005099302200751499,-0.024691358024691412,0.014492753623188415
topology_3_minus_6,equal,12,3,e_to_d_all,2,-0.0072463768115942,-0.0144927536231884,0.0
