comparison,policy,domestic_capacity,active_customers,metric,n,difference,low,high
topology_1_minus_6,degree,2,1,domestic_use,20,-0.0014530847380017585,-0.0046839578999016565,0.0021184056039969643
topology_1_minus_6,degree,2,1,customer_use,20,0.0020558004938515616,-0.003168582569192326,0.008047575143281048
topology_1_minus_6,degree,2,1,resolved_share,20,0.002664316286380625,-0.010894498298927979,0.016672216437430845
topology_1_minus_6,degree,2,1,d_to_e_all,20,0.002055800493851573,-0.003516431154260355,0.0077222465469502614
topology_1_minus_6,degree,2,1,e_to_d_all,20,-0.0014530847380017445,-0.004669207867217648,0.0016944086581541704
topology_1_minus_6,degree,2,1,d_eligible_rounds,20,-8.65,-27.904999999999998,11.502499999999987
topology_1_minus_6,degree,2,1,e_eligible_rounds,20,-4.45,-5.8,-3.248750000000007
topology_3_minus_6,degree,2,3,domestic_use,20,0.001196370517200057,-0.002622215930791567,0.005149987338472181
topology_3_minus_6,degree,2,3,customer_use,20,0.0015143110159319185,-0.004310890999137169,0.008178967763233114
topology_3_minus_6,degree,2,3,resolved_share,20,0.0039031838461280445,-0.012675674761844466,0.021478090263548032
topology_3_minus_6,degree,2,3,d_to_e_all,20,0.001514311015931924,-0.0042752290820237725,0.00808488478016332
topology_3_minus_6,degree,2,3,e_to_d_all,20,0.0011963705172000545,-0.002606807475367322,0.005020851291915505
topology_3_minus_6,degree,2,3,d_eligible_rounds,20,-11.15,-33.95125,10.951249999999993
topology_3_minus_6,degree,2,3,e_eligible_rounds,20,-2.75,-3.75,-1.8
topology_1_minus_6,degree,6,1,domestic_use,20,-0.00017666197377410597,-0.003967838183671012,0.0034521293215535403
topology_1_minus_6,degree,6,1,customer_use,20,0.0015182681148501298,-0.004102276857054943,0.007887833078081063
topology_1_minus_6,degree,6,1,resolved_share,20,0.004316102381977441,-0.006601930499664207,0.015921601625661967
topology_1_minus_6,degree,6,1,d_to_e_all,20,0.0015182681148501298,-0.004060556697245854,0.008179318597600382
topology_1_minus_6,degree,6,1,e_to_d_all,20,-0.00017666197377410423,-0.0035457397964904214,0.00306526540320145
topology_1_minus_6,degree,6,1,d_eligible_rounds,20,0.5,-4.5,5.4
topology_1_minus_6,degree,6,1,e_eligible_rounds,20,-4.4,-5.35,-3.55
topology_3_minus_6,degree,6,3,domestic_use,20,0.0012677990886286405,-0.0026471451220902442,0.0051969320534538095
