firm,customer,dependence,seed,pooled,active_customers,arm
0,2,0.47042565019858995,0,False,6,domestic_only
1,3,0.5994915417836008,0,False,6,domestic_only
2,0,0.6,0,False,6,domestic_only
3,1,0.40760183202748823,0,False,6,domestic_only
4,4,0.4162920712285151,0,False,6,domestic_only
5,5,0.506188904761806,0,False,6,domestic_only
0,2,0.47042565019858995,0,False,6,customer_only
1,3,0.5994915417836008,0,False,6,customer_only
2,0,0.6,0,False,6,customer_only
3,1,0.40760183202748823,0,False,6,customer_only
4,4,0.4162920712285151,0,False,6,customer_only
5,5,0.506188904761806,0,False,6,customer_only
0,2,0.47042565019858995,0,False,6,both
1,3,0.5994915417836008,0,False,6,both
2,0,0.6,0,False,6,both
3,1,0.40760183202748823,0,False,6,both
4,4,0.4162920712285151,0,False,6,both
5,5,0.506188904761806,0,False,6,both
0,2,0.47042565019858995,0,False,3,domestic_only
1,0,0.5994915417836008,0,False,3,domestic_only
2,0,0.6,0,False,3,domestic_only
3,1,0.40760183202748823,0,False,3,domestic_only
4,1,0.4162920712285151,0,False,3,domestic_only
5,2,0.506188904761806,0,False,3,domestic_only
0,2,0.47042565019858995,0,False,3,customer_only
1,0,0.5994915417836008,0,False,3,customer_only
2,0,0.6,0,False,3,customer_only
3,1,0.40760183202748823,0,False,3,customer_only
4,1,0.4162920712285151,0,False,3,customer_only
5,2,0.506188904761806,0,False,3,customer_only
0,2,0.47042565019858995,0,False,3,both
1,0,0.5994915417836008,0,False,3,both
2,0,0.6,0,False,3,both
3,1,0.40760183202748823,0,False,3,both
4,1,0.4162920712285151,0,False,3,both
5,2,0.506188904761806,0,False,3,both
0,0,0.47042565019858995,0,False,1,domestic_only
1,0,0.5994915417836008,0,False,1,domestic_only
2,0,0.6,0,False,1,domestic_only
3,0,0.40760183202748823,0,False,1,domestic_only
4,0,0.4162920712285151,0,False,1,domestic_only
5,0,0.506188904761806,0,False,1,domestic_only
0,0,0.47042565019858995,0,False,1,customer_only
1,0,0.5994915417836008,0,False,1,customer_only
2,0,0.6,0,False,1,customer_only
3,0,0.40760183202748823,0,False,1,customer_only
4,0,0.4162920712285151,0,False,1,customer_only
5,0,0.506188904761806,0,False,1,customer_only
0,0,0.47042565019858995,0,False,1,both
1,0,0.5994915417836008,0,False,1,both
2,0,0.6,0,False,1,both
3,0,0.40760183202748823,0,False,1,both
4,0,0.4162920712285151,0,False,1,both
5,0,0.506188904761806,0,False,1,both
0,2,0.47042565019858995,0,True,6,domestic_only
1,3,0.5994915417836008,0,True,6,domestic_only
2,0,0.6,0,True,6,domestic_only
3,1,0.40760183202748823,0,True,6,domestic_only
4,4,0.4162920712285151,0,True,6,domestic_only
5,5,0.506188904761806,0,True,6,domestic_only
0,2,0.47042565019858995,0,True,6,customer_only
1,3,0.5994915417836008,0,True,6,customer_only
2,0,0.6,0,True,6,customer_only
3,1,0.40760183202748823,0,True,6,customer_only
4,4,0.4162920712285151,0,True,6,customer_only
5,5,0.506188904761806,0,True,6,customer_only
0,2,0.47042565019858995,0,True,6,both
1,3,0.5994915417836008,0,True,6,both
2,0,0.6,0,True,6,both
3,1,0.40760183202748823,0,True,6,both
4,4,0.4162920712285151,0,True,6,both
5,5,0.506188904761806,0,True,6,both
0,2,0.47042565019858995,0,True,3,domestic_only
1,0,0.5994915417836008,0,True,3,domestic_only
2,0,0.6,0,True,3,domestic_only
3,1,0.40760183202748823,0,True,3,domestic_only
