time,case_id,employee,event
0,0:0,0,dispute_created
0,1:0,1,dispute_created
0,3:0,3,dispute_created
0,5:0,5,dispute_created
0,6:0,6,dispute_created
0,7:0,7,dispute_created
0,8:0,8,dispute_created
0,10:0,10,dispute_created
0,11:0,11,dispute_created
0,12:0,12,dispute_created
0,15:0,15,dispute_created
0,16:0,16,dispute_created
0,17:0,17,dispute_created
0,19:0,19,dispute_created
0,20:0,20,dispute_created
0,21:0,21,dispute_created
0,22:0,22,dispute_created
0,24:0,24,dispute_created
0,27:0,27,dispute_created
0,30:0,30,dispute_created
0,31:0,31,dispute_created
0,35:0,35,dispute_created
0,37:0,37,dispute_created
0,39:0,39,dispute_created
0,42:0,42,dispute_created
0,45:0,45,dispute_created
0,46:0,46,dispute_created
0,49:0,49,dispute_created
0,50:0,50,dispute_created
0,52:0,52,dispute_created
0,54:0,54,dispute_created
0,57:0,57,dispute_created
0,58:0,58,dispute_created
0,59:0,59,dispute_created
0,60:0,60,dispute_created
0,61:0,61,dispute_created
0,62:0,62,dispute_created
0,68:0,68,dispute_created
0,69:0,69,dispute_created
0,70:0,70,dispute_created
0,71:0,71,dispute_created
0,73:0,73,dispute_created
0,75:0,75,dispute_created
0,76:0,76,dispute_created
0,77:0,77,dispute_created
0,78:0,78,dispute_created
0,79:0,79,dispute_created
0,82:0,82,dispute_created
0,83:0,83,dispute_created
0,85:0,85,dispute_created
0,88:0,88,dispute_created
0,89:0,89,dispute_created
0,90:0,90,dispute_created
0,91:0,91,dispute_created
0,92:0,92,dispute_created
0,99:0,99,dispute_created
0,100:0,100,dispute_created
0,101:0,101,dispute_created
0,102:0,102,dispute_created
0,103:0,103,dispute_created
0,104:0,104,dispute_created
0,106:0,106,dispute_created
0,107:0,107,dispute_created
0,108:0,108,dispute_created
0,111:0,111,dispute_created
0,112:0,112,dispute_created
0,113:0,113,dispute_created
0,117:0,117,dispute_created
0,118:0,118,dispute_created
0,0:0,0,customer_received
0,1:0,1,customer_received
0,3:0,3,customer_received
0,6:0,6,customer_received
0,7:0,7,customer_received
0,10:0,10,customer_received
0,11:0,11,customer_received
0,12:0,12,customer_received
0,16:0,16,customer_received
0,17:0,17,customer_received
0,19:0,19,customer_received
0,20:0,20,customer_received
0,21:0,21,customer_received
0,22:0,22,customer_received
0,24:0,24,customer_received
0,27:0,27,customer_received
0,30:0,30,customer_received
0,31:0,31,customer_received
0,35:0,35,customer_received
0,37:0,37,customer_received
0,39:0,39,customer_received
0,42:0,42,customer_received
0,45:0,45,customer_received
0,46:0,46,customer_received
0,49:0,49,customer_received
0,50:0,50,customer_received
0,52:0,52,customer_received
0,54:0,54,customer_received
0,57:0,57,customer_received
0,58:0,58,customer_received
0,59:0,59,customer_received
0,60:0,60,customer_received
0,61:0,61,customer_received
0,62:0,62,customer_received
0,68:0,68,customer_received
0,69:0,69,customer_received
0,70:0,70,customer_received
0,71:0,71,customer_received
0,73:0,73,customer_received
0,75:0,75,customer_received
0,77:0,77,customer_received
0,79:0,79,customer_received
0,82:0,82,customer_received
0,83:0,83,customer_received
0,85:0,85,customer_received
0,88:0,88,customer_received
0,89:0,89,customer_received
0,90:0,90,customer_received
0,91:0,91,customer_received
0,92:0,92,customer_received
0,100:0,100,customer_received
0,101:0,101,customer_received
0,103:0,103,customer_received
0,104:0,104,customer_received
0,106:0,106,customer_received
0,107:0,107,customer_received
0,108:0,108,customer_received
0,111:0,111,customer_received
0,112:0,112,customer_received
0,113:0,113,customer_received
0,118:0,118,customer_received
1,15:0,15,customer_received
1,76:0,76,customer_received
1,117:0,117,customer_received
2,0:0,0,customer_reviewed
2,0:0,0,customer_declined
2,1:0,1,customer_reviewed
2,1:0,1,customer_intervened
2,3:0,3,customer_reviewed
2,3:0,3,customer_intervened
2,6:0,6,customer_reviewed
2,6:0,6,customer_intervened
2,7:0,7,customer_reviewed
2,7:0,7,customer_intervened
2,10:0,10,customer_reviewed
2,10:0,10,customer_intervened
2,11:0,11,customer_reviewed
2,11:0,11,customer_intervened
2,12:0,12,customer_reviewed
2,12:0,12,customer_declined
2,16:0,16,customer_reviewed
2,16:0,16,customer_intervened
2,17:0,17,customer_reviewed
2,17:0,17,customer_declined
2,19:0,19,customer_reviewed
2,19:0,19,customer_intervened
2,20:0,20,customer_reviewed
2,20:0,20,customer_declined
3,21:0,21,customer_reviewed
3,21:0,21,customer_intervened
3,22:0,22,customer_reviewed
3,22:0,22,customer_intervened
3,24:0,24,customer_reviewed
3,24:0,24,customer_declined
3,27:0,27,customer_reviewed
3,27:0,27,customer_intervened
3,30:0,30,customer_reviewed
3,30:0,30,customer_intervened
3,31:0,31,customer_reviewed
3,31:0,31,customer_intervened
3,35:0,35,customer_reviewed
3,35:0,35,customer_intervened
3,37:0,37,customer_reviewed
3,37:0,37,customer_declined
3,39:0,39,customer_reviewed
3,39:0,39,customer_declined
3,42:0,42,customer_reviewed
3,42:0,42,customer_declined
3,45:0,45,customer_reviewed
3,45:0,45,customer_intervened
3,46:0,46,customer_reviewed
3,46:0,46,customer_intervened
3,7:0,7,firm_case_processed
3,7:0,7,customer_firm_success
3,11:0,11,firm_case_processed
3,11:0,11,customer_firm_success
3,6:0,6,firm_case_processed
3,6:0,6,customer_firm_success
3,10:0,10,firm_case_processed
3,10:0,10,customer_firm_success
3,16:0,16,firm_case_processed
3,16:0,16,customer_firm_success
3,3:0,3,firm_case_processed
3,3:0,3,customer_firm_success
3,19:0,19,firm_case_processed
3,19:0,19,customer_firm_failure
3,1:0,1,firm_case_processed
3,1:0,1,customer_firm_success
3,1:0,1,case_resolved
3,3:0,3,case_resolved
3,6:0,6,case_resolved
3,7:0,7,case_resolved
3,10:0,10,case_resolved
3,11:0,11,case_resolved
3,16:0,16,case_resolved
4,102:0,102,customer_received
4,49:0,49,customer_reviewed
4,49:0,49,customer_declined
4,50:0,50,customer_reviewed
4,50:0,50,customer_intervened
4,52:0,52,customer_reviewed
4,52:0,52,customer_intervened
4,54:0,54,customer_reviewed
4,54:0,54,customer_declined
4,57:0,57,customer_reviewed
4,57:0,57,customer_declined
4,58:0,58,customer_reviewed
4,58:0,58,customer_declined
4,59:0,59,customer_reviewed
4,59:0,59,customer_declined
4,60:0,60,customer_reviewed
4,60:0,60,customer_declined
4,61:0,61,customer_reviewed
4,61:0,61,customer_intervened
4,62:0,62,customer_reviewed
4,62:0,62,customer_declined
4,68:0,68,customer_reviewed
4,68:0,68,customer_declined
4,69:0,69,customer_reviewed
4,69:0,69,customer_intervened
4,30:0,30,firm_case_processed
4,30:0,30,customer_firm_failure
4,45:0,45,firm_case_processed
4,45:0,45,customer_firm_success
4,27:0,27,firm_case_processed
4,27:0,27,customer_firm_failure
4,46:0,46,firm_case_processed
4,46:0,46,customer_firm_success
4,22:0,22,firm_case_processed
4,22:0,22,customer_firm_failure
4,31:0,31,firm_case_processed
4,31:0,31,customer_firm_success
4,21:0,21,firm_case_processed
4,21:0,21,customer_firm_failure
4,35:0,35,firm_case_processed
4,35:0,35,customer_firm_failure
4,31:0,31,case_resolved
4,45:0,45,case_resolved
4,46:0,46,case_resolved
5,5:0,5,customer_received
5,70:0,70,customer_reviewed
5,70:0,70,customer_declined
5,71:0,71,customer_reviewed
5,71:0,71,customer_declined
5,73:0,73,customer_reviewed
5,73:0,73,customer_declined
5,75:0,75,customer_reviewed
5,75:0,75,customer_declined
5,77:0,77,customer_reviewed
5,77:0,77,customer_declined
5,79:0,79,customer_reviewed
5,79:0,79,customer_intervened
5,82:0,82,customer_reviewed
5,82:0,82,customer_declined
5,83:0,83,customer_reviewed
5,83:0,83,customer_intervened
5,85:0,85,customer_reviewed
5,85:0,85,customer_declined
5,88:0,88,customer_reviewed
5,88:0,88,customer_declined
5,89:0,89,customer_reviewed
5,89:0,89,customer_intervened
5,90:0,90,customer_reviewed
5,90:0,90,customer_intervened
5,61:0,61,firm_case_processed
5,61:0,61,customer_firm_success
5,69:0,69,firm_case_processed
5,69:0,69,customer_firm_success
5,52:0,52,firm_case_processed
5,52:0,52,customer_firm_success
5,50:0,50,firm_case_processed
5,50:0,50,customer_firm_failure
5,52:0,52,case_resolved
5,61:0,61,case_resolved
5,69:0,69,case_resolved
6,91:0,91,customer_reviewed
6,91:0,91,customer_declined
6,92:0,92,customer_reviewed
6,92:0,92,customer_declined
6,100:0,100,customer_reviewed
6,100:0,100,customer_declined
6,101:0,101,customer_reviewed
6,101:0,101,customer_intervened
6,103:0,103,customer_reviewed
6,103:0,103,customer_intervened
6,104:0,104,customer_reviewed
6,104:0,104,customer_intervened
6,106:0,106,customer_reviewed
6,106:0,106,customer_intervened
6,107:0,107,customer_reviewed
6,107:0,107,customer_intervened
6,108:0,108,customer_reviewed
6,108:0,108,customer_intervened
6,111:0,111,customer_reviewed
6,111:0,111,customer_declined
6,112:0,112,customer_reviewed
6,112:0,112,customer_intervened
6,113:0,113,customer_reviewed
6,113:0,113,customer_declined
6,79:0,79,firm_case_processed
6,79:0,79,customer_firm_failure
6,89:0,89,firm_case_processed
6,89:0,89,customer_firm_failure
6,83:0,83,firm_case_processed
6,83:0,83,customer_firm_failure
6,90:0,90,firm_case_processed
6,90:0,90,customer_firm_failure
7,118:0,118,customer_reviewed
7,118:0,118,customer_declined
7,15:0,15,customer_reviewed
7,15:0,15,customer_intervened
7,76:0,76,customer_reviewed
7,76:0,76,customer_intervened
7,117:0,117,customer_reviewed
7,117:0,117,customer_declined
7,102:0,102,customer_reviewed
7,102:0,102,customer_declined
7,5:0,5,customer_reviewed
7,5:0,5,customer_intervened
7,107:0,107,firm_case_processed
7,107:0,107,customer_firm_success
7,101:0,101,firm_case_processed
7,101:0,101,customer_firm_failure
