pooled,arm,comparison,metric,n,difference,low,high
False,domestic_only,3 - 6 customers,customer_use,20,0.0,0.0,0.0
False,domestic_only,3 - 6 customers,resolved_share,20,0.0,0.0,0.0
False,domestic_only,3 - 6 customers,d_to_e_all,20,0.0,0.0,0.0
False,domestic_only,3 - 6 customers,e_to_d_all,20,0.0,0.0,0.0
False,domestic_only,3 - 6 customers,eligible_queue_rounds,20,0.0,0.0,0.0
False,domestic_only,1 - 6 customers,customer_use,20,0.0,0.0,0.0
False,domestic_only,1 - 6 customers,resolved_share,20,0.0,0.0,0.0
False,domestic_only,1 - 6 customers,d_to_e_all,20,0.0,0.0,0.0
False,domestic_only,1 - 6 customers,e_to_d_all,20,0.0,0.0,0.0
False,domestic_only,1 - 6 customers,eligible_queue_rounds,20,0.0,0.0,0.0
False,customer_only,3 - 6 customers,customer_use,20,0.012060704397387201,0.003972091536489115,0.020239340229306117
False,customer_only,3 - 6 customers,resolved_share,20,0.028509906324196404,0.007371390077692129,0.049373754856033826
False,customer_only,3 - 6 customers,d_to_e_all,20,0.0,0.0,0.0
False,customer_only,3 - 6 customers,e_to_d_all,20,0.0,0.0,0.0
False,customer_only,3 - 6 customers,eligible_queue_rounds,20,198.35,182.79875,213.6
False,customer_only,1 - 6 customers,customer_use,20,0.01951233530222285,0.010869201753877985,0.027823276061653017
False,customer_only,1 - 6 customers,resolved_share,20,0.034504567985705274,0.011786974974288735,0.05922507849725688
False,customer_only,1 - 6 customers,d_to_e_all,20,0.0,0.0,0.0
False,customer_only,1 - 6 customers,e_to_d_all,20,0.0,0.0,0.0
False,customer_only,1 - 6 customers,eligible_queue_rounds,20,998.35,919.8362500000001,1078.80875
False,both,3 - 6 customers,customer_use,20,0.0061015131017550465,-0.0033019960094642056,0.016158118721417775
False,both,3 - 6 customers,resolved_share,20,0.004918982616762785,-0.010405386004851871,0.019166300294851012
False,both,3 - 6 customers,d_to_e_all,20,0.006101513101755052,-0.003462650742902987,0.016565131309857296
False,both,3 - 6 customers,e_to_d_all,20,0.00815042213992013,0.002485219821911671,0.014487775317805573
False,both,3 - 6 customers,eligible_queue_rounds,20,28.65,22.1,35.8
False,both,1 - 6 customers,customer_use,20,0.013626205201494762,-0.002901525475133907,0.03142165387125705
False,both,1 - 6 customers,resolved_share,20,-0.0025877504464173083,-0.026287590008783192,0.021481787682021858
False,both,1 - 6 customers,d_to_e_all,20,0.013626205201494778,-0.003342815850973497,0.03033669190263825
False,both,1 - 6 customers,e_to_d_all,20,0.01306608708723207,0.0073289251081528626,0.019458651354527047
False,both,1 - 6 customers,eligible_queue_rounds,20,321.0,275.39124999999996,369.45374999999996
True,domestic_only,3 - 6 customers,customer_use,20,0.0,0.0,0.0
True,domestic_only,3 - 6 customers,resolved_share,20,0.0,0.0,0.0
True,domestic_only,3 - 6 customers,d_to_e_all,20,0.0,0.0,0.0
True,domestic_only,3 - 6 customers,e_to_d_all,20,0.0,0.0,0.0
True,domestic_only,3 - 6 customers,eligible_queue_rounds,20,0.0,0.0,0.0
True,domestic_only,1 - 6 customers,customer_use,20,0.0,0.0,0.0
True,domestic_only,1 - 6 customers,resolved_share,20,0.0,0.0,0.0
True,domestic_only,1 - 6 customers,d_to_e_all,20,0.0,0.0,0.0
True,domestic_only,1 - 6 customers,e_to_d_all,20,0.0,0.0,0.0
True,domestic_only,1 - 6 customers,eligible_queue_rounds,20,0.0,0.0,0.0
True,customer_only,3 - 6 customers,customer_use,20,0.0,0.0,0.0
True,customer_only,3 - 6 customers,resolved_share,20,0.0,0.0,0.0
True,customer_only,3 - 6 customers,d_to_e_all,20,0.0,0.0,0.0
True,customer_only,3 - 6 customers,e_to_d_all,20,0.0,0.0,0.0
True,customer_only,3 - 6 customers,eligible_queue_rounds,20,0.0,0.0,0.0
True,customer_only,1 - 6 customers,customer_use,20,0.0,0.0,0.0
True,customer_only,1 - 6 customers,resolved_share,20,0.0,0.0,0.0
True,customer_only,1 - 6 customers,d_to_e_all,20,0.0,0.0,0.0
True,customer_only,1 - 6 customers,e_to_d_all,20,0.0,0.0,0.0
True,customer_only,1 - 6 customers,eligible_queue_rounds,20,0.0,0.0,0.0
True,both,3 - 6 customers,customer_use,20,0.0,0.0,0.0
True,both,3 - 6 customers,resolved_share,20,0.0,0.0,0.0
True,both,3 - 6 customers,d_to_e_all,20,0.0,0.0,0.0
True,both,3 - 6 customers,e_to_d_all,20,0.0,0.0,0.0
True,both,3 - 6 customers,eligible_queue_rounds,20,0.0,0.0,0.0
True,both,1 - 6 customers,customer_use,20,0.0,0.0,0.0
True,both,1 - 6 customers,resolved_share,20,0.0,0.0,0.0
True,both,1 - 6 customers,d_to_e_all,20,0.0,0.0,0.0
True,both,1 - 6 customers,e_to_d_all,20,0.0,0.0,0.0
True,both,1 - 6 customers,eligible_queue_rounds,20,0.0,0.0,0.0
